ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
206569_at,0.00411,9.14E-06,14.06,4.36,9.4,IL24,interleukin 24
209774_x_at,0.00797,6.70E-05,9.91,2.48,8.53,CXCL2,C-X-C motif chemokine ligand 2
204470_at,0.00308,2.11E-06,18.13,5.57,7.72,CXCL1,C-X-C motif chemokine ligand 1
211233_x_at,0.0068,4.22E-05,10.76,2.94,7.69,ESR1,estrogen receptor 1
202859_x_at,0.00119,5.34E-08,33.94,7.74,7.6,CXCL8,C-X-C motif chemokine ligand 8
211506_s_at,0.00797,6.75E-05,9.9,2.47,7.53,CXCL8,C-X-C motif chemokine ligand 8
205830_at,0.0016,3.59E-07,24.54,6.78,6.99,CLGN,calmegin
209189_at,0.00289,1.55E-06,19.09,5.8,6.9,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
205207_at,0.00289,1.44E-06,19.34,5.85,6.8,IL6,interleukin 6
211234_x_at,0.00599,2.94E-05,11.47,3.29,6.78,ESR1,estrogen receptor 1
206897_at,0.00132,1.78E-07,27.66,7.17,6.37,PAGE1,PAGE family member 1
204475_at,0.00308,3.34E-06,16.74,5.21,6.37,MMP1,matrix metallopeptidase 1
208075_s_at,0.0042,9.99E-06,13.85,4.28,6.33,CCL7,C-C motif chemokine ligand 7
201641_at,0.00524,1.93E-05,12.34,3.68,6.08,BST2,bone marrow stromal cell antigen 2
205681_at,0.00547,2.36E-05,11.92,3.49,6.02,BCL2A1,BCL2 related protein A1
217767_at,0.00128,1.15E-07,29.79,7.39,5.89,C3,complement component 3
208893_s_at,0.00893,8.65E-05,9.47,2.22,5.84,DUSP6,dual specificity phosphatase 6
213415_at,0.0016,3.34E-07,24.84,6.82,5.79,CLIC2,chloride intracellular channel 2
204143_s_at,0.00289,9.10E-07,20.93,6.18,5.79,ENOSF1,enolase superfamily member 1
39402_at,0.00444,1.12E-05,13.58,4.18,5.79,IL1B,interleukin 1 beta
214954_at,0.00797,6.70E-05,9.91,2.48,5.62,SUSD5,sushi domain containing 5
205234_at,0.00289,1.43E-06,19.36,5.86,5.6,SLC16A4,solute carrier family 16 member 4
217190_x_at,0.00553,2.51E-05,11.79,3.44,5.57,ESR1,estrogen receptor 1
204126_s_at,0.00329,5.32E-06,15.45,4.83,5.51,CDC45,cell division cycle 45
214974_x_at,0.01004,1.09E-04,9.08,1.99,5.5,CXCL5,C-X-C motif chemokine ligand 5
209267_s_at,0.00289,1.44E-06,19.35,5.85,5.19,SLC39A8,solute carrier family 39 member 8
201755_at,0.00308,3.64E-06,16.49,5.14,5.14,MCM5,minichromosome maintenance complex component 5
205046_at,0.00308,3.90E-06,16.3,5.08,5.12,CENPE,centromere protein E
205422_s_at,0.0051,1.78E-05,12.52,3.76,5,ITGBL1,integrin subunit beta like 1
213008_at,0.00438,1.08E-05,13.66,4.21,4.93,FANCI,Fanconi anemia complementation group I
204133_at,0.0054,2.13E-05,12.13,3.59,4.92,RRP9,"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)"
213524_s_at,0.00308,2.99E-06,17.06,5.3,4.91,G0S2,G0/G1 switch 2
202638_s_at,0.00308,4.01E-06,16.22,5.06,4.88,ICAM1,intercellular adhesion molecule 1
220091_at,0.00314,4.79E-06,15.73,4.91,4.83,SLC2A6,solute carrier family 2 member 6
203976_s_at,0.00308,3.23E-06,16.83,5.24,4.71,CHAF1A,chromatin assembly factor 1 subunit A
216913_s_at,0.00599,2.96E-05,11.46,3.28,4.67,RRP12,ribosomal RNA processing 12 homolog
208436_s_at,0.00789,6.38E-05,10,2.53,4.56,IRF7,interferon regulatory factor 7
220089_at,0.00639,3.39E-05,11.18,3.15,4.54,L2HGDH,L-2-hydroxyglutarate dehydrogenase
204698_at,0.00308,2.93E-06,17.12,5.31,4.51,ISG20,interferon stimulated exonuclease gene 20
217388_s_at,0.00456,1.33E-05,13.17,4.02,4.43,KYNU,kynureninase
201890_at,0.00681,4.43E-05,10.67,2.89,4.43,RRM2,ribonucleotide reductase regulatory subunit M2
206343_s_at,0.00777,5.89E-05,10.14,2.61,4.43,NRG1,neuregulin 1
218564_at,0.00329,5.30E-06,15.46,4.83,4.33,RFWD3,ring finger and WD repeat domain 3
201291_s_at,0.00308,3.95E-06,16.26,5.07,4.29,TOP2A,topoisomerase (DNA) II alpha
204224_s_at,0.00262,7.04E-07,21.87,6.35,4.27,GCH1,GTP cyclohydrolase 1
210448_s_at,0.0051,1.79E-05,12.52,3.75,4.26,P2RX5,purinergic receptor P2X 5
202768_at,0.00314,4.80E-06,15.73,4.91,4.18,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
204558_at,0.00524,1.96E-05,12.31,3.67,4.17,RAD54L,RAD54-like (S. cerevisiae)
204081_at,0.00308,3.94E-06,16.27,5.08,4.16,NRGN,neurogranin
221436_s_at,0.00308,1.90E-06,18.45,5.65,4.09,CDCA3,cell division cycle associated 3
218888_s_at,0.00616,3.10E-05,11.36,3.24,4.09,NETO2,neuropilin and tolloid like 2
210663_s_at,0.00777,5.87E-05,10.15,2.61,4.06,KYNU,kynureninase
219555_s_at,0.00595,2.82E-05,11.55,3.32,4.05,CENPN,centromere protein N
