id,type,name,description,target,belongs_to,pc,ts_pc,5a6a9b46b5896005aa...
CGS001-11151,KD,CORO1A,"Coronins, coronin, actin binding protein, 1A",,,"11.11, 11.11","1.30, 0.41",99.96
CGS001-5594,KD,MAPK1,"MAPK:ERK subfamily, mitogen-activated protein kinase 1",,Mitogen activated protein kinases LOF,"22.22, 11.11","1.50, 0.50",99.95
CGS001-673,KD,BRAF,"RAF family, v-raf murine sarcoma viral oncogene homolog B1",,,"20.00, 20.00","0.98, 0.20",99.94
CGS001-9131,KD,AIFM1,"apoptosis-inducing factor, mitochondrion-associated, 1",,,"10.00, 10.00","1.38, 0.41",99.87
CGS001-1327,KD,COX4I1,"Mitochondrial respiratory chain complex, cytochrome c oxidase subunit IV isoform 1",,Mitochondrial complex IV LOF,"57.14, 28.57","1.18, 0.49",99.79
CGS001-817,KD,CAMK2D,"CAMK2 family, calcium/calmodulin-dependent protein kinase II delta",,,"12.50, 12.50","1.25, 0.38",99.79
CGS001-302,KD,ANXA2,"Annexins, annexin A2",,,"11.11, 11.11","1.15, 0.36",99.75
CGS001-2235,KD,FECH,ferrochelatase,,AHSP Pathway LOF,"22.22, 11.11","1.47, 0.50",99.71
CGS001-8848,KD,TSC22D1,"TSC22 domain family, member 1",,,"10.00, 10.00","1.33, 0.41",99.7
CGS001-1244,KD,ABCC2,"ATP binding cassette transporters / subfamily C, ATP-binding cassette, sub-family C (CFTR/MRP), member 2",,,"10.00, 10.00","1.10, 0.39",99.69
CGS001-2222,KD,FDFT1,"Lanosterol biosynthesis pathway, farnesyl-diphosphate farnesyltransferase 1",,,"10.00, 10.00","1.10, 0.31",99.67
CGS001-788,KD,SLC25A20,"Mitochondrial amino acid transporter subfamily, solute carrier family 25 (carnitine/acylcarnitine translocase), member 20",,,"10.00, 10.00","1.58, 0.45",99.66
CGS001-7052,KD,TGM2,"Transglutaminases, transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)",,,"11.11, 11.11","1.67, 0.56",99.56
CGS001-1725,KD,DHPS,deoxyhypusine synthase,,,"44.44, 44.44","1.24, 0.41",99.46
CGS001-5526,KD,PPP2R5B,"Serine/threonine phosphatases / Protein phosphatase 2, regulatory subunits, protein phosphatase 2, regulatory subunit B', beta",,,"22.22, 22.22","1.31, 0.45",99.45
CGS001-6535,KD,SLC6A8,"GABA transporter subfamily, solute carrier family 6 (neurotransmitter transporter, creatine), member 8",,,"10.00, 10.00","1.24, 0.47",99.43
CGS001-10390,KD,CEPT1,choline/ethanolamine phosphotransferase 1,,,"10.00, 10.00","1.15, 0.19",99.41
