,,count
AKT1,,136
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,4
AKT1,IGF1R,0
AKT1,IKBKB,20
AKT1,IRS1,0
AKT1,MDM2,5
AKT1,MTOR,15
AKT1,NFKB1,42
AKT1,PIK3CA,0
AKT1,RHEB,2
AKT1,SIRT1,0
AKT1,SOD2,2
AKT1,TP53,1
AMPK,,10
ATM/ATR,,38
ATM/ATR,IRS1,0
ATM/ATR,KRAS,0
ATM/ATR,PDK1,0
ATM/ATR,PIK3CA,0
CDK2/4/6,,42
CDK2/4/6,IGF1R,2
CDK2/4/6,INSR,1
CDK2/4/6,IRS1,3
CDK2/4/6,KRAS,1
CDK2/4/6,MTOR,0
CDK2/4/6,PDK1,6
CDK2/4/6,PIK3CA,5
CDK2/4/6,SIRT1,0
CDKN1A,,34
CDKN2A,,19
CDKN2A,IGF1R,2
CDKN2A,INSR,0
CDKN2A,IRS1,3
CDKN2A,PIK3CA,4
FOXO3,,41
FOXO3,NFKB1,0
IGF1R,,95
IGF1R,IKBKB,6
IGF1R,INSR,29
IGF1R,IRS1,7
IGF1R,KRAS,1
IGF1R,MAP2K3/MAP2K6,1
IGF1R,MAPK14,1
IGF1R,MDM2,1
IGF1R,MTOR,10
IGF1R,NFKB1,9
IGF1R,RHEB,4
IGF1R,SIRT1,0
IKBKB,,55
IKBKB,INSR,4
IKBKB,IRS1,9
IKBKB,KRAS,1
IKBKB,MDM2,1
IKBKB,MTOR,100
IKBKB,PIK3CA,11
IKBKB,RHEB,16
INSR,,72
INSR,IRS1,5
INSR,KRAS,1
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MDM2,2
INSR,MTOR,5
INSR,NFKB1,4
INSR,RHEB,0
INSR,SIRT1,1
INSR,SOD2,0
INSR,TP53,0
IRS1,,105
IRS1,KRAS,22
IRS1,MAP2K3/MAP2K6,2
IRS1,MAPK14,2
IRS1,MDM2,2
IRS1,MTOR,16
IRS1,NFKB1,10
IRS1,RHEB,4
IRS1,SIRT1,0
IRS1,SOD2,1
IRS1,TP53,0
KRAS,,85
KRAS,MDM2,1
KRAS,MTOR,11
KRAS,NFKB1,8
KRAS,RHEB,3
KRAS,SOD2,0
KRAS,TP53,0
MAP2K3/MAP2K6,,16
MAP2K3/MAP2K6,PDK1,0
MAP2K3/MAP2K6,PIK3CA,3
MAPK1,,41
MAPK1,MTOR,0
MAPK14,,16
MAPK14,PDK1,0
MAPK14,PIK3CA,3
MDM2,,42
MDM2,MTOR,5
MDM2,NFKB1,3
MDM2,PDK1,6
MDM2,PIK3CA,5
MDM2,RHEB,0
MTOR,,87
MTOR,NFKB1,127
MTOR,PDK1,24
MTOR,PIK3CA,18
MTOR,SOD2,0
NAD+,,35
NAD+,NFKB1,0
NFKB1,,63
NFKB1,PDK1,21
NFKB1,PIK3CA,17
NFKB1,RHEB,21
NFKB1,SIRT1,1
NFKB1,SOD2,0
NFKBIE,,8
PDK1,,162
PDK1,RHEB,5
PDK1,SIRT1,0
PDK1,SOD2,2
PDK1,TP53,2
PIK3CA,,146
PIK3CA,RHEB,4
PIK3CA,SIRT1,0
PIK3CA,SOD2,2
PIK3CA,TP53,2
PPARGC1A,,41
PTEN,,31
RB1,,5
RHEB,,52
ROS,,35
SGK1,,41
SIRT1,,26
SOD2,,41
TP53,,21
TSC2,,38
