Gene Symbol,Antibody Name,Quiescence,Senescence,Proliferation
EIF4EBP1,4E-BP1_(Ab-65),1.806842105,1.082784211,0.874340426
AKT1,AKT1_(Phospho-Ser473),1.156363158,1.299305263,1.29562766
E2F1,E2F1_(Phospho-Thr433),1.125878947,0.979342105,1.471446809
IGF1R,IGF1R_(Phospho-Tyr1165/1166),1.172742105,1.314847368,1.202542553
NFKBIA,IkB-alpha_(Ab-32/36),1.035236842,0.990457895,1.082851064
IKBKB,IKK-beta_(Ab-188),0.981526316,1.018573684,0.896851064
IRS1,IRS-1_(Phospho-Ser636),1.005268421,1.155794737,1.363755319
MAP2K3/MAP2K6,MKK6/MAP2K6_(Phospho-Ser207),0.908768421,1.277147368,1.393712766
MTOR,mTOR_(Phospho-Ser2481),1.013873684,1.493689474,1.274297872
MAPK14,p38_MAPK_(Phospho-Tyr322),0.926578947,1.193152632,1.178
TP53,p53_(Phospho-Ser15),0.926631579,1.096163158,0.87493617
S6K1,P70S6K_(Phospho-Ser411),1.078910526,1.273631579,1.618212766
RB1,Rb_(Phospho-Thr821),1.045005263,1.119873684,1.588446809
 TSC2,Tuberin/TSC2_(Phospho-Ser939),0.994126316,0.915542105,1.015425532
