from,regulation,to,mechanism,pmid,comment,observable
FOXO,1,SIRT1,Transcription,15604409,,
SIRT1,1,PGC1a,Deacetylation,19262508,,
SIRT1,1,FOXO,Deacetylation,19262508,,
SIRT1,-1,p53,Deacetylation,11672523,,
NAD+,1,SIRT1,Deacetylation,10693811,,
PGC1a,1,GLUT4,Transcription,11274399,,
Glucose,1,Glycolysis,,obvious,,
GLUT4,1,Glucose,Transportation,17403369,,
Glycolysis,1,TCA cycle,,obvious,,
TCA cycle,1,ROS,,obvious,,
Glycolysis,1,ATP,,obvious,,
TCA cycle,1,ATP,,obvious,,
ATP,-1,"AMP/ATP, ADP/ATP",,obvious,,
AMPK,1,PGC1a,phosphorylation,19262508,,
AMPK,1,FOXO,phosphorylation,17711846,,
AMPK,1,NAD+,increase in mitochondrial ет-oxidation,19262508,,
AMPK,1,p53,phosphorylation,15866171,,
p53,1,AMPK,Transcription,17409411,Indirect : 18692468,
AMPK,-1,mTOR,Phosphorylation,21258367,,
AMPK,1,"TSC1,TSC2",Phosphorylation,14651849,,
"Low nutrient,exercise",1,"AMP/ATP, ADP/ATP",,obvious,,
"AMP/ATP, ADP/ATP",1,AMPK,Phosphorylation,22436748,,
IGF1,1,IGF1R,Phosphorylation,7493944,,
IGF1R,1,IRS,Phosphorylation,9094314,,
IRS,1,PI3K,,9094314,SH2 Domain Binding,
PI3K,1,"PDK1,2",Phosphorylation,9094314,,
"PDK1,2",1,AKT,Phosphorylation,24422135,,
"PDK1,2",1,SGK,Phosphorylation,15068796,,
mTOR,1,S6K,Phosphorylation,17680028,,
mTOR,-1,4EBP1,Phosphorylation,17680028,,
AKT,-1,"TSC1,TSC2",Phosphorylation,17680028,,
"TSC1,TSC2",-1,Rheb,,17680028,"TSC1,2 -> (Rheb-GTP -> Rheb-GDP)",
Rheb,1,mTOR,,19812304,Rheb-GTP -> mTOR activation,
AKT,-1,FOXO,Phoosphorylation,19812304,,
AKT,-1,p21,Phosphorylation,11463845,,
AKT,-1,p27,Phosphorylation,12244302,,
AKT,1,MDM2,phosphorylation,11504915,,
mTOR,1,PGC1a,,18046414,PGC1a activation depending on physical interaction with mTOR,
mTOR,-1,ATG13,Phosphorylation,"23361334, 22025673",,
mTOR,-1,ULK1,Phosphorylation,21258367,Through Raptor,
AMPK,-1,ULK1,Phosphorylation,21258367,,
FOXO,1,p27,Transcription,10783894,,
FOXO,1,p21,Transcription,"16288288, 15084259",,
FOXO,1,MnSOD,Transcription,17522590,,
MnSOD,-1,ROS,,obvious,,
FOXO,1,GADD45,Transcription,11964479,,
FOXO,1,BIM,Transcription,11050388,,
MDM2,-1,FOXO,ubiquitination,19321440,,
FOXO,1,ATG5,Transcription,24630600,,
SGK,-1,FOXO,phosphorylation,11154281,,
ERK,-1,FOXO,phosphorylation,18204439,,
FOXO,1,G6pase,Transcription,24238363,,
G6pase,1,Glycolysis,Hydrolyze,obvious,,
p53,1,GADD45,Transcription,10022855,,
MDM2,-1,p53,ubiquitination,14671306,,
IGF1R,1,RAS,phosphorylation,obvious,,
RAS,1,ERK,phosphorylation,obvious,,
ROS,1,DNA damage,,12832285,,
DNA damage,1,p53,phosphorylation-acetylation cascade,9744860,,
p53,1,p21,transcription,8242752,,
p53,1,SGK,transcription,15383658,,
AKT,-1,BIM,phosphorylation,16282323,,
SIRT1,1,TSC2,,20169165,,
ERK,-1,"TSC1,TSC2",phosphorylation,15851026,,
AMPK,1,GLUT4,translocation,"10426389, 18184930",,
ERK,-1,BIM,phosphorylation,18715233,,
AKT,-1,BAX,Conformation Change Inhibition,11753656,,
p53,1,BAX,transcription,14963330,,
p16,-1,"CDK4,6",Physical Interaction,"17667954, 27417123",,
"CDK4,6",-1,pRB1,Hypoposphorylation,"17667954, 27417123",,
pRB1,-1,E2F,Physical Interaction,17667954,,
DNA damage,1,"MKK3,MKK6",,,,
"MKK3,MKK6",1,p38MAPK,,,,
p38MAPK,1,p16,transcription,,via HBP1,
p38MAPK,1,p53,phosphorylation,,,
AKT,1,BMI1,phosphorylation,23092893,,
BMI1,-1,p16,Transcriptional Repressor,23354477,,
p21,-1,"CDK4,6",Physical Interaction,17667954,,
S6K,-1,IRS,Phosphorylation,17709744/17001314 ,,
