Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.2274	0.0018	1.9989	1.0000	G1_S	0.239666	0.001869	Senescence	0.259323	0.001916	<nil>	0.259912	0.001919	Senescence -- G1_S	0.241099	0.001872
0.1000	0.1892	0.0017	1.9896	1.0000	G1_S	0.215997	0.001804	Senescence	0.284234	0.001978	<nil>	0.275219	0.001959	Senescence -- G1_S	0.224550	0.001829
0.2000	0.1597	0.0016	1.9725	1.0000	<nil>	0.291458	0.001997	G1_S	0.196396	0.001743	Senescence	0.305064	0.002024	Senescence -- G1_S	0.207081	0.001778
0.3000	0.1375	0.0015	1.9513	1.0000	<nil>	0.307324	0.002030	Senescence -- G1_S	0.190221	0.001726	Senescence	0.321331	0.002055	G1_S	0.181124	0.001693
0.4000	0.1171	0.0014	1.9261	1.0000	<nil>	0.323029	0.002060	Senescence	0.335396	0.002080	G1_S	0.167657	0.001643	Senescence -- G1_S	0.173918	0.001668
0.5000	0.1023	0.0013	1.8985	1.0000	Senescence	0.346358	0.002098	G1_S	0.157326	0.001602	<nil>	0.338944	0.002086	Senescence -- G1_S	0.157372	0.001603
0.6000	0.0896	0.0012	1.8681	1.0000	Senescence	0.354759	0.002110	G1_S	0.147279	0.001560	<nil>	0.355667	0.002111	Senescence -- G1_S	0.142294	0.001537
0.7000	0.0786	0.0012	1.8356	1.0000	Senescence	0.359651	0.002119	G1_S	0.138166	0.001521	<nil>	0.374074	0.002137	Senescence -- G1_S	0.128108	0.001472
0.8000	0.0696	0.0011	1.8034	1.0000	Senescence	0.362016	0.002124	G1_S	0.130404	0.001483	<nil>	0.391959	0.002156	Senescence -- G1_S	0.115621	0.001409
0.9000	0.0615	0.0010	1.7702	1.0000	Senescence	0.364397	0.002128	G1_S	0.122732	0.001448	<nil>	0.408444	0.002173	Senescence -- G1_S	0.104428	0.001348
1.0000	0.0540	0.0010	1.7365	1.0000	Senescence	0.365845	0.002130	G1_S	0.116433	0.001415	<nil>	0.424202	0.002186	Senescence -- G1_S	0.093519	0.001282
1.1000	0.0479	0.0009	1.7032	1.0000	Senescence	0.364974	0.002129	G1_S	0.110378	0.001384	<nil>	0.440478	0.002195	Senescence -- G1_S	0.084170	0.001225
1.2000	0.0424	0.0009	1.6704	1.0000	Senescence	0.362157	0.002127	G1_S	0.104499	0.001351	<nil>	0.457143	0.002205	Senescence -- G1_S	0.076201	0.001169
1.3000	0.0374	0.0008	1.6364	1.0000	Senescence	0.360658	0.002126	G1_S	0.099378	0.001322	<nil>	0.472035	0.002210	Senescence -- G1_S	0.067929	0.001109
1.4000	0.0331	0.0008	1.6038	1.0000	Senescence	0.357820	0.002123	G1_S	0.094955	0.001296	<nil>	0.486623	0.002214	Senescence -- G1_S	0.060602	0.001051
1.5000	0.0293	0.0007	1.5713	1.0000	Senescence	0.355414	0.002121	G1_S	0.089777	0.001263	<nil>	0.500301	0.002215	Senescence -- G1_S	0.054507	0.001002
1.6000	0.0261	0.0007	1.5410	1.0000	Senescence	0.352925	0.002119	G1_S	0.084597	0.001232	<nil>	0.512814	0.002216	Senescence -- G1_S	0.049664	0.000960
1.7000	0.0242	0.0007	1.5133	1.0000	Senescence	0.349880	0.002115	G1_S	0.080966	0.001208	<nil>	0.524221	0.002215	Senescence -- G1_S	0.044933	0.000915
1.8000	0.0223	0.0006	1.4860	1.0000	Senescence	0.347268	0.002112	G1_S	0.077516	0.001183	<nil>	0.534770	0.002212	Senescence -- G1_S	0.040446	0.000869
1.9000	0.0203	0.0006	1.4577	1.0000	Senescence	0.345196	0.002109	G1_S	0.073620	0.001156	<nil>	0.544889	0.002208	Senescence -- G1_S	0.036294	0.000825
2.0000	0.0180	0.0006	1.4322	1.0000	Senescence	0.342765	0.002105	G1_S	0.070103	0.001131	<nil>	0.554234	0.002205	Senescence -- G1_S	0.032897	0.000787
2.1000	0.0164	0.0006	1.4101	1.0000	Senescence	0.341037	0.002103	G1_S	0.066768	0.001106	<nil>	0.561911	0.002200	Senescence -- G1_S	0.030285	0.000758
2.2000	0.0150	0.0005	1.3881	1.0000	Senescence	0.338623	0.002100	G1_S	0.063305	0.001079	<nil>	0.569985	0.002197	Senescence -- G1_S	0.028087	0.000730
2.3000	0.0138	0.0005	1.3679	1.0000	Senescence	0.337104	0.002097	G1_S	0.060739	0.001059	<nil>	0.576522	0.002192	Senescence -- G1_S	0.025635	0.000698
2.4000	0.0124	0.0005	1.3474	1.0000	Senescence	0.335759	0.002095	G1_S	0.058095	0.001037	<nil>	0.582857	0.002187	Senescence -- G1_S	0.023289	0.000665
2.5000	0.0115	0.0005	1.3286	1.0000	Senescence	0.334869	0.002095	G1_S	0.055631	0.001017	<nil>	0.588297	0.002185	Senescence -- G1_S	0.021203	0.000637
2.6000	0.0106	0.0004	1.3115	1.0000	Senescence	0.334281	0.002094	G1_S	0.053499	0.000998	<nil>	0.592922	0.002181	Senescence -- G1_S	0.019298	0.000608
2.7000	0.0098	0.0004	1.2964	1.0000	Senescence	0.333926	0.002093	G1_S	0.051445	0.000980	<nil>	0.596848	0.002177	Senescence -- G1_S	0.017781	0.000583
2.8000	0.0092	0.0004	1.2827	1.0000	Senescence	0.333517	0.002094	G1_S	0.049480	0.000964	<nil>	0.600454	0.002176	Senescence -- G1_S	0.016549	0.000563
2.9000	0.0086	0.0004	1.2693	1.0000	Senescence	0.333536	0.002094	G1_S	0.047401	0.000944	<nil>	0.603640	0.002172	Senescence -- G1_S	0.015423	0.000545
3.0000	0.0079	0.0004	1.2566	1.0000	Senescence	0.333709	0.002095	G1_S	0.045843	0.000929	<nil>	0.606346	0.002170	Senescence -- G1_S	0.014101	0.000522
3.1000	0.0070	0.0004	1.2443	1.0000	Senescence	0.333003	0.002094	G1_S	0.044047	0.000911	<nil>	0.609752	0.002167	Senescence -- G1_S	0.013197	0.000503
3.2000	0.0062	0.0003	1.2332	1.0000	Senescence	0.333044	0.002094	G1_S	0.042163	0.000892	<nil>	0.612290	0.002164	Senescence -- G1_S	0.012503	0.000490
3.3000	0.0056	0.0003	1.2241	1.0000	Senescence	0.334363	0.002096	G1_S	0.040888	0.000881	<nil>	0.613191	0.002164	Senescence -- G1_S	0.011558	0.000472
3.4000	0.0051	0.0003	1.2154	1.0000	Senescence	0.335964	0.002099	G1_S	0.039715	0.000868	<nil>	0.613700	0.002164	Senescence -- G1_S	0.010621	0.000453
3.5000	0.0047	0.0003	1.2050	1.0000	Senescence	0.335864	0.002098	G1_S	0.038247	0.000852	<nil>	0.616031	0.002160	Senescence -- G1_S	0.009858	0.000437
3.6000	0.0042	0.0003	1.1964	1.0000	Senescence	0.336785	0.002100	G1_S	0.036924	0.000838	<nil>	0.617110	0.002160	Senescence -- G1_S	0.009181	0.000421
3.7000	0.0038	0.0003	1.1898	1.0000	Senescence	0.338490	0.002103	G1_S	0.035792	0.000826	<nil>	0.617096	0.002160	Senescence -- G1_S	0.008621	0.000409
3.8000	0.0034	0.0003	1.1838	1.0000	Senescence	0.340151	0.002107	G1_S	0.035084	0.000819	<nil>	0.616881	0.002162	Senescence -- G1_S	0.007884	0.000391
3.9000	0.0032	0.0002	1.1759	1.0000	Senescence	0.340808	0.002108	G1_S	0.034142	0.000808	<nil>	0.617869	0.002161	Senescence -- G1_S	0.007181	0.000374
4.0000	0.0030	0.0002	1.1693	1.0000	Senescence	0.341692	0.002109	G1_S	0.033203	0.000798	<nil>	0.618457	0.002160	Senescence -- G1_S	0.006647	0.000360
4.1000	0.0027	0.0002	1.1626	1.0000	Senescence	0.342347	0.002110	G1_S	0.032385	0.000788	<nil>	0.619197	0.002160	Senescence -- G1_S	0.006072	0.000343
4.2000	0.0024	0.0002	1.1574	1.0000	Senescence	0.342865	0.002110	G1_S	0.031882	0.000783	<nil>	0.619702	0.002158	Senescence -- G1_S	0.005552	0.000329
4.3000	0.0023	0.0002	1.1519	1.0000	Senescence	0.344311	0.002113	G1_S	0.031100	0.000773	<nil>	0.619527	0.002159	Senescence -- G1_S	0.005061	0.000313
4.4000	0.0021	0.0002	1.1469	1.0000	Senescence	0.345523	0.002114	G1_S	0.030333	0.000764	<nil>	0.619472	0.002159	Senescence -- G1_S	0.004672	0.000300
4.5000	0.0020	0.0002	1.1421	1.0000	Senescence	0.345714	0.002115	G1_S	0.029757	0.000758	<nil>	0.620197	0.002159	Senescence -- G1_S	0.004333	0.000291
4.6000	0.0020	0.0002	1.1383	1.0000	Senescence	0.345745	0.002115	G1_S	0.029335	0.000753	<nil>	0.620854	0.002158	Senescence -- G1_S	0.004066	0.000281
4.7000	0.0018	0.0002	1.1346	1.0000	Senescence	0.346306	0.002116	G1_S	0.028857	0.000746	<nil>	0.621054	0.002157	Senescence -- G1_S	0.003782	0.000271
4.8000	0.0017	0.0002	1.1308	1.0000	Senescence	0.347268	0.002118	G1_S	0.028438	0.000741	<nil>	0.620890	0.002158	Senescence -- G1_S	0.003404	0.000257
4.9000	0.0016	0.0002	1.1277	1.0000	Senescence	0.347898	0.002119	G1_S	0.028025	0.000736	<nil>	0.620900	0.002158	Senescence -- G1_S	0.003176	0.000249
