Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.6718	0.0070	4.9936	0.5150	0.4850	A -- B -- C	0.033564	0.002527	A -- T -- C	0.025056	0.002203	A	0.024489	0.002183	B -- T -- C -- D	0.030697	0.002421	B -- C	0.030499	0.002409	A -- B -- T -- C	0.031352	0.002459	B	0.031177	0.002439	A -- B -- T -- D	0.032412	0.002491	A -- B -- T	0.031812	0.002475	B -- T	0.031664	0.002453	<nil>	0.034860	0.002558	D	0.036883	0.002633	B -- D	0.031787	0.002462	T -- C -- D	0.034178	0.002511	A -- T	0.028460	0.002350	A -- D	0.032222	0.002493	T	0.028861	0.002326	A -- B -- C -- D	0.031744	0.002466	A -- B	0.033914	0.002544	B -- C -- D	0.031801	0.002471	B -- T -- C	0.031966	0.002474	T -- C	0.035440	0.002576	C	0.032520	0.002469	A -- B -- T -- C -- D	0.030258	0.002407	A -- C -- D	0.028709	0.002351	A -- T -- D	0.031541	0.002467	C -- D	0.037179	0.002628	T -- D	0.029011	0.002336	A -- B -- D	0.027317	0.002291	B -- T -- D	0.026498	0.002251	A -- T -- C -- D	0.031386	0.002459	A -- C	0.030746	0.002432
0.0100	0.6580	0.0070	4.9877	0.5223	0.4777	A -- B -- C	0.031977	0.002468	A -- T -- C	0.025278	0.002210	A	0.023698	0.002147	B -- T -- C -- D	0.030114	0.002398	B -- C	0.031598	0.002445	A -- B -- T -- C	0.031247	0.002448	B	0.030142	0.002391	A -- B -- D	0.026092	0.002243	A -- B -- T -- D	0.031963	0.002479	A -- B -- T	0.030625	0.002421	T -- C	0.032393	0.002473	<nil>	0.038782	0.002693	D	0.041239	0.002784	B -- D	0.030945	0.002431	T -- C -- D	0.032506	0.002462	A -- T	0.028189	0.002328	A -- D	0.031540	0.002465	T	0.026522	0.002227	A -- B -- C -- D	0.030566	0.002421	C	0.036307	0.002618	A -- B -- T -- C -- D	0.030265	0.002412	B -- T -- C	0.031851	0.002470	A -- B	0.033264	0.002524	B -- C -- D	0.032640	0.002486	A -- C -- D	0.029693	0.002392	A -- T -- D	0.031219	0.002447	C -- D	0.043625	0.002847	T -- D	0.026938	0.002255	B -- T -- D	0.026003	0.002240	A -- T -- C -- D	0.031987	0.002476	B -- T	0.030649	0.002415	A -- C	0.030146	0.002415
0.0200	0.6455	0.0071	4.9791	0.5295	0.4705	A -- B -- C	0.030566	0.002426	A -- T -- C	0.025242	0.002210	A	0.022972	0.002112	T -- D	0.025351	0.002196	B -- T -- C -- D	0.030466	0.002411	B -- C	0.031691	0.002451	A -- B -- T -- C	0.031255	0.002456	B	0.028379	0.002327	A -- B -- D	0.025447	0.002214	A -- B -- T -- D	0.030482	0.002409	T -- C	0.031041	0.002426	<nil>	0.042145	0.002812	D	0.043896	0.002880	B -- D	0.030096	0.002404	T -- C -- D	0.031091	0.002423	A -- T	0.027743	0.002321	A -- D	0.030569	0.002429	T	0.025736	0.002206	A -- B -- C -- D	0.030019	0.002404	C	0.039737	0.002734	A -- B -- T -- C -- D	0.029550	0.002381	B -- T -- C	0.031026	0.002438	A -- B	0.032878	0.002514	B -- C -- D	0.032980	0.002502	A -- C -- D	0.030159	0.002417	A -- T -- D	0.030921	0.002445	C -- D	0.050103	0.003057	B -- T -- D	0.026367	0.002241	A -- T -- C -- D	0.032457	0.002502	B -- T	0.029394	0.002370	A -- C	0.030401	0.002422	A -- B -- T	0.029838	0.002396
0.0300	0.6312	0.0071	4.9679	0.5369	0.4631	A -- B -- C	0.030454	0.002423	A -- T -- C	0.025021	0.002199	A -- B -- D	0.024741	0.002182	A	0.022262	0.002082	B -- T -- C -- D	0.031025	0.002424	B -- C	0.031392	0.002461	A -- B -- T -- C	0.030863	0.002430	B	0.027050	0.002277	A -- B -- T -- D	0.028859	0.002353	A -- B -- T	0.030011	0.002404	T -- C	0.029691	0.002360	<nil>	0.044670	0.002901	D	0.047187	0.002974	B -- D	0.029939	0.002387	T -- C -- D	0.029399	0.002363	A -- T	0.027294	0.002295	A -- D	0.029624	0.002388	T	0.024841	0.002172	A -- B -- C -- D	0.028987	0.002357	C	0.043745	0.002866	A -- B -- T -- C -- D	0.027884	0.002308	B -- T -- C	0.030903	0.002421	A -- B	0.032476	0.002490	B -- C -- D	0.033762	0.002531	A -- C -- D	0.030343	0.002414	A -- T -- D	0.030569	0.002427	C -- D	0.055343	0.003211	B -- T -- D	0.026343	0.002244	T -- D	0.023932	0.002133	A -- T -- C -- D	0.033448	0.002535	B -- T	0.027646	0.002305	A -- C	0.030296	0.002418
0.0400	0.6176	0.0071	4.9552	0.5453	0.4547	A -- B -- C	0.030842	0.002430	A -- T -- C	0.024997	0.002196	A -- B -- D	0.023160	0.002110	A	0.021876	0.002065	B -- C	0.031269	0.002446	A -- B -- T -- C	0.029971	0.002396	B	0.026325	0.002228	A -- B -- T -- D	0.027372	0.002287	B -- T -- C -- D	0.032423	0.002483	A -- B -- T	0.028789	0.002355	T -- C	0.027712	0.002288	D	0.049361	0.003041	B -- D	0.030500	0.002412	T -- C -- D	0.028265	0.002316	A -- T	0.027116	0.002291	A -- D	0.028634	0.002357	T	0.023873	0.002129	A -- B -- C -- D	0.027840	0.002317	A -- B	0.031162	0.002434	B -- C -- D	0.033612	0.002534	B -- T -- C	0.030150	0.002384	<nil>	0.047345	0.002975	C	0.048074	0.003003	A -- B -- T -- C -- D	0.027055	0.002278	A -- C -- D	0.031891	0.002474	A -- T -- D	0.030270	0.002415	C -- D	0.060299	0.003339	T -- D	0.023754	0.002135	B -- T -- D	0.025812	0.002218	A -- T -- C -- D	0.034098	0.002553	B -- T	0.026567	0.002248	A -- C	0.029587	0.002384
0.0500	0.6062	0.0072	4.9404	0.5533	0.4467	A -- B -- C	0.030257	0.002402	A -- T -- C	0.024835	0.002197	A -- B -- D	0.022051	0.002065	A	0.021565	0.002053	B -- C	0.031564	0.002449	A -- B -- T -- C	0.028911	0.002363	B	0.025893	0.002234	A -- B -- T -- D	0.026293	0.002253	T	0.021995	0.002044	A -- B -- T	0.027699	0.002300	T -- C	0.027292	0.002279	D	0.051756	0.003111	B -- D	0.030671	0.002420	T -- C -- D	0.026592	0.002237	A -- T	0.026364	0.002261	A -- D	0.027954	0.002327	<nil>	0.050167	0.003061	B -- T -- C -- D	0.033146	0.002513	C	0.051442	0.003101	A -- B -- T -- C -- D	0.026848	0.002275	A -- B	0.029506	0.002384	B -- C -- D	0.033428	0.002524	B -- T -- C	0.029738	0.002384	A -- C -- D	0.032766	0.002508	A -- T -- D	0.030047	0.002406	C -- D	0.065327	0.003471	T -- D	0.022742	0.002076	B -- T -- D	0.025829	0.002228	A -- B -- C -- D	0.027538	0.002304	A -- T -- C -- D	0.035328	0.002603	B -- T	0.025745	0.002212	A -- C	0.028710	0.002354
0.0600	0.5954	0.0072	4.9229	0.5615	0.4385	A -- B -- C	0.028811	0.002351	A -- T -- C	0.024900	0.002200	A -- B -- D	0.021140	0.002028	A	0.021000	0.002022	T -- D	0.021180	0.002024	B -- C	0.032299	0.002473	A -- B -- T -- C	0.027632	0.002295	B	0.025475	0.002210	A -- B -- T -- D	0.025002	0.002196	T	0.020029	0.001957	T -- C	0.025629	0.002188	D	0.054790	0.003198	B -- D	0.030198	0.002408	T -- C -- D	0.025562	0.002203	A -- T	0.025982	0.002243	A -- D	0.027216	0.002294	<nil>	0.052039	0.003117	B -- T -- C -- D	0.033084	0.002517	A -- B -- T	0.026785	0.002269	C	0.055470	0.003205	A -- B -- T -- C -- D	0.027099	0.002286	A -- B	0.029584	0.002386	B -- C -- D	0.034156	0.002552	B -- T -- C	0.029712	0.002367	A -- C -- D	0.033236	0.002529	A -- T -- D	0.029573	0.002384	C -- D	0.070330	0.003596	B -- T -- D	0.025541	0.002220	A -- B -- C -- D	0.026616	0.002266	A -- T -- C -- D	0.035747	0.002612	B -- T	0.026005	0.002236	A -- C	0.028180	0.002337
0.0700	0.5847	0.0072	4.9054	0.5698	0.4302	A -- T -- C	0.024871	0.002195	A -- B -- D	0.021116	0.002022	A	0.020318	0.001990	A -- B -- C	0.027940	0.002319	T -- D	0.020303	0.001955	B -- C	0.032040	0.002477	T	0.019022	0.001917	A -- B -- T -- C	0.026282	0.002245	B	0.024790	0.002169	A -- B -- T -- D	0.022977	0.002100	T -- C	0.025663	0.002203	D	0.058576	0.003295	B -- D	0.028897	0.002344	T -- C -- D	0.024837	0.002169	A -- T	0.025073	0.002199	A -- D	0.026370	0.002259	<nil>	0.052770	0.003144	B -- T -- C -- D	0.032867	0.002496	A -- B -- T	0.026115	0.002243	C	0.058301	0.003296	A -- B -- T -- C -- D	0.027625	0.002298	A -- B	0.028902	0.002354	B -- C -- D	0.033929	0.002521	B -- T -- C	0.029697	0.002372	A -- C -- D	0.033501	0.002540	A -- T -- D	0.029615	0.002388	C -- D	0.076147	0.003721	B -- T -- D	0.026020	0.002224	A -- B -- C -- D	0.025610	0.002217	A -- T -- C -- D	0.035988	0.002628	B -- T	0.025906	0.002231	A -- C	0.027930	0.002323
0.0800	0.5726	0.0072	4.8834	0.5777	0.4223	T -- C	0.023817	0.002112	A -- T -- C	0.025187	0.002200	A -- B -- D	0.020147	0.001973	A	0.019646	0.001960	A -- B -- C	0.027903	0.002316	T -- D	0.020167	0.001962	B -- C	0.031677	0.002462	T	0.017503	0.001838	B	0.025713	0.002221	A -- B -- T -- D	0.021008	0.002012	A -- B -- T -- C -- D	0.026267	0.002250	C	0.061621	0.003374	D	0.061149	0.003369	B -- D	0.028409	0.002339	T -- C -- D	0.023358	0.002095	A -- T	0.023920	0.002150	A -- D	0.025742	0.002236	<nil>	0.054293	0.003192	B -- T -- C -- D	0.033201	0.002513	A -- B -- T	0.025479	0.002203	A -- B	0.026957	0.002276	B -- C -- D	0.032751	0.002511	B -- T -- C	0.029193	0.002365	A -- C -- D	0.034027	0.002553	A -- T -- D	0.030368	0.002425	C -- D	0.083205	0.003885	B -- T -- D	0.025936	0.002230	A -- B -- C -- D	0.025046	0.002194	A -- T -- C -- D	0.036262	0.002640	B -- T	0.025728	0.002224	A -- C	0.027783	0.002317	A -- B -- T -- C	0.026535	0.002256
0.0900	0.5624	0.0072	4.8629	0.5840	0.4160	T -- C	0.022078	0.002042	A -- T -- C	0.025170	0.002208	A -- B -- D	0.018851	0.001912	A	0.019339	0.001946	A -- B -- C	0.028024	0.002326	T -- D	0.019343	0.001924	B -- C	0.031602	0.002461	T	0.014938	0.001681	B	0.025923	0.002225	A -- B -- T	0.024971	0.002203	A -- B -- T -- C -- D	0.025192	0.002200	C	0.065072	0.003464	<nil>	0.055928	0.003226	A -- B -- T -- D	0.020370	0.001992	D	0.062908	0.003417	B -- D	0.028841	0.002351	B -- T -- C -- D	0.032807	0.002495	A -- B	0.025365	0.002221	B -- C -- D	0.032815	0.002493	B -- T -- C	0.028568	0.002335	T -- C -- D	0.023410	0.002107	A -- T	0.023462	0.002138	A -- D	0.025491	0.002226	A -- C -- D	0.034074	0.002552	A -- T -- D	0.030290	0.002421	C -- D	0.088348	0.003987	B -- T -- D	0.025413	0.002212	A -- B -- C -- D	0.024822	0.002174	A -- T -- C -- D	0.036497	0.002646	B -- T	0.026006	0.002240	A -- C	0.027356	0.002302	A -- B -- T -- C	0.026726	0.002270
