Trajectory	State	Proba	State	Proba	State	Proba	State	Proba	State	Proba
#1	A -- B -- C	0.06910338477	B -- C	0.003044437618	C	0.01684746985	<nil>	0.9110047078
#2	A -- B -- C	0.1052436247	B -- C	0.01932921347	C	0.01739830561	<nil>	0.8580288562
#3	A -- B -- C	0.0003681762164	B -- C	0.04363534354	C	0.01796635224	<nil>	0.938030128
#4	A -- C	0.1319896542	<nil>	0.3207368235	A -- B -- C	0.2818898342	B -- C	0.2356596117	C	0.02972407639
#5	A -- B -- C	0.01544405037	B -- C	0.005562772829	C	0.01915863036	<nil>	0.9598345464
#6	A -- B -- C	0.0251205194	B -- C	0.02285194399	C	0.01978543083	<nil>	0.9322421058
#7	A -- B -- C	0.03713023913	B -- C	0.04949669067	C	0.02043461354	<nil>	0.8929384567
#8	A -- B -- C	0.05296836773	B -- C	0.1103424558	C	0.02110783635	<nil>	0.8155813402
#9	A -- B -- C	0.07628302353	B -- C	0.008214706959	C	0.02180694843	<nil>	0.8936953211
#10	A -- B -- C	0.1213622658	B -- C	0.02664180664	C	0.02253402088	<nil>	0.8294619067
#11	A -- B -- C	0.002088935658	B -- C	0.05613753418	C	0.02329138371	<nil>	0.9184821465
#12	A -- B -- C	0.009323449396	B -- C	0.1375773056	C	0.02408167088	<nil>	0.8290175741
#13	A -- B -- C	0.0177847279	B -- C	0.01101521302	C	0.0249078756	<nil>	0.9462921835
#14	A -- B -- C	0.02797550959	B -- C	0.03074266409	C	0.02577341879	<nil>	0.9155084075
#15	A -- B -- C	0.0407893368	B -- C	0.06379747301	C	0.02668223462	<nil>	0.8687309556
#16	A -- B -- C	0.05806266534	B -- C	0.2019605903	C	0.02763887866	<nil>	0.7123378657
#17	A -- B -- C	0.08466928807	B -- C	0.01398193135	C	0.02864866603	<nil>	0.8727001146
#18	A -- B -- C	0.1868832177	<nil>	0.5993008643	A -- C	0.08509733541	C	0.04103717132	B -- C	0.08768141125
#19	A -- B -- C	0.00387103257	B -- C	0.07284699364	C	0.03085385799	<nil>	0.8924281158
#20	A -- B -- C	0.01138879023	B -- C	0.001451176964	C	0.03206560232	<nil>	0.9550944305
#21	A -- B -- C	0.02024038551	B -- C	0.01713584343	C	0.03336390775	<nil>	0.9292598633
#22	A -- B -- C	0.03100344406	B -- C	0.04011633526	C	0.03476209926	<nil>	0.8941181214
#23	A -- B -- C	0.04473750856	B -- C	0.08390450123	C	0.03627683712	<nil>	0.8350811531
#24	A -- B -- C	0.06373550232	B -- C	0.003888572655	C	0.0379293322	<nil>	0.8944465928
#25	A -- B -- C	0.09475133865	B -- C	0.02050217281	C	0.03974717074	<nil>	0.8449993178
#26	A -- B -- C	0.1928847452	B -- C	0.04555683017	C	0.04176715675	<nil>	0.7197912679
#27	A -- B -- C	0.005719001923	B -- C	0.09812292847	C	0.04403993955	<nil>	0.8521181301
#28	A -- B -- C	0.01354313331	B -- C	0.00645090259	C	0.04663796745	<nil>	0.9333679967
#29	A -- B -- C	0.02282290565	B -- C	0.02411161185	C	0.04967012625	<nil>	0.9033953563
#30	A -- B -- C	0.03422663421	B -- C	0.05166240834	C	0.05331119291	<nil>	0.8607997645
#31	A -- B -- C	0.04902437722	B -- C	0.118066469	C	0.05786878011	<nil>	0.7750403737
#32	A -- B -- C	0.08742952823	<nil>	0.5075667435	A -- C	0.105870309	C	0.1000997481	B -- C	0.1990336712
#33	A -- B -- C	0.1073933944	B -- C	0.02800202666	C	0.07320375899	<nil>	0.7914008199
#34	A -- B -- C	0.0006271625024	B -- C	0.05861862413	C	0.09293412611	<nil>	0.8478200873
#35	A -- B -- C	0.007637900993	B -- C	0.1517475314	C	0.0001055114824	<nil>	0.8405090561
#36	A -- B -- C	0.01579449624	B -- C	0.01200669116	C	0.0003228574253	<nil>	0.9718759552
#37	A -- B -- C	0.02554611354	B -- C	0.03222088315	C	0.0005428329938	<nil>	0.9416901703
#38	A -- B -- C	0.03767200852	B -- C	0.06670146938	C	0.0007655025986	<nil>	0.8948610195
#39	A -- B -- C	0.05371355295	B -- C	0.3143781205	C	0.0009909330463	<nil>	0.6309173935
#40	A -- B -- C	0.07747622055	B -- C	0.01503466097	C	0.00121919366	<nil>	0.9062699248
#41	A -- B -- C	0.1501523088	<nil>	0.1078887888	A -- C	0.6092155225	C	0.006989891587	B -- C	0.1257534883
#42	A -- B -- C	0.002357014505	B -- C	0.0763477613	C	0.001684496033	<nil>	0.9196107282
#43	A -- B -- C	0.009633392784	B -- C	0.002268619889	C	0.001921690213	<nil>	0.9861762971
#44	A -- B -- C	0.01815203129	B -- C	0.01825789115	C	0.0021620197	<nil>	0.9614280579
#45	A -- B -- C	0.0284262253	B -- C	0.04190487183	C	0.002405568491	<nil>	0.9272633344
#46	A -- B -- C	0.04137248151	B -- C	0.08831095366	C	0.002652424008	<nil>	0.8676641408
#47	A -- B -- C	0.0588884405	B -- C	0.004747204059	C	0.00290267728	<nil>	0.9334616782
#48	A -- B -- C	0.08608348519	B -- C	0.02170331121	C	0.003156423148	<nil>	0.8890567805
#49	A -- B -- C	0.1502187572	B -- C	0.04755512039	C	0.003413760481	<nil>	0.798812362
#50	A -- B -- C	0.00414886566	B -- C	0.1040679792	C	0.003674792406	<nil>	0.8881083628
#51	A -- B -- C	0.0117118468	B -- C	0.007355093559	C	0.003939626556	<nil>	0.9769934331
#52	A -- B -- C	0.02062625019	B -- C	0.02540383696	C	0.004208375338	<nil>	0.9497615375
#53	A -- B -- C	0.03148243313	B -- C	0.05392619655	C	0.00448115622	<nil>	0.9101102141
#54	A -- B -- C	0.04536887094	B -- C	0.1272056269	C	0.004758092033	<nil>	0.8226674101
#55	A -- B -- C	0.08634504581	<nil>	0.3464281549	A -- C	0.4550740992	C	0.07724061402	B -- C	0.03491208604
#56	A -- B -- C	0.09648702158	B -- C	0.02940028796	C	0.005324948655	<nil>	0.8687877418
#57	A -- B -- C	0.2067952542	B -- C	0.06122928789	C	0.005615145092	<nil>	0.7263603129
#58	A -- B -- C	0.00600732589	B -- C	0.1715957565	C	0.005910048527	<nil>	0.8164868691
#59	A -- B -- C	0.01388046169	B -- C	0.01301822832	C	0.006209814176	<nil>	0.9668914958
#60	A -- B -- C	0.0232293074	B -- C	0.03374413973	C	0.006514605062	<nil>	0.9365119478
#61	A -- B -- C	0.03473768125	B -- C	0.06978458641	C	0.006824592546	<nil>	0.8886531398
#62	A -- B -- C	0.04971264998	B -- C	0.0006995091362	C	0.007139956908	<nil>	0.942447884
#63	A -- B -- C	0.07118900471	B -- C	0.01611003295	C	0.007460887974	<nil>	0.9052400744
#64	A -- B -- C	0.1096397632	B -- C	0.03850158941	C	0.007787585804	<nil>	0.8440710616
#65	A -- B -- C	0.0008874972541	B -- C	0.08011221425	C	0.008120261441	<nil>	0.9108800271
#66	A -- B -- C	0.007937539193	B -- C	0.003099649506	C	0.008459137727	<nil>	0.9805036736
#67	A -- B -- C	0.0161474157	B -- C	0.01940569785	C	0.008804450204	<nil>	0.9556424362
#68	A -- B -- C	0.0259753614	B -- C	0.04375976669	C	0.009156448096	<nil>	0.9211084238
#69	A -- B -- C	0.135979225	<nil>	0.7098978913	A -- C	0.01697758588	C	0.01067269158	B -- C	0.1264726062
#70	A -- B -- C	0.05447001242	B -- C	0.005620838436	C	0.009881572014	<nil>	0.9300275771
#71	A -- B -- C	0.07869858953	B -- C	0.02293401599	C	0.01025527518	<nil>	0.8881121193
#72	A -- B -- C	0.1275376979	B -- C	0.04963661058	C	0.01063682078	<nil>	0.8121888708
#73	A -- B -- C	0.00262653843	B -- C	0.1108165108	C	0.01102654506	<nil>	0.8755304057
#74	A -- B -- C	0.009945269461	B -- C	0.008275937363	C	0.01142480634	<nil>	0.9703539868
#75	A -- B -- C	0.0185220529	B -- C	0.02673034703	C	0.01183198703	<nil>	0.942915613
#76	A -- B -- C	0.0288810409	B -- C	0.05629736022	C	0.01224849579	<nil>	0.9025731031
#77	A -- B -- C	0.0419625077	B -- C	0.1383974445	C	0.01267477008	<nil>	0.8069652777
#78	A -- B -- C	0.2336184199	<nil>	0.515150165	A -- C	0.1950099969	C	0.02436039296	B -- C	0.03186102522
#79	A -- B -- C	0.08753884855	B -- C	0.0308387797	C	0.01355852561	<nil>	0.8680638461
#80	A -- B -- C	0.1556793174	B -- C	0.06398380867	C	0.01401705206	<nil>	0.7663198218
