Time	TH	ErrTH	H	Prob[C]	ErrProb[C]	Prob[A--B--C]	ErrProb[A--B--C]	Prob[B--C]	ErrProb[B--C]	Prob[A--C]	ErrProb[A--C]	Prob[<nil>]	ErrProb[<nil>]	
0.0000	0.0001	0.0000	0.1444	0.000726	0.000206	0.980266	0.001599	0.019007	0.001549	0	0	0	0	
0.0100	0.0004	0.0001	0.3429	0.004451	0.000928	0.941810	0.003116	0.053740	0.002984	0	0	0	0	
0.0200	0.0004	0.0001	0.4806	0.004517	0.000943	0.904852	0.004002	0.090548	0.003908	0.000083	0.000083	0	0	
0.0300	0.0004	0.0001	0.5929	0.005247	0.000960	0.869411	0.004643	0.125141	0.004541	0.000200	0.000200	0	0	
0.0400	0.0011	0.0001	0.7157	0.013554	0.001538	0.835305	0.005139	0.150882	0.004920	0.000259	0.000209	0	0	
0.0500	0.0017	0.0002	0.8206	0.021662	0.001995	0.802536	0.005535	0.175264	0.005254	0.000537	0.000311	0	0	
0.0600	0.0023	0.0002	0.9071	0.028220	0.002298	0.771047	0.005856	0.199927	0.005558	0.000805	0.000400	0	0	
0.0700	0.0030	0.0002	0.9884	0.036975	0.002587	0.740863	0.006118	0.221100	0.005750	0.001062	0.000451	0	0	
0.0800	0.0038	0.0002	1.0645	0.047214	0.002948	0.711791	0.006332	0.239559	0.005933	0.001437	0.000524	0	0	
0.0900	0.0044	0.0003	1.1273	0.054601	0.003175	0.683848	0.006507	0.259629	0.006108	0.001725	0.000579	0.000197	0.000197	
0.1000	0.0049	0.0003	1.1795	0.060529	0.003339	0.657025	0.006648	0.279995	0.006264	0.002251	0.000649	0.000200	0.000200	
0.1100	0.0059	0.0003	1.2421	0.073566	0.003596	0.631300	0.006761	0.291929	0.006309	0.003005	0.000768	0.000200	0.000200	
0.1200	0.0072	0.0003	1.3039	0.089656	0.003977	0.606595	0.006851	0.299675	0.006381	0.003874	0.000851	0.000200	0.000200	
0.1300	0.0081	0.0003	1.3526	0.100873	0.004212	0.582850	0.006918	0.311166	0.006464	0.004748	0.000956	0.000363	0.000258	
0.1400	0.0088	0.0004	1.3911	0.109614	0.004383	0.560065	0.006967	0.324359	0.006548	0.005563	0.001029	0.000400	0.000283	
0.1500	0.0093	0.0004	1.4245	0.116444	0.004485	0.538187	0.007000	0.338211	0.006605	0.006758	0.001147	0.000400	0.000283	
0.1600	0.0110	0.0004	1.4741	0.137217	0.004799	0.517061	0.007019	0.337361	0.006589	0.007961	0.001240	0.000400	0.000283	
0.1700	0.0121	0.0004	1.5074	0.150559	0.005012	0.497112	0.007024	0.342991	0.006634	0.008938	0.001306	0.000400	0.000283	
0.1800	0.0128	0.0004	1.5347	0.159635	0.005141	0.477998	0.007019	0.351602	0.006682	0.010365	0.001399	0.000400	0.000283	
0.1900	0.0133	0.0004	1.5583	0.166575	0.005241	0.459346	0.007005	0.361626	0.006731	0.012053	0.001529	0.000400	0.000283	
0.2000	0.0139	0.0004	1.5770	0.172848	0.005318	0.441444	0.006980	0.371919	0.006773	0.013389	0.001604	0.000400	0.000283	
0.2100	0.0156	0.0004	1.6143	0.194902	0.005481	0.423877	0.006949	0.365059	0.006672	0.015763	0.001743	0.000400	0.000283	
0.2200	0.0174	0.0005	1.6430	0.216683	0.005781	0.407685	0.006910	0.357741	0.006703	0.017491	0.001837	0.000400	0.000283	
0.2300	0.0183	0.0005	1.6594	0.228001	0.005893	0.391713	0.006866	0.360976	0.006727	0.018909	0.001903	0.000400	0.000283	
0.2400	0.0189	0.0005	1.6774	0.235902	0.005972	0.376415	0.006815	0.365550	0.006753	0.021733	0.002044	0.000400	0.000283	
0.2500	0.0194	0.0005	1.6920	0.242608	0.006031	0.361526	0.006760	0.371228	0.006782	0.024177	0.002150	0.000460	0.000289	
0.2600	0.0198	0.0005	1.7034	0.247610	0.006083	0.347559	0.006700	0.377964	0.006809	0.026268	0.002250	0.000600	0.000346	
0.2700	0.0213	0.0005	1.7204	0.266111	0.006144	0.333894	0.006636	0.370812	0.006709	0.028583	0.002331	0.000600	0.000346	
0.2800	0.0233	0.0005	1.7368	0.290959	0.006365	0.321211	0.006572	0.356222	0.006692	0.031009	0.002436	0.000600	0.000346	
0.2900	0.0244	0.0005	1.7467	0.304946	0.006473	0.308521	0.006500	0.352439	0.006694	0.033494	0.002527	0.000600	0.000346	
0.3000	0.0250	0.0005	1.7549	0.311578	0.006520	0.296502	0.006427	0.354955	0.006718	0.036365	0.002620	0.000600	0.000346	
0.3100	0.0253	0.0005	1.7618	0.316335	0.006550	0.285519	0.006357	0.358344	0.006736	0.039202	0.002720	0.000600	0.000346	
0.3200	0.0257	0.0005	1.7674	0.320547	0.006575	0.274670	0.006282	0.362177	0.006754	0.042005	0.002816	0.000600	0.000346	
0.3300	0.0260	0.0005	1.7715	0.324337	0.006591	0.264782	0.006213	0.365760	0.006767	0.044521	0.002896	0.000600	0.000346	
0.3400	0.0274	0.0005	1.7801	0.342376	0.006626	0.254870	0.006136	0.353832	0.006659	0.048322	0.003014	0.000600	0.000346	
0.3500	0.0291	0.0005	1.7819	0.363376	0.006749	0.245156	0.006053	0.340072	0.006630	0.050795	0.003078	0.000600	0.000346	
0.3600	0.0300	0.0005	1.7841	0.374974	0.006806	0.236410	0.005981	0.334274	0.006614	0.053742	0.003170	0.000600	0.000346	
0.3700	0.0308	0.0005	1.7858	0.383761	0.006841	0.228289	0.005909	0.330659	0.006601	0.056691	0.003249	0.000600	0.000346	
0.3800	0.0314	0.0006	1.7874	0.391588	0.006869	0.219722	0.005830	0.328125	0.006590	0.059964	0.003341	0.000600	0.000346	
0.3900	0.0319	0.0006	1.7876	0.398602	0.006895	0.210882	0.005745	0.326885	0.006588	0.063030	0.003424	0.000600	0.000346	
0.4000	0.0323	0.0006	1.7896	0.403317	0.006909	0.202975	0.005665	0.326380	0.006593	0.066729	0.003505	0.000600	0.000346	
0.4100	0.0325	0.0006	1.7921	0.406156	0.006918	0.195961	0.005590	0.326833	0.006595	0.070450	0.003601	0.000600	0.000346	
0.4200	0.0338	0.0006	1.7875	0.421845	0.006911	0.188557	0.005506	0.315458	0.006483	0.073540	0.003674	0.000600	0.000346	
0.4300	0.0351	0.0006	1.7842	0.437554	0.006964	0.181296	0.005425	0.302294	0.006438	0.078256	0.003770	0.000600	0.000346	
0.4400	0.0358	0.0006	1.7822	0.446812	0.006992	0.174967	0.005347	0.295192	0.006402	0.082429	0.003868	0.000600	0.000346	
0.4500	0.0364	0.0006	1.7801	0.454032	0.007009	0.168834	0.005274	0.290588	0.006380	0.085839	0.003944	0.000708	0.000363	
0.4600	0.0368	0.0006	1.7813	0.458924	0.007015	0.163048	0.005202	0.287214	0.006360	0.089840	0.004022	0.000974	0.000436	
0.4700	0.0372	0.0006	1.7791	0.463656	0.007024	0.157443	0.005126	0.284676	0.006345	0.093225	0.004092	0.001000	0.000447	
0.4800	0.0375	0.0006	1.7762	0.467499	0.007030	0.152271	0.005058	0.283275	0.006340	0.095955	0.004144	0.001000	0.000447	
0.4900	0.0377	0.0006	1.7743	0.470369	0.007030	0.147763	0.004995	0.282279	0.006332	0.098552	0.004189	0.001038	0.000449	
0.5000	0.0378	0.0006	1.7772	0.471437	0.007035	0.143382	0.004936	0.281010	0.006328	0.102971	0.004277	0.001200	0.000490	
0.5100	0.0383	0.0006	1.7732	0.477378	0.007009	0.139687	0.004879	0.275794	0.006258	0.105941	0.004327	0.001200	0.000490	
0.5200	0.0394	0.0006	1.7624	0.492235	0.007014	0.135721	0.004824	0.260553	0.006145	0.110291	0.004406	0.001200	0.000490	
0.5300	0.0402	0.0006	1.7537	0.501618	0.007033	0.131156	0.004751	0.251873	0.006090	0.114153	0.004480	0.001200	0.000490	
0.5400	0.0407	0.0006	1.7468	0.508359	0.007030	0.126621	0.004683	0.245810	0.006047	0.118010	0.004536	0.001200	0.000490	
0.5500	0.0411	0.0006	1.7436	0.512477	0.007036	0.123225	0.004628	0.240701	0.006008	0.122396	0.004612	0.001200	0.000490	
0.5600	0.0414	0.0006	1.7377	0.517123	0.007037	0.119578	0.004567	0.236714	0.005975	0.125385	0.004664	0.001200	0.000490	
0.5700	0.0417	0.0006	1.7345	0.519841	0.007034	0.115609	0.004497	0.233583	0.005947	0.129767	0.004727	0.001200	0.000490	
0.5800	0.0419	0.0006	1.7302	0.522731	0.007033	0.111784	0.004437	0.230802	0.005924	0.133483	0.004789	0.001200	0.000490	
0.5900	0.0421	0.0006	1.7266	0.525325	0.007034	0.108367	0.004377	0.227604	0.005899	0.137504	0.004850	0.001200	0.000490	
0.6000	0.0422	0.0006	1.7252	0.526366	0.007032	0.105619	0.004325	0.225243	0.005877	0.141572	0.004906	0.001200	0.000490	
0.6100	0.0422	0.0006	1.7256	0.526327	0.007035	0.102142	0.004263	0.223749	0.005868	0.146430	0.004975	0.001352	0.000513	
0.6200	0.0421	0.0006	1.7259	0.525710	0.007037	0.099007	0.004207	0.222710	0.005856	0.151173	0.005050	0.001400	0.000529	
0.6300	0.0426	0.0006	1.7178	0.531127	0.007007	0.095943	0.004145	0.215836	0.005763	0.155693	0.005103	0.001400	0.000529	
0.6400	0.0434	0.0006	1.7025	0.541487	0.007008	0.093440	0.004098	0.203882	0.005650	0.159792	0.005167	0.001400	0.000529	
0.6500	0.0438	0.0006	1.6934	0.547090	0.007009	0.091494	0.004059	0.196563	0.005582	0.163453	0.005214	0.001400	0.000529	
0.6600	0.0442	0.0006	1.6856	0.551409	0.007005	0.089557	0.004017	0.190909	0.005525	0.166725	0.005253	0.001400	0.000529	
0.6700	0.0444	0.0006	1.6802	0.553599	0.006997	0.087170	0.003970	0.186852	0.005482	0.170979	0.005297	0.001400	0.000529	
0.6800	0.0445	0.0006	1.6768	0.554802	0.006998	0.085421	0.003934	0.183154	0.005439	0.175223	0.005355	0.001400	0.000529	
0.6900	0.0445	0.0006	1.6738	0.555909	0.007000	0.084196	0.003902	0.180198	0.005406	0.178297	0.005390	0.001400	0.000529	
0.7000	0.0446	0.0006	1.6714	0.556399	0.006999	0.082798	0.003873	0.177619	0.005379	0.181784	0.005427	0.001400	0.000529	
0.7100	0.0446	0.0006	1.6706	0.556189	0.007002	0.081890	0.003858	0.175303	0.005353	0.185218	0.005472	0.001400	0.000529	
0.7200	0.0446	0.0006	1.6705	0.556081	0.007004	0.080779	0.003829	0.173520	0.005331	0.188046	0.005505	0.001575	0.000557	
0.7300	0.0444	0.0006	1.6722	0.554552	0.007003	0.080291	0.003816	0.171627	0.005307	0.191930	0.005541	0.001600	0.000565	
0.7400	0.0444	0.0006	1.6726	0.553745	0.007008	0.079840	0.003817	0.169938	0.005289	0.194863	0.005584	0.001615	0.000565	
0.7500	0.0443	0.0006	1.6741	0.553321	0.007012	0.078774	0.003785	0.168383	0.005268	0.197522	0.005611	0.002000	0.000632	
0.7600	0.0443	0.0006	1.6739	0.553042	0.007009	0.077706	0.003765	0.167559	0.005257	0.199543	0.005633	0.002150	0.000649	
0.7700	0.0443	0.0006	1.6728	0.552284	0.007007	0.076232	0.003728	0.165988	0.005234	0.203296	0.005670	0.002200	0.000663	
0.7800	0.0443	0.0006	1.6689	0.553402	0.007002	0.075235	0.003704	0.163081	0.005189	0.206082	0.005700	0.002200	0.000663	
0.7900	0.0448	0.0006	1.6546	0.559560	0.006974	0.073903	0.003689	0.154024	0.005056	0.210313	0.005743	0.002200	0.000663	
0.8000	0.0451	0.0006	1.6462	0.562658	0.006982	0.073772	0.003677	0.146223	0.004964	0.215147	0.005786	0.002200	0.000663	
0.8100	0.0452	0.0006	1.6393	0.564285	0.006987	0.072536	0.003650	0.141721	0.004897	0.219258	0.005839	0.002200	0.000663	
0.8200	0.0454	0.0006	1.6312	0.567055	0.006980	0.071456	0.003619	0.137170	0.004835	0.222063	0.005857	0.002257	0.000665	
0.8300	0.0454	0.0006	1.6306	0.565998	0.006981	0.070829	0.003611	0.134491	0.004799	0.226282	0.005894	0.002400	0.000692	
0.8400	0.0453	0.0006	1.6275	0.565804	0.006985	0.070033	0.003574	0.131996	0.004751	0.229767	0.005928	0.002400	0.000692	
0.8500	0.0454	0.0006	1.6228	0.566675	0.006984	0.068246	0.003552	0.130386	0.004740	0.232173	0.005953	0.002520	0.000702	
0.8600	0.0454	0.0006	1.6205	0.565946	0.006988	0.067175	0.003526	0.128320	0.004708	0.235959	0.005989	0.002600	0.000720	
0.8700	0.0453	0.0006	1.6170	0.565570	0.006987	0.066257	0.003497	0.125804	0.004662	0.239769	0.006020	0.002600	0.000720	
0.8800	0.0452	0.0006	1.6140	0.564210	0.006980	0.065087	0.003465	0.123189	0.004616	0.244914	0.006055	0.002600	0.000720	
0.8900	0.0451	0.0006	1.6157	0.563281	0.006992	0.065716	0.003480	0.121375	0.004590	0.246843	0.006079	0.002785	0.000743	
0.9000	0.0451	0.0006	1.6164	0.562291	0.006994	0.066006	0.003483	0.120268	0.004577	0.248634	0.006088	0.002800	0.000747	
0.9100	0.0448	0.0006	1.6208	0.558577	0.007001	0.066098	0.003497	0.119167	0.004562	0.253183	0.006130	0.002975	0.000767	
