Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.2321	0.0058	1.9990	1.0000	G1_S	0.240041	0.005924	Senescence	0.259312	0.006079	<nil>	0.259548	0.006080	Senescence -- G1_S	0.241099	0.005933
0.1000	0.1982	0.0054	1.9905	1.0000	G1_S	0.219805	0.005726	Senescence	0.283716	0.006254	<nil>	0.272977	0.006178	Senescence -- G1_S	0.223503	0.005766
0.2000	0.1637	0.0050	1.9752	1.0000	<nil>	0.291045	0.006314	Senescence	0.300889	0.006374	G1_S	0.199011	0.005529	Senescence -- G1_S	0.209055	0.005633
0.3000	0.1376	0.0047	1.9533	1.0000	<nil>	0.309032	0.006428	Senescence	0.317247	0.006473	G1_S	0.183770	0.005371	Senescence -- G1_S	0.189952	0.005437
0.4000	0.1201	0.0045	1.9281	1.0000	<nil>	0.326054	0.006536	Senescence	0.330434	0.006552	G1_S	0.169424	0.005231	Senescence -- G1_S	0.174087	0.005278
0.5000	0.1065	0.0042	1.8993	1.0000	Senescence	0.345197	0.006627	G1_S	0.158898	0.005087	<nil>	0.339371	0.006597	Senescence -- G1_S	0.156535	0.005056
0.6000	0.0932	0.0040	1.8703	1.0000	Senescence	0.351366	0.006661	G1_S	0.146266	0.004915	<nil>	0.357348	0.006688	Senescence -- G1_S	0.145020	0.004895
0.7000	0.0837	0.0038	1.8386	1.0000	Senescence	0.356955	0.006693	G1_S	0.135952	0.004770	<nil>	0.374782	0.006755	Senescence -- G1_S	0.132312	0.004731
0.8000	0.0752	0.0036	1.8053	1.0000	Senescence	0.360608	0.006705	G1_S	0.127032	0.004643	<nil>	0.392453	0.006828	Senescence -- G1_S	0.119907	0.004518
0.9000	0.0668	0.0034	1.7732	1.0000	Senescence	0.361757	0.006723	G1_S	0.121610	0.004565	<nil>	0.409420	0.006878	Senescence -- G1_S	0.107213	0.004323
1.0000	0.0595	0.0032	1.7380	1.0000	Senescence	0.364879	0.006731	G1_S	0.115839	0.004451	<nil>	0.424454	0.006905	Senescence -- G1_S	0.094828	0.004077
1.1000	0.0519	0.0030	1.7031	1.0000	Senescence	0.364552	0.006736	G1_S	0.107257	0.004314	<nil>	0.441372	0.006947	Senescence -- G1_S	0.086820	0.003926
1.2000	0.0449	0.0028	1.6713	1.0000	Senescence	0.366527	0.006755	G1_S	0.102178	0.004225	<nil>	0.453378	0.006974	Senescence -- G1_S	0.077916	0.003737
1.3000	0.0410	0.0027	1.6396	1.0000	Senescence	0.367485	0.006745	G1_S	0.097927	0.004152	<nil>	0.465235	0.006983	Senescence -- G1_S	0.069353	0.003532
1.4000	0.0367	0.0026	1.6027	1.0000	Senescence	0.363465	0.006728	G1_S	0.092001	0.004040	<nil>	0.482772	0.006988	Senescence -- G1_S	0.061762	0.003362
1.5000	0.0323	0.0024	1.5718	1.0000	Senescence	0.362249	0.006743	G1_S	0.085926	0.003912	<nil>	0.495128	0.007011	Senescence -- G1_S	0.056697	0.003224
1.6000	0.0290	0.0023	1.5416	1.0000	Senescence	0.359247	0.006725	G1_S	0.081152	0.003820	<nil>	0.508027	0.007006	Senescence -- G1_S	0.051574	0.003089
1.7000	0.0263	0.0022	1.5143	1.0000	Senescence	0.359674	0.006734	G1_S	0.076803	0.003726	<nil>	0.516608	0.007013	Senescence -- G1_S	0.046915	0.002948
1.8000	0.0229	0.0021	1.4861	1.0000	Senescence	0.354073	0.006701	G1_S	0.072491	0.003629	<nil>	0.530188	0.006996	Senescence -- G1_S	0.043248	0.002836
1.9000	0.0207	0.0020	1.4568	1.0000	Senescence	0.351075	0.006693	G1_S	0.069081	0.003543	<nil>	0.541318	0.006979	Senescence -- G1_S	0.038526	0.002696
2.0000	0.0185	0.0018	1.4362	1.0000	Senescence	0.349800	0.006688	G1_S	0.066323	0.003477	<nil>	0.548320	0.006974	Senescence -- G1_S	0.035557	0.002588
2.1000	0.0167	0.0018	1.4083	1.0000	Senescence	0.347230	0.006685	G1_S	0.063525	0.003420	<nil>	0.558026	0.006977	Senescence -- G1_S	0.031219	0.002419
2.2000	0.0148	0.0017	1.3816	1.0000	Senescence	0.344981	0.006670	G1_S	0.062095	0.003382	<nil>	0.566501	0.006956	Senescence -- G1_S	0.026424	0.002228
2.3000	0.0131	0.0016	1.3640	1.0000	Senescence	0.340962	0.006654	G1_S	0.059684	0.003317	<nil>	0.574466	0.006937	Senescence -- G1_S	0.024889	0.002177
2.4000	0.0118	0.0015	1.3423	1.0000	Senescence	0.340474	0.006650	G1_S	0.055930	0.003219	<nil>	0.580642	0.006923	Senescence -- G1_S	0.022954	0.002089
2.5000	0.0110	0.0014	1.3221	1.0000	Senescence	0.341428	0.006662	G1_S	0.052895	0.003135	<nil>	0.584940	0.006918	Senescence -- G1_S	0.020737	0.001992
2.6000	0.0099	0.0014	1.3025	1.0000	Senescence	0.340470	0.006651	G1_S	0.050636	0.003078	<nil>	0.590385	0.006907	Senescence -- G1_S	0.018509	0.001865
2.7000	0.0087	0.0013	1.2842	1.0000	Senescence	0.339235	0.006643	G1_S	0.049455	0.003038	<nil>	0.595379	0.006884	Senescence -- G1_S	0.015930	0.001745
2.8000	0.0078	0.0012	1.2727	1.0000	Senescence	0.336685	0.006637	G1_S	0.048047	0.003006	<nil>	0.600148	0.006879	Senescence -- G1_S	0.015119	0.001710
2.9000	0.0075	0.0012	1.2615	1.0000	Senescence	0.335431	0.006634	G1_S	0.046870	0.002972	<nil>	0.603662	0.006872	Senescence -- G1_S	0.014037	0.001651
3.0000	0.0073	0.0012	1.2451	1.0000	Senescence	0.333095	0.006626	G1_S	0.045204	0.002912	<nil>	0.609162	0.006857	Senescence -- G1_S	0.012538	0.001555
3.1000	0.0062	0.0011	1.2330	1.0000	Senescence	0.330758	0.006608	G1_S	0.044021	0.002891	<nil>	0.613656	0.006842	Senescence -- G1_S	0.011564	0.001493
3.2000	0.0063	0.0011	1.2176	1.0000	Senescence	0.328819	0.006597	G1_S	0.043352	0.002865	<nil>	0.618154	0.006820	Senescence -- G1_S	0.009675	0.001376
3.3000	0.0056	0.0010	1.2068	1.0000	Senescence	0.329798	0.006603	G1_S	0.041716	0.002805	<nil>	0.619701	0.006816	Senescence -- G1_S	0.008785	0.001298
3.4000	0.0049	0.0010	1.1958	1.0000	Senescence	0.330005	0.006598	G1_S	0.039816	0.002742	<nil>	0.621990	0.006799	Senescence -- G1_S	0.008189	0.001270
3.5000	0.0054	0.0010	1.1827	1.0000	Senescence	0.329164	0.006608	G1_S	0.037305	0.002667	<nil>	0.625703	0.006804	Senescence -- G1_S	0.007829	0.001235
3.6000	0.0054	0.0010	1.1745	1.0000	Senescence	0.328741	0.006599	G1_S	0.036667	0.002646	<nil>	0.627578	0.006790	Senescence -- G1_S	0.007014	0.001179
3.7000	0.0050	0.0010	1.1678	1.0000	Senescence	0.328179	0.006605	G1_S	0.036090	0.002628	<nil>	0.629304	0.006797	Senescence -- G1_S	0.006427	0.001101
3.8000	0.0045	0.0009	1.1648	1.0000	Senescence	0.331933	0.006620	G1_S	0.035671	0.002608	<nil>	0.626674	0.006800	Senescence -- G1_S	0.005722	0.001040
3.9000	0.0041	0.0009	1.1592	1.0000	Senescence	0.333789	0.006631	G1_S	0.035821	0.002619	<nil>	0.625811	0.006805	Senescence -- G1_S	0.004579	0.000942
4.0000	0.0034	0.0008	1.1528	1.0000	Senescence	0.335182	0.006641	G1_S	0.034288	0.002558	<nil>	0.626137	0.006806	Senescence -- G1_S	0.004393	0.000911
4.1000	0.0025	0.0007	1.1463	1.0000	Senescence	0.337984	0.006650	G1_S	0.033530	0.002534	<nil>	0.624886	0.006804	Senescence -- G1_S	0.003600	0.000847
4.2000	0.0028	0.0007	1.1457	1.0000	Senescence	0.339940	0.006657	G1_S	0.033325	0.002532	<nil>	0.623327	0.006811	Senescence -- G1_S	0.003408	0.000813
4.3000	0.0028	0.0007	1.1400	1.0000	Senescence	0.339846	0.006663	G1_S	0.032177	0.002481	<nil>	0.624671	0.006810	Senescence -- G1_S	0.003306	0.000791
4.4000	0.0020	0.0006	1.1375	1.0000	Senescence	0.342149	0.006673	G1_S	0.030874	0.002435	<nil>	0.623516	0.006814	Senescence -- G1_S	0.003460	0.000818
4.5000	0.0015	0.0005	1.1367	1.0000	Senescence	0.343962	0.006684	G1_S	0.030160	0.002412	<nil>	0.622324	0.006822	Senescence -- G1_S	0.003554	0.000837
4.6000	0.0013	0.0005	1.1322	1.0000	Senescence	0.345924	0.006692	G1_S	0.029660	0.002389	<nil>	0.621383	0.006822	Senescence -- G1_S	0.003033	0.000769
4.7000	0.0014	0.0005	1.1280	1.0000	Senescence	0.346228	0.006694	G1_S	0.029063	0.002372	<nil>	0.621910	0.006823	Senescence -- G1_S	0.002800	0.000747
4.8000	0.0012	0.0005	1.1231	1.0000	Senescence	0.344938	0.006683	G1_S	0.028579	0.002344	<nil>	0.623905	0.006809	Senescence -- G1_S	0.002579	0.000704
4.9000	0.0012	0.0005	1.1185	1.0000	Senescence	0.343518	0.006680	G1_S	0.028520	0.002352	<nil>	0.625761	0.006808	Senescence -- G1_S	0.002200	0.000663
5.0000	0.0013	0.0005	1.1168	1.0000	Senescence	0.343090	0.006687	G1_S	0.027995	0.002320	<nil>	0.626601	0.006811	Senescence -- G1_S	0.002314	0.000672
5.1000	0.0014	0.0005	1.1147	1.0000	Senescence	0.341882	0.006677	G1_S	0.027796	0.002322	<nil>	0.628023	0.006805	Senescence -- G1_S	0.002299	0.000666
5.2000	0.0017	0.0005	1.1096	1.0000	Senescence	0.340196	0.006672	G1_S	0.027306	0.002298	<nil>	0.630367	0.006799	Senescence -- G1_S	0.002131	0.000628
5.3000	0.0014	0.0005	1.1065	1.0000	Senescence	0.338566	0.006661	G1_S	0.026466	0.002268	<nil>	0.632568	0.006786	Senescence -- G1_S	0.002400	0.000692
5.4000	0.0015	0.0005	1.1046	1.0000	Senescence	0.337398	0.006644	G1_S	0.026282	0.002260	<nil>	0.633920	0.006771	Senescence -- G1_S	0.002400	0.000692
5.5000	0.0017	0.0006	1.1029	1.0000	Senescence	0.337030	0.006652	G1_S	0.025670	0.002229	<nil>	0.634722	0.006776	Senescence -- G1_S	0.002578	0.000706
5.6000	0.0010	0.0004	1.0991	1.0000	Senescence	0.336838	0.006653	G1_S	0.025106	0.002210	<nil>	0.635598	0.006775	Senescence -- G1_S	0.002458	0.000688
5.7000	0.0007	0.0004	1.0931	1.0000	Senescence	0.337576	0.006657	G1_S	0.024667	0.002188	<nil>	0.635870	0.006774	Senescence -- G1_S	0.001887	0.000606
5.8000	0.0005	0.0003	1.0913	1.0000	Senescence	0.337085	0.006655	G1_S	0.024677	0.002192	<nil>	0.636515	0.006773	Senescence -- G1_S	0.001723	0.000578
5.9000	0.0004	0.0003	1.0897	1.0000	Senescence	0.335859	0.006645	G1_S	0.024800	0.002200	<nil>	0.637741	0.006764	Senescence -- G1_S	0.001600	0.000565
6.0000	0.0003	0.0002	1.0889	1.0000	Senescence	0.335565	0.006649	G1_S	0.024930	0.002202	<nil>	0.638035	0.006768	Senescence -- G1_S	0.001470	0.000530
6.1000	0.0000	0.0000	1.0838	1.0000	Senescence	0.332268	0.006632	G1_S	0.025019	0.002208	<nil>	0.641513	0.006753	Senescence -- G1_S	0.001200	0.000490
6.2000	0.0001	0.0001	1.0814	1.0000	Senescence	0.330200	0.006612	G1_S	0.024930	0.002203	<nil>	0.643670	0.006734	Senescence -- G1_S	0.001200	0.000490
6.3000	0.0002	0.0002	1.0778	1.0000	Senescence	0.327605	0.006604	G1_S	0.024709	0.002193	<nil>	0.646486	0.006727	Senescence -- G1_S	0.001200	0.000490
6.4000	0.0002	0.0002	1.0753	1.0000	Senescence	0.326028	0.006594	G1_S	0.024495	0.002184	<nil>	0.648277	0.006718	Senescence -- G1_S	0.001200	0.000490
6.5000	0.0003	0.0002	1.0750	1.0000	Senescence	0.327321	0.006608	G1_S	0.024465	0.002181	<nil>	0.647162	0.006730	Senescence -- G1_S	0.001052	0.000450
6.6000	0.0004	0.0003	1.0712	1.0000	Senescence	0.326724	0.006602	G1_S	0.024200	0.002173	<nil>	0.648238	0.006723	Senescence -- G1_S	0.000838	0.000402
6.7000	0.0003	0.0002	1.0677	1.0000	Senescence	0.324815	0.006592	G1_S	0.024211	0.002167	<nil>	0.650309	0.006712	Senescence -- G1_S	0.000665	0.000352
6.8000	0.0002	0.0002	1.0659	1.0000	Senescence	0.324693	0.006595	G1_S	0.024003	0.002164	<nil>	0.650704	0.006715	Senescence -- G1_S	0.000600	0.000346
6.9000	0.0002	0.0002	1.0618	1.0000	Senescence	0.322449	0.006579	G1_S	0.023613	0.002147	<nil>	0.653338	0.006699	Senescence -- G1_S	0.000600	0.000346
7.0000	0.0002	0.0002	1.0607	1.0000	Senescence	0.321610	0.006576	G1_S	0.023576	0.002145	<nil>	0.654213	0.006697	Senescence -- G1_S	0.000600	0.000346
7.1000	0.0001	0.0001	1.0559	1.0000	Senescence	0.319196	0.006567	G1_S	0.023097	0.002120	<nil>	0.657107	0.006686	Senescence -- G1_S	0.000600	0.000346
7.2000	0.0000	0.0000	1.0537	1.0000	Senescence	0.319205	0.006564	G1_S	0.022633	0.002102	<nil>	0.657562	0.006683	Senescence -- G1_S	0.000600	0.000346
7.3000	0.0000	0.0000	1.0540	1.0000	Senescence	0.319261	0.006567	G1_S	0.022688	0.002104	<nil>	0.657450	0.006685	Senescence -- G1_S	0.000600	0.000346
7.4000	0.0000	0.0000	1.0507	1.0000	Senescence	0.316546	0.006550	G1_S	0.022986	0.002119	<nil>	0.660054	0.006672	Senescence -- G1_S	0.000414	0.000283
7.5000	0.0000	0.0000	1.0490	1.0000	Senescence	0.315080	0.006541	G1_S	0.023000	0.002120	<nil>	0.661520	0.006664	Senescence -- G1_S	0.000400	0.000283
7.6000	0.0003	0.0002	1.0479	1.0000	Senescence	0.314064	0.006532	G1_S	0.023000	0.002120	<nil>	0.662536	0.006655	Senescence -- G1_S	0.000400	0.000283
7.7000	0.0003	0.0002	1.0485	1.0000	Senescence	0.315078	0.006543	G1_S	0.023144	0.002123	<nil>	0.661487	0.006665	Senescence -- G1_S	0.000291	0.000220
7.8000	0.0002	0.0002	1.0447	1.0000	Senescence	0.313045	0.006532	G1_S	0.023017	0.002120	<nil>	0.663738	0.006655	Senescence -- G1_S	0.000200	0.000200
7.9000	0.0002	0.0002	1.0440	1.0000	Senescence	0.312553	0.006524	G1_S	0.022989	0.002119	<nil>	0.664258	0.006647	Senescence -- G1_S	0.000200	0.000200
