Time	TH	ErrTH	H	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Senescence]	ErrProb[Senescence]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[p21]	ErrProb[p21]	Prob[<nil>]	ErrProb[<nil>]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	
0.0000	0.8434	0.0092	3.9957	0.060923	0.003281	0.068225	0.003443	0.062426	0.003321	0.063134	0.003332	0.063237	0.003328	0.055178	0.003121	0.066243	0.003401	0.073793	0.003575	0.063254	0.003307	0.062873	0.003320	0.061742	0.003302	0.059358	0.003235	0.065114	0.003391	0.053614	0.003080	0.064571	0.003371	0.056317	0.003143	
0.1000	0.7351	0.0091	3.9823	0.054224	0.003106	0.076188	0.003645	0.067293	0.003414	0.064954	0.003383	0.061055	0.003274	0.054149	0.003098	0.070740	0.003513	0.081664	0.003762	0.059994	0.003255	0.067726	0.003443	0.063830	0.003344	0.053415	0.003087	0.069130	0.003476	0.049794	0.002986	0.063259	0.003325	0.042584	0.002773	
0.2000	0.6484	0.0089	3.9604	0.046149	0.002863	0.079876	0.003739	0.072362	0.003557	0.064965	0.003373	0.058410	0.003231	0.054241	0.003133	0.079530	0.003722	0.088739	0.003915	0.056101	0.003161	0.068965	0.003493	0.066798	0.003423	0.050488	0.003014	0.071811	0.003567	0.043769	0.002803	0.064935	0.003393	0.032862	0.002432	
0.3000	0.5773	0.0087	3.9319	0.037948	0.002598	0.084701	0.003841	0.072808	0.003574	0.072610	0.003574	0.058706	0.003238	0.052914	0.003102	0.087542	0.003895	0.092562	0.003982	0.051870	0.003045	0.070056	0.003512	0.063926	0.003362	0.046504	0.002876	0.076249	0.003660	0.037952	0.002627	0.067882	0.003462	0.025771	0.002175	
0.4000	0.5132	0.0083	3.8990	0.031314	0.002375	0.087715	0.003915	0.076079	0.003667	0.078984	0.003736	0.058961	0.003252	0.054328	0.003138	0.091175	0.003994	0.099796	0.004152	0.050341	0.003019	0.069126	0.003490	0.062259	0.003329	0.041659	0.002757	0.075978	0.003662	0.032080	0.002431	0.070714	0.003547	0.019494	0.001910	
0.5000	0.4637	0.0082	3.8692	0.025835	0.002184	0.087248	0.003907	0.079590	0.003744	0.082392	0.003807	0.057700	0.003207	0.058072	0.003231	0.094995	0.004063	0.108240	0.004304	0.047666	0.002951	0.066934	0.003458	0.060967	0.003273	0.038642	0.002666	0.073202	0.003609	0.028423	0.002299	0.074429	0.003638	0.015667	0.001696	
0.6000	0.4140	0.0079	3.8365	0.021514	0.001995	0.085245	0.003852	0.083305	0.003833	0.084656	0.003877	0.056148	0.003187	0.061686	0.003333	0.097693	0.004114	0.117403	0.004444	0.045039	0.002858	0.063567	0.003360	0.059333	0.003264	0.035480	0.002578	0.071832	0.003552	0.024635	0.002140	0.079731	0.003749	0.012733	0.001543	
0.7000	0.3771	0.0076	3.8046	0.017333	0.001769	0.086158	0.003875	0.083609	0.003828	0.087299	0.003931	0.054392	0.003122	0.064975	0.003424	0.104138	0.004249	0.121683	0.004548	0.042028	0.002771	0.057778	0.003222	0.057864	0.003211	0.034298	0.002525	0.071637	0.003586	0.020353	0.001942	0.084970	0.003879	0.011484	0.001459	
0.8000	0.3509	0.0074	3.7759	0.013571	0.001581	0.084852	0.003861	0.086290	0.003903	0.089858	0.003980	0.054646	0.003155	0.067187	0.003463	0.109699	0.004359	0.122140	0.004555	0.041234	0.002727	0.053529	0.003121	0.057200	0.003213	0.032052	0.002445	0.072397	0.003595	0.016442	0.001756	0.088339	0.003935	0.010562	0.001395	
0.9000	0.3245	0.0072	3.7531	0.011732	0.001484	0.081033	0.003775	0.086599	0.003892	0.092263	0.004026	0.055542	0.003188	0.071008	0.003586	0.114176	0.004436	0.124821	0.004592	0.041321	0.002732	0.049550	0.003015	0.056887	0.003222	0.029099	0.002327	0.070553	0.003559	0.014984	0.001682	0.091266	0.004008	0.009167	0.001295	
