Time	TH	ErrTH	H	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[p21]	ErrProb[p21]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[Senescence]	ErrProb[Senescence]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[Insulin]	ErrProb[Insulin]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	
0.0000	0.8725	0.0212	3.9895	0.000000	0.000000	0.074425	0.008004	0.000000	0.000000	0.065320	0.007544	0.000000	0.000000	0.059869	0.007134	0.000000	0.000000	0.000000	0.000000	0.043478	0.006232	0.054445	0.006914	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.058452	0.007072	0.072016	0.007888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064652	0.007571	0.000000	0.000000	0.066286	0.007722	0.059127	0.007290	0.062749	0.007472	0.072939	0.008061	0.063569	0.007455	0.000000	0.000000	0.000000	0.000000	0.058659	0.007165	0.065865	0.007680	0.058151	0.007195	0.000000	0.000000	
0.1000	0.7647	0.0209	3.9788	0	0	0.080787	0.008356	0	0	0.063137	0.007499	0	0	0.062431	0.007429	0	0	0	0	0.041700	0.006151	0.050444	0.006728	0	0	0	0	0	0	0.062675	0.007455	0.077064	0.008163	0	0	0	0	0	0	0	0	0.071033	0.007828	0	0	0.061058	0.007269	0.052027	0.006803	0.073491	0.008005	0.068359	0.007744	0.069780	0.007756	0	0	0	0	0.047789	0.006507	0.054947	0.006980	0.063276	0.007444	0	0	
0.2000	0.6700	0.0204	3.9528	0	0	0.087142	0.008778	0	0	0.064010	0.007534	0	0	0.063122	0.007441	0	0	0	0	0.038838	0.005888	0.048540	0.006608	0	0	0	0	0	0	0.066084	0.007646	0.085635	0.008537	0	0	0	0	0	0	0	0	0.080196	0.008387	0	0	0.048927	0.006667	0.042329	0.006153	0.078611	0.008314	0.070267	0.007874	0.072512	0.007899	0	0	0	0	0.043859	0.006271	0.042644	0.006100	0.067282	0.007751	0	0	
0.3000	0.5996	0.0196	3.9269	0	0	0.090319	0.008832	0	0	0.063217	0.007498	0	0	0.059881	0.007388	0	0	0	0	0.033842	0.005516	0.046345	0.006494	0	0	0	0	0	0	0.068499	0.007828	0.093636	0.008900	0	0	0	0	0	0	0	0	0.085206	0.008575	0	0	0.048468	0.006615	0.038057	0.005834	0.076111	0.008151	0.070548	0.007890	0.080380	0.008308	0	0	0	0	0.044693	0.006461	0.031251	0.005355	0.069546	0.007903	0	0	
0.4000	0.5221	0.0190	3.8907	0	0	0.096413	0.009202	0	0	0.057683	0.007185	0	0	0.055378	0.006937	0	0	0	0	0.031018	0.005213	0.044994	0.006344	0	0	0	0	0	0	0.074416	0.008049	0.099579	0.009325	0	0	0	0	0	0	0	0	0.088188	0.008749	0	0	0.039264	0.006053	0.029959	0.005247	0.078680	0.008349	0.072602	0.008050	0.089328	0.008741	0	0	0	0	0.043685	0.006257	0.027188	0.005076	0.071624	0.007903	0	0	
0.5000	0.4560	0.0184	3.8549	0	0	0.101187	0.009422	0	0	0.054706	0.007075	0	0	0.052360	0.006830	0	0	0	0	0.026316	0.004847	0.051237	0.006746	0	0	0	0	0	0	0.074697	0.008215	0.106128	0.009592	0	0	0	0	0	0	0	0	0.090938	0.008884	0	0	0.034077	0.005632	0.023527	0.004713	0.083695	0.008647	0.075623	0.008177	0.088006	0.008736	0	0	0	0	0.038722	0.005995	0.023564	0.004608	0.075218	0.008132	0	0	
0.6000	0.4171	0.0178	3.8373	0	0	0.100970	0.009395	0	0	0.053622	0.006919	0	0	0.050542	0.006816	0	0	0	0	0.024148	0.004785	0.053741	0.006970	0	0	0	0	0	0	0.079699	0.008356	0.106263	0.009533	0	0	0	0	0	0	0	0	0.093425	0.009092	0	0	0.032119	0.005392	0.021413	0.004476	0.081912	0.008464	0.080679	0.008438	0.085463	0.008674	0	0	0	0	0.040372	0.005991	0.018629	0.004147	0.077003	0.008288	0	0	
0.7000	0.3680	0.0170	3.8065	0	0	0.103357	0.009500	0	0	0.050922	0.006792	0	0	0.049367	0.006704	0	0	0	0	0.019855	0.004329	0.054767	0.007081	0	0	0	0	0	0	0.083099	0.008503	0.114020	0.009803	0	0	0	0	0	0	0	0	0.092454	0.009046	0	0	0.024748	0.004757	0.020727	0.004467	0.080538	0.008437	0.085078	0.008678	0.081271	0.008452	0	0	0	0	0.038704	0.005912	0.017423	0.004077	0.083670	0.008590	0	0	
0.8000	0.3303	0.0164	3.7786	0	0	0.112722	0.009742	0	0	0.047652	0.006563	0	0	0.048157	0.006619	0	0	0	0	0.017499	0.004059	0.053228	0.006987	0	0	0	0	0	0	0.086829	0.008699	0.117855	0.010035	0	0	0	0	0	0	0	0	0.089289	0.008780	0	0	0.020462	0.004378	0.020522	0.004378	0.077378	0.008331	0.085899	0.008660	0.076243	0.008207	0	0	0	0	0.041545	0.006080	0.014567	0.003624	0.090154	0.008976	0	0	
0.9000	0.3023	0.0158	3.7407	0	0	0.124134	0.010322	0	0	0.044239	0.006299	0	0	0.048237	0.006637	0	0	0	0	0.015831	0.003931	0.053804	0.007037	0	0	0	0	0	0	0.082993	0.008611	0.122921	0.010182	0	0	0	0	0	0	0	0	0.082154	0.008584	0	0	0.018925	0.004240	0.018248	0.004113	0.068553	0.007819	0.096050	0.009233	0.075980	0.008203	0	0	0	0	0.039806	0.006090	0.011045	0.003300	0.097079	0.009264	0	0	
1.0000	0.2843	0.0154	3.7142	0	0	0.126398	0.010384	0	0	0.044227	0.006312	0	0	0.048419	0.006665	0	0	0	0	0.017086	0.003932	0.052751	0.006951	0	0	0	0	0	0	0.084989	0.008728	0.127843	0.010429	0	0	0	0	0	0	0	0	0.078181	0.008350	0	0	0.014679	0.003726	0.014381	0.003642	0.067128	0.007714	0.098503	0.009325	0.075318	0.008237	0	0	0	0	0.041013	0.006129	0.009394	0.002869	0.099691	0.009376	0	0	
1.1000	0.2642	0.0147	3.6922	0	0	0.129683	0.010462	0	0	0.045288	0.006395	0	0	0.048719	0.006622	0	0	0	0	0.017357	0.003906	0.048464	0.006564	0	0	0	0	0	0	0.091481	0.008934	0.127762	0.010330	0	0	0	0	0	0	0	0	0.077928	0.008324	0	0	0.012460	0.003474	0.013580	0.003554	0.064873	0.007652	0.102012	0.009435	0.070759	0.007833	0	0	0	0	0.041853	0.006077	0.006934	0.002500	0.100845	0.009359	0	0	
