Time,mTORC1_S6K1,<nil>,Senescence,Insulin,p21,AKT
0,0.471858,0,0.468611,1.000002,0.490643,0.490209
0.1,0.451621,0,0.473828,0.999998,0.472617,0.465163
0.2,0.440636,0,0.476829,0.999998,0.451217,0.434166
0.3,0.424605,0,0.476474,0.999999,0.441382,0.407839
0.4,0.420905,0,0.468172,0.999999,0.427339,0.381388
0.5,0.417737,0,0.462308,1.000001,0.413549,0.372745
0.6,0.424813,0,0.459357,1,0.408079,0.366263
0.7,0.431963,0,0.453033,1,0.400938,0.354058
0.8,0.437878,0,0.442744,1.000001,0.40676,0.337207
0.9,0.444845,0,0.435572,0.999999,0.407222,0.326695
1,0.451846,0,0.430054,1.000001,0.400823,0.318149
1.1,0.457665,0,0.42294,0.999998,0.40064,0.310968
1.2,0.463226,0,0.413716,1,0.410345,0.307769
1.3,0.472381,0,0.408002,1,0.414892,0.308317
1.4,0.48731,0,0.400661,1,0.41904,0.304307
1.5,0.492779,0,0.390055,1.000001,0.424933,0.30051
1.6,0.495752,0,0.383499,0.999998,0.431342,0.298615
1.7,0.498953,0,0.377218,1.000001,0.433078,0.293819
1.8,0.506256,0,0.37181,1,0.443592,0.289089
1.9,0.513073,0,0.371811,1.000001,0.451935,0.285554
2,0.524448,0,0.366302,1,0.456283,0.28445
2.1,0.52618,0,0.358799,0.999998,0.463902,0.282595
2.2,0.530596,0,0.355265,1,0.479396,0.286118
2.3,0.538864,0,0.353887,0.999999,0.487789,0.287528
2.4,0.544714,0,0.346475,1.000001,0.491779,0.289804
2.5,0.551395,0,0.338155,1.000001,0.501695,0.291938
2.6,0.553807,0,0.336665,1.000001,0.510977,0.288968
2.7,0.558896,0,0.332078,0.999999,0.512475,0.290671
2.8,0.562349,0,0.331548,1,0.511356,0.294668
2.9,0.563911,0,0.333703,1.000001,0.513874,0.294362
3,0.56644,0,0.330329,1.000001,0.520184,0.289253
3.1,0.567582,0,0.329733,1,0.522827,0.287457
3.2,0.574387,0,0.326445,0.999999,0.525684,0.287514
3.3,0.578699,0,0.326093,1,0.533112,0.289457
3.4,0.579714,0,0.327053,0.999999,0.540209,0.292847
3.5,0.581741,0,0.322255,1.000002,0.545225,0.298868
3.6,0.582732,0,0.321097,0.999999,0.544951,0.30382
3.7,0.581812,0,0.319865,0.999998,0.548954,0.308904
3.8,0.582447,0,0.321362,1.000001,0.550576,0.312791
3.9,0.581891,0,0.313709,1.000001,0.556457,0.31516
4,0.579392,0,0.309355,1,0.563581,0.315792
4.1,0.582335,0,0.304777,1,0.56581,0.31834
4.2,0.585054,0,0.304725,1,0.562836,0.321919
4.3,0.585505,0,0.306462,1.000002,0.564678,0.325481
4.4,0.585054,0,0.305704,1.000001,0.561173,0.330164
4.5,0.585386,0,0.303576,1,0.564033,0.332401
4.6,0.581631,0,0.301721,1,0.564439,0.33674
4.7,0.578612,0,0.299708,1.000001,0.56976,0.341717
4.8,0.57368,0,0.295373,1.000003,0.567883,0.343962
4.9,0.57239,0,0.293267,1.000001,0.566052,0.346691
5,0.579339,0,0.288515,1.000001,0.56324,0.348917
5.1,0.577847,0,0.289371,0.999999,0.563102,0.348372
5.2,0.576356,0,0.285102,0.999999,0.562275,0.34868
5.3,0.576743,0,0.28376,1.000002,0.560682,0.349235
5.4,0.577285,0,0.282243,1,0.559892,0.350343
5.5,0.578589,0,0.280216,0.999999,0.564016,0.349713
5.6,0.581871,0,0.277815,1.000001,0.562061,0.350739
5.7,0.580981,0,0.267222,0.999999,0.560907,0.351835
5.8,0.582833,0,0.268509,1,0.562044,0.356004
5.9,0.581466,0,0.262584,1.000001,0.559452,0.358751
6,0.580706,0,0.259131,1,0.554574,0.359205
6.1,0.575799,0,0.254648,1,0.553082,0.3596
6.2,0.568574,0,0.253537,1.000001,0.551264,0.361383
6.3,0.564428,0,0.24738,0.999999,0.546165,0.361886
6.4,0.565897,0,0.24273,0.999999,0.545077,0.360769
6.5,0.564398,0,0.241659,1.000002,0.542378,0.360855
6.6,0.566515,0,0.241436,0.999999,0.543584,0.361283
6.7,0.566471,0,0.245125,1.000001,0.545099,0.363295
6.8,0.566117,0,0.244913,0.999999,0.545294,0.365717
6.9,0.566635,0,0.240961,1.000001,0.543442,0.366569
7,0.562514,0,0.237628,0.999999,0.545505,0.367331
7.1,0.565849,0,0.227985,1,0.547115,0.368815
7.2,0.56951,0,0.224166,1,0.546297,0.368639
7.3,0.571227,0,0.222299,0.999999,0.549623,0.368431
7.4,0.571679,0,0.223286,0.999998,0.550957,0.371102
7.5,0.573441,0,0.22435,0.999999,0.551691,0.374187
7.6,0.57299,0,0.222352,1.000002,0.550162,0.375472
7.7,0.574276,0,0.223166,1,0.548974,0.375629
7.8,0.572968,0,0.22179,0.999998,0.547436,0.376
7.9,0.574512,0,0.221115,1,0.544126,0.3775
8,0.575349,0,0.216852,1,0.54196,0.377557
8.1,0.573747,0,0.212802,0.999999,0.541298,0.377138
8.2,0.576355,0,0.210867,0.999999,0.538445,0.376914
8.3,0.573383,0,0.208978,1,0.538583,0.378278
8.4,0.578531,0,0.212291,1,0.541579,0.381571
8.5,0.584117,0,0.214342,1,0.539249,0.382557
8.6,0.587057,0,0.215292,1.000001,0.536721,0.383
8.7,0.591231,0,0.216551,1,0.535647,0.382899
8.8,0.592395,0,0.209357,1.000001,0.537001,0.382408
8.9,0.589462,0,0.208566,0.999999,0.538116,0.380571
9,0.592725,0,0.210406,1.000001,0.531309,0.383264
9.1,0.593962,0,0.213583,1.000001,0.527599,0.384574
9.2,0.594717,0,0.217367,0.999998,0.523298,0.387822
9.3,0.594005,0,0.215031,0.999998,0.519738,0.389152
9.4,0.596044,0,0.217698,0.999997,0.51717,0.392259
9.5,0.599215,0,0.218171,1,0.515639,0.397091
9.6,0.604026,0,0.220771,1.000002,0.517187,0.400551
9.7,0.60756,0,0.22186,1,0.519033,0.401903
9.8,0.610481,0,0.220574,0.999999,0.518803,0.40289
9.9,0.614262,0,0.217351,0.999999,0.517422,0.403
10,0.612643,0,0.217815,1,0.513707,0.402261
10.1,0.614567,0,0.217573,1.000001,0.512044,0.402637
10.2,0.620627,0,0.217928,0.999999,0.511261,0.40344
10.3,0.622877,0,0.221296,0.999999,0.511307,0.403047
10.4,0.622143,0,0.221446,1.000003,0.511249,0.405366
10.5,0.624099,0,0.223569,0.999999,0.513282,0.407211
10.6,0.623582,0,0.224754,1,0.513261,0.409088
10.7,0.621084,0,0.221637,1.000001,0.515133,0.411959
10.8,0.624517,0,0.22054,1,0.513633,0.41603
10.9,0.626406,0,0.218043,1,0.509239,0.41837
11,0.623937,0,0.216362,1,0.505864,0.421602
11.1,0.625827,0,0.214804,1.000001,0.504379,0.423859
11.2,0.62661,0,0.213204,1.000001,0.505445,0.424951
11.3,0.629622,0,0.212233,1.000001,0.503154,0.427171
11.4,0.630681,0,0.207619,1.000001,0.504194,0.426795
11.5,0.631284,0,0.207268,0.999999,0.505193,0.426907
11.6,0.630813,0,0.208848,0.999999,0.501094,0.426327
11.7,0.626434,0,0.209414,1,0.496774,0.426008
11.8,0.624292,0,0.205764,1.000002,0.497209,0.428632
11.9,0.622666,0,0.204374,1.000001,0.499478,0.430803
12,0.624687,0,0.201624,1.000001,0.500904,0.431347
12.1,0.617613,0,0.198895,1,0.495637,0.432366
12.2,0.614265,0,0.193643,1,0.492006,0.434748
12.3,0.61625,0,0.193842,1.000001,0.49146,0.435
12.4,0.617394,0,0.196148,1,0.489236,0.436007
12.5,0.6187,0,0.200518,1.000001,0.48642,0.440551
12.6,0.620672,0,0.202121,0.999998,0.485309,0.442295
12.7,0.625191,0,0.199121,1,0.487726,0.4427
12.8,0.631085,0,0.197827,1.000001,0.486719,0.445871
12.9,0.635081,0,0.19832,0.999999,0.482747,0.448114
13,0.637613,0,0.197355,0.999999,0.479619,0.448669
