Time	TH	ErrTH	H	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[Senescence]	ErrProb[Senescence]	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[AKT]	ErrProb[AKT]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[p21]	ErrProb[p21]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[Insulin]	ErrProb[Insulin]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[<nil>]	ErrProb[<nil>]	
0.0000	0.8272	0.0206	3.9826	0.000000	0.000000	0.053666	0.006931	0.000000	0.000000	0.059873	0.007334	0.000000	0.000000	0.052252	0.006841	0.000000	0.000000	0.069242	0.007704	0.000000	0.000000	0.063201	0.007402	0.082021	0.008432	0.000000	0.000000	0.053796	0.006925	0.000000	0.000000	0.000000	0.000000	0.069067	0.007794	0.063115	0.007466	0.000000	0.000000	0.063010	0.007449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062415	0.007332	0.057904	0.006993	0.042823	0.006139	0.070692	0.007903	0.000000	0.000000	0.079013	0.008294	0.000000	0.000000	0.057909	0.007186	0.000000	0.000000	0.000000	0.000000	
0.1000	0.7225	0.0206	3.9602	0	0	0.045580	0.006396	0	0	0.064166	0.007499	0	0	0.046510	0.006508	0	0	0.077540	0.008334	0	0	0.052966	0.006820	0.088742	0.008735	0	0	0.059854	0.007346	0	0	0	0	0.078513	0.008234	0.060958	0.007386	0	0	0.055876	0.006970	0	0	0	0	0	0	0.069702	0.007780	0.067321	0.007622	0.034445	0.005648	0.072192	0.007982	0	0	0.079220	0.008258	0	0	0.046414	0.006397	0	0	0	0	
0.2000	0.6285	0.0202	3.9299	0	0	0.035323	0.005595	0	0	0.056890	0.007079	0	0	0.040601	0.006040	0	0	0.074761	0.008137	0	0	0.045773	0.006453	0.095309	0.009163	0	0	0.065792	0.007601	0	0	0	0	0.082747	0.008446	0.065206	0.007548	0	0	0.063035	0.007514	0	0	0	0	0	0	0.081815	0.008424	0.070487	0.007858	0.032993	0.005474	0.072060	0.007974	0	0	0.082730	0.008544	0	0	0.034480	0.005579	0	0	0	0	
0.3000	0.5637	0.0197	3.9078	0	0	0.028248	0.004997	0	0	0.055225	0.007013	0	0	0.038436	0.005982	0	0	0.075574	0.008171	0	0	0.039938	0.005818	0.092766	0.008958	0	0	0.068050	0.007843	0	0	0	0	0.082893	0.008550	0.075298	0.008148	0	0	0.063744	0.007481	0	0	0	0	0	0	0.089755	0.008906	0.072402	0.007935	0.031321	0.005392	0.071931	0.008007	0	0	0.083775	0.008571	0	0	0.030645	0.005284	0	0	0	0	
0.4000	0.5118	0.0191	3.8800	0	0	0.024445	0.004811	0	0	0.052884	0.006937	0	0	0.033202	0.005461	0	0	0.081013	0.008443	0	0	0.037946	0.005933	0.095935	0.009142	0	0	0.072365	0.008064	0	0	0	0	0.088423	0.008788	0.077401	0.008205	0	0	0.065116	0.007666	0	0	0	0	0	0	0.093982	0.009048	0.071213	0.007910	0.027948	0.005118	0.074588	0.008099	0	0	0.077567	0.008330	0	0	0.025971	0.004925	0	0	0	0	
0.5000	0.4557	0.0184	3.8592	0	0	0.022049	0.004543	0	0	0.057505	0.007139	0	0	0.029975	0.005238	0	0	0.084373	0.008580	0	0	0.037798	0.005858	0.093939	0.009107	0	0	0.076884	0.008182	0	0	0	0	0.092869	0.009002	0.070252	0.007756	0	0	0.064369	0.007607	0	0	0	0	0	0	0.097101	0.009187	0.078705	0.008123	0.023998	0.004577	0.074572	0.008207	0	0	0.073436	0.008051	0	0	0.022174	0.004547	0	0	0	0	
0.6000	0.4033	0.0177	3.8324	0	0	0.017647	0.004097	0	0	0.058839	0.007294	0	0	0.026222	0.004942	0	0	0.083481	0.008620	0	0	0.035709	0.005727	0.091620	0.008923	0	0	0.080447	0.008457	0	0	0	0	0.095314	0.009031	0.069877	0.007919	0	0	0.070419	0.007914	0	0	0	0	0	0	0.105203	0.009530	0.082280	0.008507	0.021393	0.004415	0.076225	0.008166	0	0	0.064624	0.007637	0	0	0.020701	0.004399	0	0	0	0	
0.7000	0.3703	0.0172	3.7995	0	0	0.013678	0.003546	0	0	0.056535	0.007150	0	0	0.023642	0.004783	0	0	0.087945	0.008767	0	0	0.036338	0.005705	0.091180	0.008995	0	0	0.088674	0.008795	0	0	0	0	0.100436	0.009366	0.063277	0.007505	0	0	0.072932	0.008057	0	0	0	0	0	0	0.111028	0.009662	0.085585	0.008627	0.020228	0.004342	0.072286	0.008022	0	0	0.059098	0.007307	0	0	0.017137	0.004013	0	0	0	0	
0.8000	0.3414	0.0165	3.7775	0	0	0.009143	0.002719	0	0	0.059275	0.007318	0	0	0.023836	0.004715	0	0	0.089401	0.008825	0	0	0.036173	0.005689	0.090806	0.008915	0	0	0.098263	0.009174	0	0	0	0	0.098874	0.009162	0.060915	0.007310	0	0	0.071216	0.007978	0	0	0	0	0	0	0.115533	0.009914	0.084410	0.008583	0.020848	0.004352	0.072458	0.008106	0	0	0.053460	0.007059	0	0	0.015388	0.003715	0	0	0	0	
0.9000	0.3091	0.0159	3.7480	0	0	0.005164	0.002113	0	0	0.060105	0.007358	0	0	0.020530	0.004337	0	0	0.089646	0.008842	0	0	0.034543	0.005575	0.095725	0.009127	0	0	0.107018	0.009642	0	0	0	0	0.097289	0.009175	0.060800	0.007433	0	0	0.074077	0.008152	0	0	0	0	0	0	0.119752	0.010086	0.077906	0.008250	0.023567	0.004666	0.070858	0.007959	0	0	0.049384	0.006631	0	0	0.013635	0.003560	0	0	0	0	
1.0000	0.2808	0.0154	3.7192	0	0	0.003223	0.001704	0	0	0.061377	0.007416	0	0	0.017512	0.004117	0	0	0.088969	0.008819	0	0	0.036564	0.005781	0.092395	0.009049	0	0	0.113449	0.009907	0	0	0	0	0.102049	0.009457	0.062864	0.007460	0	0	0.079394	0.008421	0	0	0	0	0	0	0.118855	0.010012	0.071714	0.007948	0.023320	0.004736	0.069985	0.007943	0	0	0.049648	0.006687	0	0	0.008682	0.002805	0	0	0	0	
1.1000	0.2652	0.0150	3.7096	0	0	0.002247	0.001435	0	0	0.060406	0.007468	0	0	0.018954	0.004233	0	0	0.090815	0.008937	0	0	0.040955	0.006156	0.094952	0.009044	0	0	0.114694	0.009916	0	0	0	0	0.099146	0.009306	0.061571	0.007352	0	0	0.082303	0.008641	0	0	0	0	0	0	0.117974	0.010016	0.072507	0.008083	0.023243	0.004650	0.070961	0.007949	0	0	0.042344	0.006241	0	0	0.006929	0.002472	0	0	0	0	
1.2000	0.2578	0.0147	3.6974	0	0	0.002933	0.001445	0	0	0.061076	0.007443	0	0	0.016106	0.003931	0	0	0.094464	0.009105	0	0	0.042735	0.006258	0.094181	0.009137	0	0	0.125378	0.010307	0	0	0	0	0.090940	0.008960	0.057908	0.007203	0	0	0.086583	0.008785	0	0	0	0	0	0	0.118364	0.010042	0.071750	0.008001	0.023679	0.004753	0.070853	0.007978	0	0	0.035520	0.005661	0	0	0.007529	0.002675	0	0	0	0	
1.3000	0.2484	0.0146	3.6778	0	0	0.004245	0.002012	0	0	0.055740	0.007138	0	0	0.013755	0.003660	0	0	0.096406	0.009203	0	0	0.042829	0.006228	0.098446	0.009342	0	0	0.133365	0.010574	0	0	0	0	0.089932	0.008884	0.051686	0.006867	0	0	0.095010	0.009192	0	0	0	0	0	0	0.118416	0.010055	0.070357	0.007982	0.022732	0.004672	0.066804	0.007751	0	0	0.032413	0.005453	0	0	0.007863	0.002706	0	0	0	0	
1.4000	0.2285	0.0140	3.6556	0	0	0.005000	0.002232	0	0	0.055165	0.007099	0	0	0.014054	0.003667	0	0	0.100661	0.009361	0	0	0.043594	0.006266	0.100084	0.009278	0	0	0.138519	0.010825	0	0	0	0	0.092320	0.009032	0.050492	0.006790	0	0	0.102436	0.009466	0	0	0	0	0	0	0.120512	0.010113	0.060947	0.007395	0.025133	0.004732	0.056929	0.007178	0	0	0.028674	0.005192	0	0	0.005480	0.002251	0	0	0	0	
1.5000	0.2174	0.0139	3.6318	0	0	0.005000	0.002232	0	0	0.055537	0.007194	0	0	0.012749	0.003432	0	0	0.105000	0.009561	0	0	0.045448	0.006388	0.103008	0.009525	0	0	0.144752	0.011025	0	0	0	0	0.092448	0.009017	0.046702	0.006642	0	0	0.106119	0.009632	0	0	0	0	0	0	0.120425	0.010123	0.054341	0.007007	0.024475	0.004806	0.052681	0.006903	0	0	0.025584	0.004927	0	0	0.005732	0.002275	0	0	0	0	
1.6000	0.2047	0.0136	3.5989	0	0	0.003905	0.001944	0	0	0.055474	0.007148	0	0	0.011125	0.003302	0	0	0.097575	0.009252	0	0	0.044997	0.006359	0.111000	0.009766	0	0	0.155227	0.011322	0	0	0	0	0.088251	0.008813	0.048008	0.006595	0	0	0.110021	0.009818	0	0	0	0	0	0	0.119957	0.010135	0.054594	0.007086	0.022918	0.004690	0.049424	0.006751	0	0	0.022784	0.004670	0	0	0.004739	0.002128	0	0	0	0	
1.7000	0.2035	0.0135	3.5584	0	0	0.002193	0.001421	0	0	0.054103	0.007043	0	0	0.009753	0.003021	0	0	0.096055	0.009228	0	0	0.043570	0.006329	0.114146	0.009936	0	0	0.162587	0.011542	0	0	0	0	0.090929	0.008904	0.047465	0.006634	0	0	0.118198	0.010136	0	0	0	0	0	0	0.119335	0.010147	0.047628	0.006609	0.024291	0.004732	0.044191	0.006369	0	0	0.022258	0.004595	0	0	0.003298	0.001746	0	0	0	0	
1.8000	0.2025	0.0132	3.5300	0	0	0.004706	0.002000	0	0	0.057798	0.007334	0	0	0.006092	0.002444	0	0	0.092831	0.009093	0	0	0.045538	0.006318	0.119945	0.010149	0	0	0.175656	0.011898	0	0	0	0	0.084072	0.008658	0.047832	0.006656	0	0	0.123585	0.010347	0	0	0	0	0	0	0.111862	0.009847	0.043286	0.006277	0.020957	0.004459	0.044806	0.006497	0	0	0.017034	0.004090	0	0	0.004000	0.001997	0	0	0	0	
1.9000	0.1860	0.0126	3.4999	0	0	0.005925	0.002317	0	0	0.054990	0.007139	0	0	0.004615	0.001869	0	0	0.085004	0.008708	0	0	0.045382	0.006396	0.122409	0.010249	0	0	0.186810	0.012210	0	0	0	0	0.080171	0.008405	0.046121	0.006604	0	0	0.133995	0.010706	0	0	0	0	0	0	0.111393	0.009785	0.038627	0.005956	0.022982	0.004627	0.040681	0.006024	0	0	0.017466	0.004061	0	0	0.003430	0.001782	0	0	0	0	
2.0000	0.1729	0.0121	3.4615	0	0	0.005671	0.002232	0	0	0.055974	0.007092	0	0	0.003000	0.001730	0	0	0.085193	0.008680	0	0	0.045611	0.006401	0.126746	0.010410	0	0	0.192254	0.012364	0	0	0	0	0.081691	0.008607	0.041067	0.006085	0	0	0.140385	0.010893	0	0	0	0	0	0	0.107591	0.009691	0.033804	0.005641	0.020872	0.004315	0.039172	0.006015	0	0	0.018648	0.004156	0	0	0.002319	0.001449	0	0	0	0	
2.1000	0.1581	0.0118	3.4331	0	0	0.005000	0.002232	0	0	0.058597	0.007292	0	0	0.003000	0.001730	0	0	0.085915	0.008647	0	0	0.045551	0.006449	0.129590	0.010420	0	0	0.196500	0.012521	0	0	0	0	0.076697	0.008282	0.037448	0.005854	0	0	0.148012	0.011148	0	0	0	0	0	0	0.105288	0.009525	0.033999	0.005634	0.021066	0.004391	0.034443	0.005611	0	0	0.016894	0.003857	0	0	0.002000	0.001414	0	0	0	0	
2.2000	0.1580	0.0120	3.4038	0	0	0.004187	0.002005	0	0	0.060329	0.007439	0	0	0.002761	0.001512	0	0	0.087593	0.008791	0	0	0.047306	0.006482	0.131418	0.010565	0	0	0.199912	0.012506	0	0	0	0	0.073495	0.008114	0.034088	0.005648	0	0	0.153670	0.011344	0	0	0	0	0	0	0.103305	0.009518	0.033294	0.005605	0.021423	0.004519	0.031127	0.005443	0	0	0.014524	0.003675	0	0	0.001568	0.001149	0	0	0	0	
