Time,TH,ErrTH,H,Prob[p21--Senescence--AKT],ErrProb[p21--Senescence--AKT],Prob[Insulin--p21--mTORC1_S6K1--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--AKT],Prob[mTORC1_S6K1],ErrProb[mTORC1_S6K1],Prob[Insulin--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT],Prob[Senescence--AKT],ErrProb[Senescence--AKT],Prob[Insulin--p21--AKT],ErrProb[Insulin--p21--AKT],Prob[Senescence],ErrProb[Senescence],Prob[Insulin--mTORC1_S6K1],ErrProb[Insulin--mTORC1_S6K1],Prob[AKT],ErrProb[AKT],Prob[Insulin--p21--mTORC1_S6K1],ErrProb[Insulin--p21--mTORC1_S6K1],Prob[Insulin--p21--mTORC1_S6K1--Senescence],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence],Prob[p21--mTORC1_S6K1--Senescence--AKT],ErrProb[p21--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--p21],ErrProb[Insulin--p21],Prob[mTORC1_S6K1--Senescence--AKT],ErrProb[mTORC1_S6K1--Senescence--AKT],Prob[mTORC1_S6K1--Senescence],ErrProb[mTORC1_S6K1--Senescence],Prob[Insulin--p21--Senescence],ErrProb[Insulin--p21--Senescence],Prob[Insulin--mTORC1_S6K1--Senescence],ErrProb[Insulin--mTORC1_S6K1--Senescence],Prob[mTORC1_S6K1--AKT],ErrProb[mTORC1_S6K1--AKT],Prob[Insulin--mTORC1_S6K1--AKT],ErrProb[Insulin--mTORC1_S6K1--AKT],Prob[p21],ErrProb[p21],Prob[p21--mTORC1_S6K1],ErrProb[p21--mTORC1_S6K1],Prob[p21--mTORC1_S6K1--Senescence],ErrProb[p21--mTORC1_S6K1--Senescence],Prob[Insulin],ErrProb[Insulin],Prob[Insulin--Senescence],ErrProb[Insulin--Senescence],Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--AKT],ErrProb[Insulin--AKT],Prob[p21--mTORC1_S6K1--AKT],ErrProb[p21--mTORC1_S6K1--AKT],Prob[Insulin--Senescence--AKT],ErrProb[Insulin--Senescence--AKT],Prob[p21--AKT],ErrProb[p21--AKT],Prob[Insulin--p21--Senescence--AKT],ErrProb[Insulin--p21--Senescence--AKT],Prob[p21--Senescence],ErrProb[p21--Senescence],Prob[<nil>],ErrProb[<nil>],mTORC1_S6K1,Insulin,p21,AKT,<nil>,Senescence
0.0,0.8272,0.0206,3.9826,0.0,0.0,0.053666,0.0069310000000000005,0.0,0.0,0.059873,0.007334,0.0,0.0,0.052252,0.006841,0.0,0.0,0.069242,0.007704000000000001,0.0,0.0,0.063201,0.007402,0.08202100000000001,0.008431999999999999,0.0,0.0,0.053796000000000004,0.006925,0.0,0.0,0.0,0.0,0.06906699999999999,0.007794,0.063115,0.0074659999999999995,0.0,0.0,0.06301,0.007449,0.0,0.0,0.0,0.0,0.0,0.0,0.062415,0.007331999999999999,0.057904,0.006993000000000001,0.042823,0.006139,0.07069199999999999,0.007903,0.0,0.0,0.079013,0.008294,0.0,0.0,0.057909,0.007186,0.0,0.0,0.0,0.0,0.49695100000000003,0.9999989999999999,0.474735,0.479238,0.0,0.511725
0.1,0.7225,0.0206,3.9602,0.0,0.0,0.04558,0.006396,0.0,0.0,0.064166,0.007499,0.0,0.0,0.04651,0.006508,0.0,0.0,0.07754,0.008334000000000001,0.0,0.0,0.052966,0.0068200000000000005,0.088742,0.008735,0.0,0.0,0.059854,0.007345999999999999,0.0,0.0,0.0,0.0,0.078513,0.008234,0.060958000000000005,0.007386,0.0,0.0,0.055876,0.0069700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.069702,0.00778,0.067321,0.007622,0.034444999999999996,0.005647999999999999,0.07219199999999999,0.007982,0.0,0.0,0.07922,0.008258,0.0,0.0,0.046414,0.006397,0.0,0.0,0.0,0.0,0.480273,0.999999,0.453024,0.444403,0.0,0.519779
0.2,0.6285,0.0202,3.9299,0.0,0.0,0.035323,0.005595,0.0,0.0,0.056889999999999996,0.007079,0.0,0.0,0.040601,0.00604,0.0,0.0,0.07476100000000001,0.008137,0.0,0.0,0.045773,0.006453,0.095309,0.009163,0.0,0.0,0.06579199999999999,0.007601,0.0,0.0,0.0,0.0,0.082747,0.008445999999999999,0.065206,0.007548,0.0,0.0,0.06303500000000001,0.007514,0.0,0.0,0.0,0.0,0.0,0.0,0.081815,0.008424,0.070487,0.007858,0.032993,0.005474000000000001,0.07206,0.007974,0.0,0.0,0.08273,0.008544,0.0,0.0,0.034480000000000004,0.005579,0.0,0.0,0.0,0.0,0.46929,1.000002,0.433018,0.41811200000000004,0.0,0.520842
0.3,0.5637,0.0197,3.9078,0.0,0.0,0.028248000000000002,0.004997,0.0,0.0,0.055225,0.007012999999999999,0.0,0.0,0.038436,0.005982,0.0,0.0,0.075574,0.008171,0.0,0.0,0.039938,0.005818,0.092766,0.008958,0.0,0.0,0.06805,0.007843000000000001,0.0,0.0,0.0,0.0,0.082893,0.00855,0.075298,0.008148,0.0,0.0,0.06374400000000001,0.007481,0.0,0.0,0.0,0.0,0.0,0.0,0.089755,0.008906,0.072402,0.007935,0.031320999999999995,0.005392,0.071931,0.008006999999999998,0.0,0.0,0.083775,0.008570999999999999,0.0,0.0,0.030645,0.0052840000000000005,0.0,0.0,0.0,0.0,0.46211399999999997,1.000001,0.41229699999999997,0.403325,0.0,0.524325
0.4,0.5118,0.0191,3.88,0.0,0.0,0.024444999999999998,0.004811,0.0,0.0,0.052884,0.0069370000000000005,0.0,0.0,0.033201999999999995,0.005461,0.0,0.0,0.081013,0.008443,0.0,0.0,0.037946,0.005933,0.095935,0.009142,0.0,0.0,0.072365,0.008064,0.0,0.0,0.0,0.0,0.088423,0.008787999999999999,0.077401,0.008205,0.0,0.0,0.065116,0.007666,0.0,0.0,0.0,0.0,0.0,0.0,0.09398200000000001,0.009048,0.071213,0.007909999999999999,0.027948,0.005118,0.074588,0.008099,0.0,0.0,0.077567,0.008329999999999999,0.0,0.0,0.025970999999999998,0.004925,0.0,0.0,0.0,0.0,0.462688,0.9999990000000001,0.406235,0.381721,0.0,0.517342
0.5,0.4557,0.0184,3.8592,0.0,0.0,0.022049000000000003,0.004543,0.0,0.0,0.057504999999999994,0.007139,0.0,0.0,0.029975,0.0052380000000000005,0.0,0.0,0.084373,0.008579999999999999,0.0,0.0,0.037798000000000005,0.0058579999999999995,0.093939,0.009106999999999999,0.0,0.0,0.07688400000000001,0.008182,0.0,0.0,0.0,0.0,0.09286900000000001,0.009002,0.070252,0.007756,0.0,0.0,0.06436900000000001,0.007606999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.09710099999999999,0.009187,0.078705,0.008123,0.023998,0.004577,0.074572,0.008206999999999999,0.0,0.0,0.073436,0.008051,0.0,0.0,0.022174,0.004547,0.0,0.0,0.0,0.0,0.454283,0.9999990000000001,0.399686,0.368078,0.0,0.512878
0.6,0.4033,0.0177,3.8324,0.0,0.0,0.017647,0.004097,0.0,0.0,0.058838999999999995,0.007294,0.0,0.0,0.026222000000000002,0.004942,0.0,0.0,0.083481,0.008620000000000001,0.0,0.0,0.035709,0.005727,0.09162000000000001,0.008923,0.0,0.0,0.080447,0.008457,0.0,0.0,0.0,0.0,0.095314,0.009031,0.069877,0.007918999999999999,0.0,0.0,0.07041900000000001,0.007914000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.10520299999999999,0.00953,0.08227999999999999,0.008506999999999999,0.021393000000000002,0.004415,0.076225,0.008166,0.0,0.0,0.064624,0.0076370000000000006,0.0,0.0,0.020701,0.004399,0.0,0.0,0.0,0.0,0.44898499999999997,1.000001,0.389053,0.35607,0.0,0.504648
0.7,0.3703,0.0172,3.7995,0.0,0.0,0.013678000000000001,0.003546,0.0,0.0,0.056535,0.00715,0.0,0.0,0.023642,0.004783,0.0,0.0,0.08794500000000001,0.008767,0.0,0.0,0.036338,0.005705,0.09118,0.008995,0.0,0.0,0.088674,0.008795,0.0,0.0,0.0,0.0,0.100436,0.009366,0.063277,0.0075049999999999995,0.0,0.0,0.07293200000000001,0.008057,0.0,0.0,0.0,0.0,0.0,0.0,0.111028,0.009662,0.08558500000000001,0.008627,0.020228,0.004342,0.072286,0.008022,0.0,0.0,0.059098000000000005,0.007306999999999999,0.0,0.0,0.017137,0.004013,0.0,0.0,0.0,0.0,0.44211300000000003,0.9999990000000001,0.391313,0.335536,0.0,0.493476
0.8,0.3414,0.0165,3.7775,0.0,0.0,0.009143,0.002719,0.0,0.0,0.059275,0.007318000000000001,0.0,0.0,0.023836000000000003,0.004715,0.0,0.0,0.089401,0.008825,0.0,0.0,0.036173000000000004,0.0056890000000000005,0.090806,0.008915000000000001,0.0,0.0,0.098263,0.009174,0.0,0.0,0.0,0.0,0.098874,0.009162,0.060915,0.00731,0.0,0.0,0.071216,0.007978,0.0,0.0,0.0,0.0,0.0,0.0,0.115533,0.009914,0.08441,0.008583,0.020848,0.004352,0.07245800000000001,0.008106,0.0,0.0,0.05346,0.007059,0.0,0.0,0.015387999999999999,0.003715,0.0,0.0,0.0,0.0,0.43777699999999997,0.9999990000000001,0.39333100000000004,0.325624,0.0,0.48397599999999996
0.9,0.3091,0.0159,3.748,0.0,0.0,0.005164,0.002113,0.0,0.0,0.060105,0.007358,0.0,0.0,0.02053,0.004337,0.0,0.0,0.089646,0.008842000000000001,0.0,0.0,0.034543,0.005575,0.095725,0.009127,0.0,0.0,0.107018,0.009642,0.0,0.0,0.0,0.0,0.097289,0.009175,0.0608,0.0074329999999999995,0.0,0.0,0.074077,0.008152,0.0,0.0,0.0,0.0,0.0,0.0,0.119752,0.010086,0.07790599999999999,0.00825,0.023566999999999998,0.004666,0.070858,0.007959,0.0,0.0,0.049384,0.006631000000000001,0.0,0.0,0.013635,0.0035600000000000002,0.0,0.0,0.0,0.0,0.443627,0.9999989999999999,0.397471,0.31732,0.0,0.478411
