Time	TH	ErrTH	H	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	Prob[p21]	ErrProb[p21]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[Senescence]	ErrProb[Senescence]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin]	ErrProb[Insulin]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	
0.0000	0.8320	0.0209	3.9908	0.000000	0.000000	0.059990	0.007226	0.054735	0.006980	0.064777	0.007523	0.000000	0.000000	0.064468	0.007488	0.000000	0.000000	0.000000	0.000000	0.066645	0.007577	0.051223	0.006740	0.060866	0.007321	0.000000	0.000000	0.060855	0.007231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068676	0.007738	0.000000	0.000000	0.067839	0.007770	0.000000	0.000000	0.000000	0.000000	0.060922	0.007305	0.000000	0.000000	0.000000	0.000000	0.069409	0.007838	0.000000	0.000000	0.000000	0.000000	0.049645	0.006679	0.060468	0.007296	0.060264	0.007275	0.079221	0.008325	0.000000	0.000000	
0.1000	0.7274	0.0207	3.9689	0	0	0.069170	0.007816	0.048696	0.006545	0.068161	0.007807	0	0	0.070901	0.007955	0	0	0	0	0.061829	0.007366	0.044807	0.006269	0.069123	0.007776	0	0	0.064892	0.007593	0	0	0	0	0	0	0.072743	0.007950	0	0	0.069513	0.007830	0	0	0	0	0.054511	0.006935	0	0	0	0	0.072071	0.007905	0	0	0	0	0.033387	0.005429	0.051257	0.006850	0.062973	0.007431	0.085968	0.008619	0	0	
0.2000	0.6410	0.0201	3.9402	0	0	0.072308	0.008042	0.041886	0.006199	0.071528	0.007847	0	0	0.070874	0.007924	0	0	0	0	0.062096	0.007371	0.040705	0.006086	0.076875	0.008142	0	0	0.071060	0.007856	0	0	0	0	0	0	0.070483	0.007807	0	0	0.069469	0.007912	0	0	0	0	0.046472	0.006473	0	0	0	0	0.076545	0.008143	0	0	0	0	0.023510	0.004632	0.045143	0.006340	0.070545	0.007944	0.090502	0.008829	0	0	
0.3000	0.5609	0.0195	3.9083	0	0	0.073407	0.008059	0.039323	0.006010	0.065995	0.007549	0	0	0.073631	0.008071	0	0	0	0	0.062662	0.007352	0.034011	0.005555	0.081060	0.008399	0	0	0.075708	0.008167	0	0	0	0	0	0	0.070648	0.007867	0	0	0.069700	0.007828	0	0	0	0	0.036377	0.005700	0	0	0	0	0.077050	0.008158	0	0	0	0	0.019395	0.004208	0.043107	0.006272	0.074157	0.008123	0.103768	0.009408	0	0	
0.4000	0.4992	0.0190	3.8763	0	0	0.072957	0.008100	0.038818	0.005909	0.064957	0.007624	0	0	0.074069	0.008137	0	0	0	0	0.061656	0.007460	0.030347	0.005269	0.082516	0.008441	0	0	0.076446	0.008241	0	0	0	0	0	0	0.073368	0.007997	0	0	0.068100	0.007698	0	0	0	0	0.028646	0.005231	0	0	0	0	0.076868	0.008228	0	0	0	0	0.015470	0.003705	0.042357	0.006235	0.075300	0.008120	0.118124	0.010077	0	0	
0.5000	0.4472	0.0180	3.8293	0	0	0.078602	0.008347	0.031989	0.005439	0.066888	0.007736	0	0	0.078042	0.008313	0	0	0	0	0.063271	0.007508	0.021704	0.004503	0.081644	0.008484	0	0	0.077092	0.008205	0	0	0	0	0	0	0.069038	0.007784	0	0	0.072127	0.007925	0	0	0	0	0.026586	0.005017	0	0	0	0	0.085995	0.008647	0	0	0	0	0.010610	0.003176	0.034374	0.005614	0.079744	0.008423	0.122294	0.010152	0	0	
0.6000	0.3936	0.0172	3.7902	0	0	0.088225	0.008812	0.029531	0.005297	0.060583	0.007347	0	0	0.081149	0.008488	0	0	0	0	0.067261	0.007689	0.016351	0.003896	0.079181	0.008347	0	0	0.084168	0.008629	0	0	0	0	0	0	0.064577	0.007476	0	0	0.071398	0.008044	0	0	0	0	0.020596	0.004327	0	0	0	0	0.096519	0.009221	0	0	0	0	0.008325	0.002743	0.031571	0.005356	0.080621	0.008505	0.119944	0.010071	0	0	
0.7000	0.3467	0.0167	3.7667	0	0	0.094971	0.009044	0.025188	0.004793	0.056249	0.007136	0	0	0.083627	0.008549	0	0	0	0	0.064397	0.007590	0.012368	0.003420	0.078768	0.008297	0	0	0.083126	0.008581	0	0	0	0	0	0	0.057648	0.007046	0	0	0.076797	0.008292	0	0	0	0	0.020378	0.004339	0	0	0	0	0.098622	0.009255	0	0	0	0	0.007652	0.002715	0.033247	0.005464	0.089060	0.008720	0.117901	0.009957	0	0	
0.8000	0.3092	0.0161	3.7433	0	0	0.102454	0.009464	0.019958	0.004282	0.057119	0.007278	0	0	0.085085	0.008704	0	0	0	0	0.059914	0.007322	0.009558	0.002958	0.074109	0.008184	0	0	0.082706	0.008661	0	0	0	0	0	0	0.054039	0.007004	0	0	0.077081	0.008338	0	0	0	0	0.024955	0.004828	0	0	0	0	0.101817	0.009418	0	0	0	0	0.006606	0.002501	0.031818	0.005300	0.092804	0.009059	0.119978	0.010115	0	0	
0.9000	0.2971	0.0157	3.7193	0	0	0.106141	0.009631	0.016403	0.003871	0.057730	0.007270	0	0	0.087279	0.008799	0	0	0	0	0.059228	0.007378	0.007763	0.002744	0.072608	0.008075	0	0	0.082777	0.008663	0	0	0	0	0	0	0.052795	0.006925	0	0	0.077413	0.008328	0	0	0	0	0.024802	0.004829	0	0	0	0	0.102209	0.009402	0	0	0	0	0.004076	0.001998	0.034189	0.005629	0.093608	0.009035	0.120981	0.010156	0	0	
