Time,TH,ErrTH,H,Prob[Insulin--mTORC1_S6K1--Senescence],ErrProb[Insulin--mTORC1_S6K1--Senescence],Prob[Senescence--AKT],ErrProb[Senescence--AKT],Prob[<nil>],ErrProb[<nil>],Prob[p21--mTORC1_S6K1],ErrProb[p21--mTORC1_S6K1],Prob[Insulin--p21],ErrProb[Insulin--p21],Prob[Insulin--p21--AKT],ErrProb[Insulin--p21--AKT],Prob[mTORC1_S6K1--Senescence--AKT],ErrProb[mTORC1_S6K1--Senescence--AKT],Prob[p21--mTORC1_S6K1--Senescence],ErrProb[p21--mTORC1_S6K1--Senescence],Prob[Insulin--p21--mTORC1_S6K1--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--AKT],Prob[Insulin--p21--mTORC1_S6K1--Senescence],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence],Prob[mTORC1_S6K1--Senescence],ErrProb[mTORC1_S6K1--Senescence],Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--Senescence],ErrProb[Insulin--Senescence],Prob[Insulin--mTORC1_S6K1],ErrProb[Insulin--mTORC1_S6K1],Prob[Insulin--p21--Senescence--AKT],ErrProb[Insulin--p21--Senescence--AKT],Prob[p21--Senescence--AKT],ErrProb[p21--Senescence--AKT],Prob[Senescence],ErrProb[Senescence],Prob[Insulin--mTORC1_S6K1--AKT],ErrProb[Insulin--mTORC1_S6K1--AKT],Prob[Insulin--Senescence--AKT],ErrProb[Insulin--Senescence--AKT],Prob[p21--mTORC1_S6K1--AKT],ErrProb[p21--mTORC1_S6K1--AKT],Prob[Insulin--AKT],ErrProb[Insulin--AKT],Prob[Insulin],ErrProb[Insulin],Prob[p21--mTORC1_S6K1--Senescence--AKT],ErrProb[p21--mTORC1_S6K1--Senescence--AKT],Prob[p21--AKT],ErrProb[p21--AKT],Prob[p21--Senescence],ErrProb[p21--Senescence],Prob[mTORC1_S6K1--AKT],ErrProb[mTORC1_S6K1--AKT],Prob[AKT],ErrProb[AKT],Prob[Insulin--p21--mTORC1_S6K1],ErrProb[Insulin--p21--mTORC1_S6K1],Prob[mTORC1_S6K1],ErrProb[mTORC1_S6K1],Prob[Insulin--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT],Prob[p21],ErrProb[p21],Prob[Insulin--p21--Senescence],ErrProb[Insulin--p21--Senescence],mTORC1_S6K1,p21,<nil>,Senescence,Insulin,AKT
0.0,0.842,0.0092,3.9954,0.067359,0.0034509999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.059039999999999995,0.0032329999999999998,0.061222000000000006,0.0032670000000000004,0.0,0.0,0.0,0.0,0.054729999999999994,0.0031030000000000003,0.068564,0.0034649999999999998,0.0,0.0,0.058859,0.0032159999999999997,0.05931,0.003191,0.066592,0.003407,0.056849000000000004,0.003159,0.0,0.0,0.0,0.0,0.060291,0.0032630000000000003,0.061717999999999995,0.003271,0.0,0.0,0.068018,0.0034439999999999996,0.073787,0.0035759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057277,0.003153,0.0,0.0,0.061942,0.003297,0.0,0.0,0.064443,0.003363,0.49561399999999994,0.48098399999999997,0.0,0.49904400000000004,1.0000010000000001,0.483629
0.1,0.7339,0.0091,3.9786,0.066025,0.0034130000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.062258,0.003333,0.052494000000000006,0.0030600000000000002,0.0,0.0,0.0,0.0,0.04142,0.002712,0.075468,0.0036340000000000005,0.0,0.0,0.053349,0.003087,0.069983,0.0034920000000000003,0.070859,0.003518,0.048961000000000005,0.002959,0.0,0.0,0.0,0.0,0.059694000000000004,0.0032479999999999996,0.06398999999999999,0.003358,0.0,0.0,0.073817,0.003587,0.080945,0.0037380000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050026,0.002983,0.0,0.0,0.060592999999999994,0.003266,0.0,0.0,0.070117,0.0035009999999999998,0.477434,0.454093,0.0,0.508486,0.9999990000000001,0.454318
0.2,0.6446,0.0089,3.9536,0.06756000000000001,0.00345,0.0,0.0,0.0,0.0,0.0,0.0,0.068768,0.0034909999999999997,0.047159,0.002921,0.0,0.0,0.0,0.0,0.032232,0.002436,0.081184,0.0037630000000000003,0.0,0.0,0.049621,0.002987,0.075446,0.003646,0.072364,0.0035670000000000003,0.041845,0.002741,0.0,0.0,0.0,0.0,0.060316999999999996,0.003266,0.064779,0.003387,0.0,0.0,0.075021,0.003628,0.090292,0.003958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044282,0.002826,0.0,0.0,0.055974,0.003154,0.0,0.0,0.073155,0.003587,0.463534,0.438246,0.0,0.509564,0.9999990000000001,0.426948
0.3,0.571,0.0087,3.9273,0.069108,0.0034659999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.07362300000000001,0.003614,0.040493,0.002707,0.0,0.0,0.0,0.0,0.025944,0.00218,0.08293500000000001,0.003812,0.0,0.0,0.04725,0.002916,0.079097,0.003701,0.074419,0.003611,0.036515,0.002573,0.0,0.0,0.0,0.0,0.059802,0.0032719999999999997,0.063567,0.00337,0.0,0.0,0.077782,0.003701,0.09793500000000001,0.004111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040760000000000005,0.002708,0.0,0.0,0.05513200000000001,0.003133,0.0,0.0,0.075638,0.0036420000000000003,0.45535000000000003,0.42315800000000003,0.0,0.509242,1.0,0.406485
0.4,0.5112,0.0084,3.8963,0.071025,0.0035600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.08114299999999999,0.0037670000000000004,0.033335000000000004,0.002471,0.0,0.0,0.0,0.0,0.020456000000000002,0.0019320000000000001,0.085497,0.003872,0.0,0.0,0.042506999999999996,0.0027760000000000003,0.081067,0.003786,0.07542,0.0036509999999999997,0.032299,0.00243,0.0,0.0,0.0,0.0,0.058498,0.0032409999999999995,0.064144,0.003397,0.0,0.0,0.079988,0.0037600000000000003,0.10344400000000001,0.004209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038512,0.002637,0.0,0.0,0.054434,0.003116,0.0,0.0,0.07823200000000001,0.003701,0.446349,0.41198100000000004,0.0,0.509205,1.000001,0.38566100000000003
0.5,0.4596,0.0081,3.8659,0.07228899999999999,0.003585,0.0,0.0,0.0,0.0,0.0,0.0,0.08747200000000001,0.003913000000000001,0.028877,0.002285,0.0,0.0,0.0,0.0,0.016345,0.001739,0.089783,0.003973,0.0,0.0,0.037497,0.0026219999999999998,0.083178,0.0038130000000000004,0.078555,0.003721,0.029047000000000003,0.002306,0.0,0.0,0.0,0.0,0.059208000000000004,0.003259,0.062163,0.003329,0.0,0.0,0.078789,0.00373,0.10880899999999999,0.004307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037273,0.002614,0.0,0.0,0.051861000000000004,0.0030489999999999996,0.0,0.0,0.078855,0.00373,0.44281099999999995,0.405149,0.0,0.5046729999999999,1.0000010000000001,0.363787
0.6,0.4183,0.0079,3.8392,0.072885,0.0035960000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.09464600000000001,0.004072999999999999,0.025422,0.002172,0.0,0.0,0.0,0.0,0.014441999999999998,0.001652,0.091325,0.004005,0.0,0.0,0.032894,0.00246,0.08391900000000001,0.003821,0.079475,0.0037310000000000004,0.024421,0.002118,0.0,0.0,0.0,0.0,0.060901,0.003311,0.058476,0.0032530000000000002,0.0,0.0,0.078175,0.003732,0.11499000000000001,0.004409000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038747000000000004,0.002675,0.0,0.0,0.051642999999999994,0.003061,0.0,0.0,0.077639,0.003694,0.44231200000000004,0.39953600000000006,0.0,0.49320200000000003,1.0,0.34637399999999996
0.7,0.3797,0.0077,3.8118,0.071951,0.003558,0.0,0.0,0.0,0.0,0.0,0.0,0.10033099999999999,0.004189,0.023638,0.002093,0.0,0.0,0.0,0.0,0.011633,0.001466,0.092606,0.004028,0.0,0.0,0.029336,0.002332,0.083376,0.0038299999999999996,0.080755,0.003771,0.020966,0.001948,0.0,0.0,0.0,0.0,0.06425,0.0034020000000000005,0.054234000000000004,0.003139,0.0,0.0,0.075886,0.003672,0.120609,0.004520000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039281,0.002673,0.0,0.0,0.051223000000000005,0.003047,0.0,0.0,0.079924,0.003747,0.44103500000000007,0.39771500000000004,0.0,0.48361600000000005,0.9999990000000001,0.331166
0.8,0.3486,0.0074,3.7839,0.070289,0.003544,0.0,0.0,0.0,0.0,0.0,0.0,0.105603,0.00428,0.020261,0.0019309999999999998,0.0,0.0,0.0,0.0,0.009743,0.001347,0.09527200000000001,0.004083,0.0,0.0,0.026112,0.002191,0.08392000000000001,0.003854,0.082479,0.00381,0.017945,0.0018280000000000002,0.0,0.0,0.0,0.0,0.06514299999999999,0.003428,0.050273000000000005,0.0030269999999999997,0.0,0.0,0.07446799999999999,0.0036420000000000003,0.123807,0.004581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041291,0.00274,0.0,0.0,0.051486000000000004,0.003069,0.0,0.0,0.08190800000000001,0.003814,0.44181500000000007,0.398135,0.0,0.4772050000000001,1.0,0.315431
0.9,0.3267,0.0073,3.7568,0.069437,0.0034990000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.112692,0.004398,0.017939,0.0018510000000000002,0.0,0.0,0.0,0.0,0.007606999999999999,0.0011970000000000001,0.100601,0.00419,0.0,0.0,0.022543,0.002053,0.084493,0.003853,0.085195,0.0038810000000000003,0.016422,0.001756,0.0,0.0,0.0,0.0,0.063996,0.003428,0.045245,0.002869,0.0,0.0,0.07424299999999999,0.0036450000000000002,0.12345999999999999,0.00457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044077,0.002815,0.0,0.0,0.052411,0.003094,0.0,0.0,0.07964,0.0037670000000000004,0.445867,0.401521,0.0,0.470792,1.000001,0.300406
