,5833bb832d,fe3d678c63,a7de8eb9e7,f273b90621,7d66b93a43,dd027f3d77,e04e5e7306,4983bfd7e3,e201402d69,df14b01045,8656d40289,688c661d6e,db3d674ce4,b58f40a0c5,b9b3d57f6e,135115096a,5a16e6304a,c30fbe4143,e5d80373dc,c1dfd5f346,f5ea789306,8f6a05514d,8158dd9c4b,45ad90e821,4ca27a69a6,6246400851,c2b523623b,fa3fa3f769,a4d3fb7856,6c73aa8cd1,89665d80cc,f45d861a9c,389ee91c31,c66a56d54c,831388e33f,24d20d6f2d,3f4303f463,b393854d9a,1e4b5aad48,7ba8280a7b,48bb2ef5b6,5ddda7cd8e,0df87eb151,c29a612df6,c4fdb574ed,b257d2afaa,3c473105ed,6b99fb8212,5fd7ab342f,fe6a630bc7,f42d68e4b2,d5d95eb988,169d580f88,8382bf5d16,6b1a263470,8b9e9e4d2a,5534c07111,ef4cf51f97,c9b830d8c2,c3d43b7492,6b3a0c51e8,2305760bf3,6d2d84320f,1312c21203,012fe29425,4d88c1bc24,ec59659250,9373de5924
5833bb832d,0.0,21.0,13.0,17.0,8.0,19.0,8.0,6.0,15.0,23.0,24.0,18.0,21.0,15.0,8.0,15.0,20.0,9.0,10.0,15.0,13.0,8.0,10.0,17.0,8.0,12.0,10.0,19.0,8.0,10.0,13.0,19.0,2.0,25.0,11.0,14.0,20.0,15.0,15.0,12.0,19.0,15.0,25.0,17.0,20.0,15.0,12.0,10.0,16.0,11.0,18.0,10.0,14.0,22.0,14.0,2.0,21.0,23.0,10.0,12.0,19.0,15.0,7.0,19.0,15.0,22.0,19.0,19.0
fe3d678c63,21.0,0.0,30.0,20.0,17.0,34.0,21.0,25.0,22.0,24.0,19.0,23.0,16.0,22.0,19.0,16.0,19.0,20.0,11.0,20.0,26.0,13.0,19.0,22.0,23.0,27.0,27.0,10.0,23.0,25.0,26.0,28.0,19.0,26.0,14.0,21.0,21.0,26.0,20.0,27.0,30.0,18.0,24.0,20.0,19.0,18.0,27.0,23.0,9.0,24.0,17.0,23.0,29.0,33.0,21.0,21.0,22.0,34.0,23.0,23.0,32.0,22.0,20.0,20.0,14.0,27.0,20.0,26.0
a7de8eb9e7,13.0,30.0,0.0,16.0,17.0,12.0,17.0,13.0,10.0,24.0,17.0,11.0,22.0,16.0,17.0,22.0,23.0,18.0,23.0,14.0,14.0,19.0,15.0,16.0,13.0,11.0,7.0,20.0,13.0,21.0,12.0,20.0,15.0,24.0,22.0,15.0,13.0,12.0,18.0,7.0,18.0,18.0,28.0,16.0,21.0,18.0,13.0,13.0,23.0,12.0,23.0,15.0,17.0,9.0,17.0,13.0,24.0,12.0,13.0,15.0,16.0,18.0,16.0,28.0,22.0,11.0,24.0,24.0
f273b90621,17.0,20.0,16.0,0.0,13.0,22.0,19.0,19.0,16.0,28.0,23.0,11.0,22.0,22.0,13.0,8.0,23.0,14.0,17.0,20.0,16.0,13.0,21.0,26.0,17.0,21.0,21.0,14.0,21.0,23.0,26.0,24.0,17.0,32.0,20.0,23.0,19.0,22.0,20.0,15.0,30.0,18.0,32.0,16.0,23.0,24.0,19.0,17.0,19.0,16.0,25.0,15.0,25.0,23.0,19.0,15.0,14.0,26.0,23.0,21.0,18.0,22.0,20.0,24.0,16.0,21.0,10.0,20.0
7d66b93a43,8.0,17.0,17.0,13.0,0.0,21.0,14.0,14.0,17.0,19.0,24.0,16.0,17.0,15.0,2.0,13.0,20.0,5.0,8.0,13.0,19.0,4.0,16.0,21.0,12.0,16.0,14.0,17.0,14.0,14.0,17.0,15.0,8.0,21.0,9.0,14.0,20.0,11.0,17.0,14.0,21.0,13.0,21.0,17.0,18.0,21.0,16.0,16.0,16.0,13.0,22.0,10.0,16.0,22.0,12.0,6.0,17.0,25.0,14.0,14.0,21.0,17.0,11.0,13.0,17.0,18.0,15.0,15.0
dd027f3d77,19.0,34.0,12.0,22.0,21.0,0.0,21.0,19.0,18.0,14.0,23.0,21.0,26.0,18.0,21.0,26.0,25.0,20.0,23.0,18.0,24.0,21.0,21.0,20.0,21.0,17.0,19.0,28.0,15.0,11.0,20.0,10.0,17.0,18.0,26.0,21.0,19.0,22.0,20.0,15.0,12.0,22.0,20.0,22.0,23.0,26.0,19.0,19.0,29.0,20.0,27.0,21.0,7.0,5.0,19.0,17.0,22.0,6.0,21.0,15.0,4.0,18.0,22.0,18.0,28.0,19.0,22.0,14.0
e04e5e7306,8.0,21.0,17.0,19.0,14.0,21.0,0.0,8.0,19.0,25.0,26.0,20.0,27.0,15.0,14.0,15.0,16.0,11.0,12.0,15.0,15.0,10.0,8.0,15.0,8.0,14.0,14.0,23.0,6.0,16.0,15.0,21.0,8.0,27.0,13.0,18.0,22.0,19.0,11.0,18.0,19.0,15.0,25.0,17.0,16.0,15.0,12.0,16.0,14.0,13.0,20.0,12.0,16.0,24.0,14.0,10.0,21.0,23.0,12.0,12.0,19.0,11.0,13.0,23.0,9.0,24.0,19.0,19.0
4983bfd7e3,6.0,25.0,13.0,19.0,14.0,19.0,8.0,0.0,17.0,21.0,26.0,20.0,27.0,11.0,14.0,13.0,16.0,9.0,14.0,11.0,11.0,12.0,12.0,13.0,2.0,8.0,8.0,25.0,8.0,16.0,11.0,17.0,8.0,23.0,13.0,12.0,18.0,13.0,11.0,12.0,17.0,11.0,23.0,17.0,14.0,9.0,6.0,16.0,16.0,7.0,18.0,6.0,16.0,22.0,10.0,8.0,19.0,23.0,8.0,8.0,17.0,9.0,13.0,25.0,15.0,22.0,17.0,15.0
e201402d69,15.0,22.0,10.0,16.0,17.0,18.0,19.0,17.0,0.0,26.0,13.0,7.0,14.0,20.0,17.0,20.0,19.0,18.0,21.0,18.0,20.0,17.0,13.0,18.0,17.0,21.0,15.0,14.0,19.0,19.0,12.0,22.0,15.0,26.0,20.0,23.0,17.0,16.0,14.0,9.0,18.0,20.0,24.0,16.0,17.0,22.0,21.0,7.0,17.0,20.0,27.0,21.0,23.0,15.0,19.0,17.0,26.0,14.0,11.0,19.0,20.0,16.0,12.0,26.0,16.0,9.0,24.0,24.0
df14b01045,23.0,24.0,24.0,28.0,19.0,14.0,25.0,21.0,26.0,0.0,25.0,27.0,24.0,20.0,17.0,22.0,25.0,22.0,19.0,18.0,28.0,19.0,23.0,20.0,19.0,21.0,21.0,26.0,21.0,15.0,20.0,4.0,21.0,12.0,20.0,9.0,25.0,22.0,20.0,25.0,12.0,22.0,6.0,24.0,21.0,18.0,23.0,27.0,23.0,22.0,25.0,17.0,11.0,17.0,13.0,21.0,22.0,16.0,19.0,17.0,18.0,18.0,22.0,6.0,28.0,27.0,18.0,8.0
