,fb2bbb43d6,0fffe46ac8,dd377001ae,5ec1134261,0ef2d9bb67,29750c62a7,ffe4b34c5b,66293a51cf,d3e723cabe,d1c4771f74,c4c1631e18,c06f004699,fef6830df8,61502a0e25,772a8d2495,e2965d7e9e,2172522179,4604088942,348b015ef6,68342ebb2b
fb2bbb43d6,0.0,6.0,21.0,26.0,15.0,8.0,14.0,16.0,16.0,21.0,25.0,16.0,10.0,15.0,17.0,14.0,17.0,14.0,18.0,12.0
0fffe46ac8,6.0,0.0,19.0,26.0,13.0,14.0,12.0,10.0,14.0,19.0,29.0,14.0,10.0,15.0,15.0,14.0,17.0,12.0,22.0,14.0
dd377001ae,21.0,19.0,0.0,11.0,10.0,23.0,9.0,21.0,5.0,18.0,24.0,11.0,17.0,12.0,12.0,17.0,14.0,15.0,25.0,15.0
5ec1134261,26.0,26.0,11.0,0.0,21.0,24.0,20.0,28.0,16.0,23.0,13.0,14.0,24.0,19.0,15.0,18.0,21.0,18.0,26.0,22.0
0ef2d9bb67,15.0,13.0,10.0,21.0,0.0,19.0,9.0,19.0,5.0,18.0,28.0,11.0,11.0,12.0,12.0,15.0,8.0,11.0,23.0,15.0
29750c62a7,8.0,14.0,23.0,24.0,19.0,0.0,18.0,24.0,20.0,25.0,23.0,18.0,16.0,19.0,19.0,14.0,21.0,16.0,12.0,16.0
ffe4b34c5b,14.0,12.0,9.0,20.0,9.0,18.0,0.0,18.0,10.0,15.0,27.0,16.0,18.0,13.0,5.0,22.0,11.0,10.0,18.0,8.0
66293a51cf,16.0,10.0,21.0,28.0,19.0,24.0,18.0,0.0,18.0,9.0,33.0,18.0,14.0,17.0,21.0,18.0,21.0,20.0,30.0,18.0
d3e723cabe,16.0,14.0,5.0,16.0,5.0,20.0,10.0,18.0,0.0,17.0,27.0,8.0,12.0,13.0,13.0,14.0,13.0,14.0,26.0,16.0
d1c4771f74,21.0,19.0,18.0,23.0,18.0,25.0,15.0,9.0,17.0,0.0,28.0,15.0,17.0,14.0,16.0,19.0,12.0,15.0,29.0,15.0
c4c1631e18,25.0,29.0,24.0,13.0,28.0,23.0,27.0,33.0,27.0,28.0,0.0,23.0,23.0,18.0,24.0,17.0,24.0,25.0,15.0,21.0
c06f004699,16.0,14.0,11.0,14.0,11.0,18.0,16.0,18.0,8.0,15.0,23.0,0.0,16.0,17.0,11.0,8.0,13.0,6.0,26.0,20.0
fef6830df8,10.0,10.0,17.0,24.0,11.0,16.0,18.0,14.0,12.0,17.0,23.0,16.0,0.0,5.0,23.0,8.0,13.0,20.0,22.0,10.0
61502a0e25,15.0,15.0,12.0,19.0,12.0,19.0,13.0,17.0,13.0,14.0,18.0,17.0,5.0,0.0,18.0,11.0,10.0,19.0,19.0,5.0
772a8d2495,17.0,15.0,12.0,15.0,12.0,19.0,5.0,21.0,13.0,16.0,24.0,11.0,23.0,18.0,0.0,19.0,12.0,5.0,19.0,13.0
e2965d7e9e,14.0,14.0,17.0,18.0,15.0,14.0,22.0,18.0,14.0,19.0,17.0,8.0,8.0,11.0,19.0,0.0,17.0,14.0,22.0,16.0
2172522179,17.0,17.0,14.0,21.0,8.0,21.0,11.0,21.0,13.0,12.0,24.0,13.0,13.0,10.0,12.0,17.0,0.0,11.0,23.0,11.0
4604088942,14.0,12.0,15.0,18.0,11.0,16.0,10.0,20.0,14.0,15.0,25.0,6.0,20.0,19.0,5.0,14.0,11.0,0.0,22.0,16.0
348b015ef6,18.0,22.0,25.0,26.0,23.0,12.0,18.0,30.0,26.0,29.0,15.0,26.0,22.0,19.0,19.0,22.0,23.0,22.0,0.0,14.0
68342ebb2b,12.0,14.0,15.0,22.0,15.0,16.0,8.0,18.0,16.0,15.0,21.0,20.0,10.0,5.0,13.0,16.0,11.0,16.0,14.0,0.0
