,1678135eea,4e5ad43180,d0e4fc21de,11056daba9,79cc805ff5,cea66522eb,13779c8c5d,4122af52a3,ab71b10c34,12c7537153,065c1e9077,75c7d73eb1,ea75d98991,064d24a072,a70cef9717,e7f6f32c08,13412c36db,a55c3c49de,6268e632b7
1678135eea,0.0,22.0,11.0,17.0,6.0,4.0,20.0,15.0,21.0,15.0,14.0,19.0,24.0,29.0,13.0,16.0,17.0,13.0,8.0
4e5ad43180,22.0,0.0,19.0,15.0,16.0,26.0,14.0,21.0,17.0,17.0,18.0,19.0,14.0,7.0,15.0,22.0,13.0,9.0,28.0
d0e4fc21de,11.0,19.0,0.0,12.0,13.0,11.0,19.0,14.0,14.0,14.0,15.0,14.0,13.0,18.0,16.0,5.0,8.0,12.0,13.0
11056daba9,17.0,15.0,12.0,0.0,13.0,15.0,11.0,18.0,12.0,20.0,7.0,14.0,15.0,12.0,18.0,9.0,18.0,12.0,17.0
79cc805ff5,6.0,16.0,13.0,13.0,0.0,10.0,16.0,19.0,21.0,17.0,12.0,23.0,24.0,23.0,11.0,18.0,19.0,7.0,14.0
cea66522eb,4.0,26.0,11.0,15.0,10.0,0.0,18.0,11.0,17.0,15.0,12.0,15.0,22.0,27.0,15.0,14.0,19.0,17.0,4.0
13779c8c5d,20.0,14.0,19.0,11.0,16.0,18.0,0.0,9.0,11.0,11.0,6.0,13.0,14.0,11.0,7.0,18.0,15.0,21.0,16.0
4122af52a3,15.0,21.0,14.0,18.0,19.0,11.0,9.0,0.0,8.0,6.0,13.0,6.0,13.0,18.0,10.0,15.0,12.0,24.0,9.0
ab71b10c34,21.0,17.0,14.0,12.0,21.0,17.0,11.0,8.0,0.0,8.0,15.0,2.0,5.0,12.0,12.0,9.0,8.0,20.0,15.0
12c7537153,15.0,17.0,14.0,20.0,17.0,15.0,11.0,6.0,8.0,0.0,17.0,8.0,13.0,20.0,6.0,15.0,6.0,20.0,15.0
065c1e9077,14.0,18.0,15.0,7.0,12.0,12.0,6.0,13.0,15.0,17.0,0.0,15.0,18.0,15.0,13.0,14.0,19.0,17.0,10.0
75c7d73eb1,19.0,19.0,14.0,14.0,23.0,15.0,13.0,6.0,2.0,8.0,15.0,0.0,7.0,14.0,14.0,9.0,8.0,22.0,13.0
ea75d98991,24.0,14.0,13.0,15.0,24.0,22.0,14.0,13.0,5.0,13.0,18.0,7.0,0.0,7.0,15.0,8.0,7.0,19.0,20.0
064d24a072,29.0,7.0,18.0,12.0,23.0,27.0,11.0,18.0,12.0,20.0,15.0,14.0,7.0,0.0,18.0,15.0,14.0,16.0,25.0
a70cef9717,13.0,15.0,16.0,18.0,11.0,15.0,7.0,10.0,12.0,6.0,13.0,14.0,15.0,18.0,0.0,19.0,10.0,16.0,15.0
e7f6f32c08,16.0,22.0,5.0,9.0,18.0,14.0,18.0,15.0,9.0,15.0,14.0,9.0,8.0,15.0,19.0,0.0,9.0,15.0,14.0
13412c36db,17.0,13.0,8.0,18.0,19.0,19.0,15.0,12.0,8.0,6.0,19.0,8.0,7.0,14.0,10.0,9.0,0.0,16.0,19.0
a55c3c49de,13.0,9.0,12.0,12.0,7.0,17.0,21.0,24.0,20.0,20.0,17.0,22.0,19.0,16.0,16.0,15.0,16.0,0.0,21.0
6268e632b7,8.0,28.0,13.0,17.0,14.0,4.0,16.0,9.0,15.0,15.0,10.0,13.0,20.0,25.0,15.0,14.0,19.0,21.0,0.0
