,2b0635ab1d,fd118810b0,b6726bee73,e4a164cb6d,a134f3270c,c4aa3f8e8d,05688abbe1,794f36bc73,6c2ecc40bd,bed559f587,f20a54f4ed,4a6731a4ca,82a1f8a033,a2d1e4e7f2,14da5ee236,c67a5a15c9,cebec967de,9fda2e2ee0
2b0635ab1d,0.0,6.0,11.0,8.0,4.0,6.0,8.0,10.0,4.0,13.0,8.0,13.0,12.0,9.0,17.0,16.0,5.0,12.0
fd118810b0,6.0,0.0,5.0,14.0,8.0,10.0,8.0,4.0,10.0,9.0,8.0,7.0,16.0,13.0,13.0,10.0,11.0,6.0
b6726bee73,11.0,5.0,0.0,13.0,13.0,15.0,11.0,9.0,9.0,6.0,13.0,12.0,13.0,10.0,10.0,5.0,16.0,9.0
e4a164cb6d,8.0,14.0,13.0,0.0,10.0,8.0,14.0,12.0,4.0,7.0,14.0,15.0,6.0,9.0,11.0,18.0,5.0,18.0
a134f3270c,4.0,8.0,13.0,10.0,0.0,2.0,6.0,8.0,8.0,13.0,4.0,9.0,8.0,7.0,13.0,14.0,5.0,10.0
c4aa3f8e8d,6.0,10.0,15.0,8.0,2.0,0.0,8.0,8.0,8.0,13.0,6.0,9.0,6.0,7.0,13.0,16.0,3.0,12.0
05688abbe1,8.0,8.0,11.0,14.0,6.0,8.0,0.0,10.0,10.0,13.0,2.0,7.0,10.0,7.0,9.0,8.0,11.0,4.0
794f36bc73,10.0,4.0,9.0,12.0,8.0,8.0,10.0,0.0,14.0,7.0,8.0,3.0,14.0,15.0,9.0,12.0,7.0,8.0
6c2ecc40bd,4.0,10.0,9.0,4.0,8.0,8.0,10.0,14.0,0.0,11.0,12.0,17.0,8.0,5.0,15.0,14.0,7.0,14.0
bed559f587,13.0,9.0,6.0,7.0,13.0,13.0,13.0,7.0,11.0,0.0,13.0,10.0,9.0,12.0,4.0,11.0,12.0,13.0
f20a54f4ed,8.0,8.0,13.0,14.0,4.0,6.0,2.0,8.0,12.0,13.0,0.0,5.0,10.0,9.0,9.0,10.0,9.0,6.0
4a6731a4ca,13.0,7.0,12.0,15.0,9.0,9.0,7.0,3.0,17.0,10.0,5.0,0.0,13.0,14.0,6.0,9.0,10.0,5.0
82a1f8a033,12.0,16.0,13.0,6.0,8.0,6.0,10.0,14.0,8.0,9.0,10.0,13.0,0.0,3.0,7.0,12.0,9.0,14.0
a2d1e4e7f2,9.0,13.0,10.0,9.0,7.0,7.0,7.0,15.0,5.0,12.0,9.0,14.0,3.0,0.0,10.0,9.0,10.0,11.0
14da5ee236,17.0,13.0,10.0,11.0,13.0,13.0,9.0,9.0,15.0,4.0,9.0,6.0,7.0,10.0,0.0,7.0,14.0,9.0
c67a5a15c9,16.0,10.0,5.0,18.0,14.0,16.0,8.0,12.0,14.0,11.0,10.0,9.0,12.0,9.0,7.0,0.0,19.0,4.0
cebec967de,5.0,11.0,16.0,5.0,5.0,3.0,11.0,7.0,7.0,12.0,9.0,10.0,9.0,10.0,14.0,19.0,0.0,15.0
9fda2e2ee0,12.0,6.0,9.0,18.0,10.0,12.0,4.0,8.0,14.0,13.0,6.0,5.0,14.0,11.0,9.0,4.0,15.0,0.0
