,6d6ea0d9e1,efc33d7785,83cd9a1329,8923dc09de,0f1c864d90,3b26dc6932,7d566b1cc7,61dc361904,68342ebb2b,5951c059c0,61502a0e25,f9f1b35b0f,daa5adcb41,5573fb9e45,d1c4771f74,45a976526f,371b61101b,acf6ac5558
6d6ea0d9e1,0.0,13.0,11.0,15.0,15.0,15.0,18.0,8.0,12.0,10.0,9.0,19.0,11.0,7.0,17.0,8.0,18.0,11.0
efc33d7785,13.0,0.0,14.0,6.0,18.0,14.0,15.0,15.0,11.0,13.0,14.0,12.0,10.0,10.0,18.0,17.0,9.0,10.0
83cd9a1329,11.0,14.0,0.0,18.0,10.0,8.0,15.0,11.0,19.0,9.0,16.0,14.0,16.0,14.0,14.0,5.0,17.0,4.0
8923dc09de,15.0,6.0,18.0,0.0,16.0,12.0,11.0,13.0,7.0,17.0,10.0,6.0,6.0,14.0,18.0,21.0,15.0,14.0
0f1c864d90,15.0,18.0,10.0,16.0,0.0,4.0,7.0,15.0,11.0,13.0,8.0,12.0,12.0,16.0,18.0,9.0,21.0,14.0
3b26dc6932,15.0,14.0,8.0,12.0,4.0,0.0,11.0,15.0,15.0,17.0,10.0,8.0,8.0,20.0,18.0,11.0,17.0,12.0
7d566b1cc7,18.0,15.0,15.0,11.0,7.0,11.0,0.0,14.0,6.0,10.0,11.0,5.0,15.0,13.0,17.0,16.0,22.0,11.0
61dc361904,8.0,15.0,11.0,13.0,15.0,15.0,14.0,0.0,10.0,12.0,9.0,15.0,11.0,11.0,11.0,14.0,20.0,11.0
68342ebb2b,12.0,11.0,19.0,7.0,11.0,15.0,6.0,10.0,0.0,12.0,5.0,11.0,9.0,7.0,15.0,18.0,18.0,15.0
5951c059c0,10.0,13.0,9.0,17.0,13.0,17.0,10.0,12.0,12.0,0.0,17.0,15.0,21.0,5.0,15.0,6.0,20.0,5.0
61502a0e25,9.0,14.0,16.0,10.0,8.0,10.0,11.0,9.0,5.0,17.0,0.0,14.0,4.0,12.0,14.0,15.0,17.0,18.0
f9f1b35b0f,19.0,12.0,14.0,6.0,12.0,8.0,5.0,15.0,11.0,15.0,14.0,0.0,12.0,18.0,18.0,19.0,19.0,10.0
daa5adcb41,11.0,10.0,16.0,6.0,12.0,8.0,15.0,11.0,9.0,21.0,4.0,12.0,0.0,16.0,16.0,17.0,13.0,18.0
5573fb9e45,7.0,10.0,14.0,14.0,16.0,20.0,13.0,11.0,7.0,5.0,12.0,18.0,16.0,0.0,14.0,11.0,17.0,10.0
d1c4771f74,17.0,18.0,14.0,18.0,18.0,18.0,17.0,11.0,15.0,15.0,14.0,18.0,16.0,14.0,0.0,17.0,9.0,14.0
45a976526f,8.0,17.0,5.0,21.0,9.0,11.0,16.0,14.0,18.0,6.0,15.0,19.0,17.0,11.0,17.0,0.0,20.0,9.0
371b61101b,18.0,9.0,17.0,15.0,21.0,17.0,22.0,20.0,18.0,20.0,17.0,19.0,13.0,17.0,9.0,20.0,0.0,17.0
acf6ac5558,11.0,10.0,4.0,14.0,14.0,12.0,11.0,11.0,15.0,5.0,18.0,10.0,18.0,10.0,14.0,9.0,17.0,0.0
