Time	TH	ErrTH	H	Prob[<nil>]	ErrProb[<nil>]	Prob[C]	ErrProb[C]	Prob[A--C]	ErrProb[A--C]	Prob[A--B--C]	ErrProb[A--B--C]	Prob[B--C]	ErrProb[B--C]	
0.0000	0.0003	0.0001	0.1446	0.000025	0.000025	0.000701	0.000200	0	0	0.980266	0.001599	0.019007	0.001549	
0.0100	0.0018	0.0004	0.3445	0.000318	0.000229	0.004133	0.000888	0	0	0.941810	0.003116	0.053740	0.002984	
0.0200	0.0017	0.0004	0.4833	0.000673	0.000354	0.003846	0.000865	0.000081	0.000081	0.904852	0.004002	0.090548	0.003908	
0.0300	0.0019	0.0004	0.5965	0.000934	0.000422	0.004313	0.000853	0.000200	0.000200	0.869411	0.004643	0.125141	0.004541	
0.0400	0.0052	0.0006	0.7230	0.001789	0.000567	0.011824	0.001420	0.000200	0.000200	0.835305	0.005139	0.150882	0.004920	
0.0500	0.0081	0.0008	0.8327	0.003460	0.000784	0.018500	0.001825	0.000240	0.000204	0.802536	0.005535	0.175264	0.005254	
0.0600	0.0101	0.0009	0.9253	0.005577	0.001019	0.023032	0.002056	0.000417	0.000283	0.771047	0.005856	0.199927	0.005558	
0.0700	0.0129	0.0010	1.0152	0.007856	0.001215	0.029269	0.002274	0.000912	0.000415	0.740863	0.006118	0.221100	0.005750	
0.0800	0.0160	0.0011	1.1008	0.010925	0.001440	0.036403	0.002573	0.001323	0.000488	0.711791	0.006332	0.239559	0.005933	
0.0900	0.0175	0.0012	1.1719	0.014972	0.001678	0.039808	0.002698	0.001743	0.000571	0.683848	0.006507	0.259629	0.006108	
0.1000	0.0185	0.0012	1.2321	0.018390	0.001861	0.042164	0.002777	0.002427	0.000682	0.657025	0.006648	0.279995	0.006264	
0.1100	0.0222	0.0013	1.3064	0.023207	0.002092	0.050554	0.002965	0.003010	0.000767	0.631300	0.006761	0.291929	0.006309	
0.1200	0.0269	0.0014	1.3815	0.029007	0.002332	0.061316	0.003295	0.003407	0.000819	0.606595	0.006851	0.299675	0.006381	
0.1300	0.0294	0.0015	1.4407	0.035254	0.002562	0.066901	0.003448	0.003932	0.000879	0.582747	0.006919	0.311166	0.006464	
0.1400	0.0301	0.0015	1.4905	0.042470	0.002810	0.068590	0.003500	0.004716	0.000951	0.559865	0.006967	0.324359	0.006548	
0.1500	0.0305	0.0015	1.5316	0.048786	0.003015	0.069442	0.003506	0.005574	0.001042	0.537987	0.007000	0.338211	0.006605	
0.1600	0.0364	0.0017	1.6003	0.056542	0.003222	0.082776	0.003779	0.006533	0.001129	0.516788	0.007019	0.337361	0.006589	
0.1700	0.0388	0.0017	1.6463	0.064920	0.003441	0.088237	0.003919	0.007030	0.001160	0.496822	0.007023	0.342991	0.006634	
0.1800	0.0392	0.0017	1.6796	0.073992	0.003657	0.089113	0.003947	0.007261	0.001196	0.478032	0.007019	0.351602	0.006682	
0.1900	0.0389	0.0017	1.7068	0.083053	0.003865	0.088481	0.003947	0.007494	0.001216	0.459346	0.007005	0.361626	0.006731	
0.2000	0.0379	0.0017	1.7295	0.092373	0.004064	0.086289	0.003905	0.007975	0.001250	0.441501	0.006981	0.371862	0.006774	
0.2100	0.0446	0.0018	1.7840	0.100888	0.004221	0.101440	0.004078	0.008736	0.001296	0.424077	0.006949	0.364859	0.006671	
0.2200	0.0493	0.0019	1.8321	0.112752	0.004429	0.112238	0.004365	0.009662	0.001373	0.407806	0.006911	0.357541	0.006702	
0.2300	0.0497	0.0019	1.8603	0.123288	0.004608	0.113123	0.004388	0.011099	0.001462	0.391713	0.006866	0.360776	0.006726	
0.2400	0.0487	0.0019	1.8801	0.135425	0.004797	0.110718	0.004355	0.012010	0.001532	0.376599	0.006816	0.365248	0.006753	
0.2500	0.0475	0.0019	1.8948	0.146065	0.004964	0.108039	0.004316	0.012942	0.001581	0.361782	0.006760	0.371172	0.006781	
0.2600	0.0458	0.0019	1.9050	0.156032	0.005101	0.104199	0.004257	0.014046	0.001658	0.347759	0.006701	0.377964	0.006809	
0.2700	0.0498	0.0019	1.9360	0.167095	0.005242	0.113393	0.004311	0.014690	0.001696	0.334010	0.006637	0.370812	0.006709	
0.2800	0.0561	0.0020	1.9739	0.179247	0.005382	0.127566	0.004595	0.015609	0.001738	0.321357	0.006573	0.356222	0.006692	
0.2900	0.0572	0.0021	1.9943	0.191246	0.005522	0.130201	0.004665	0.017279	0.001824	0.309011	0.006503	0.352262	0.006694	
0.3000	0.0555	0.0020	2.0017	0.203533	0.005662	0.126267	0.004624	0.018546	0.001895	0.297099	0.006433	0.354555	0.006716	
0.3100	0.0531	0.0020	2.0058	0.215449	0.005778	0.120742	0.004533	0.020154	0.001978	0.285669	0.006359	0.357987	0.006734	
0.3200	0.0505	0.0020	2.0059	0.227359	0.005898	0.114912	0.004443	0.021432	0.002041	0.274166	0.006280	0.362131	0.006753	
0.3300	0.0482	0.0019	2.0029	0.238774	0.005992	0.109565	0.004335	0.022294	0.002085	0.263406	0.006203	0.365960	0.006768	
0.3400	0.0522	0.0019	2.0238	0.250576	0.006097	0.118834	0.004419	0.023252	0.002121	0.253307	0.006124	0.354032	0.006660	
0.3500	0.0569	0.0020	2.0440	0.262771	0.006189	0.129527	0.004634	0.024234	0.002166	0.243337	0.006041	0.340130	0.006631	
0.3600	0.0572	0.0020	2.0482	0.276689	0.006292	0.130058	0.004662	0.025242	0.002213	0.233761	0.005959	0.334250	0.006613	
0.3700	0.0566	0.0020	2.0483	0.289513	0.006387	0.128850	0.004653	0.026177	0.002246	0.224999	0.005881	0.330460	0.006600	
0.3800	0.0557	0.0020	2.0467	0.301596	0.006453	0.126819	0.004612	0.027330	0.002292	0.216444	0.005797	0.327812	0.006590	
0.3900	0.0541	0.0020	2.0401	0.314292	0.006537	0.122999	0.004564	0.028100	0.002328	0.208324	0.005720	0.326285	0.006585	
0.4000	0.0520	0.0020	2.0310	0.326854	0.006603	0.118254	0.004495	0.028883	0.002363	0.200350	0.005636	0.325660	0.006588	
0.4100	0.0492	0.0019	2.0192	0.339172	0.006667	0.111930	0.004379	0.029813	0.002393	0.193221	0.005561	0.325863	0.006590	
0.4200	0.0520	0.0019	2.0235	0.351035	0.006721	0.118350	0.004429	0.030231	0.002415	0.186260	0.005483	0.314124	0.006477	
0.4300	0.0557	0.0020	2.0280	0.362977	0.006776	0.126680	0.004609	0.030730	0.002437	0.178712	0.005396	0.300901	0.006429	
0.4400	0.0561	0.0020	2.0237	0.374961	0.006815	0.127694	0.004624	0.031811	0.002468	0.171669	0.005311	0.293866	0.006395	
0.4500	0.0553	0.0020	2.0168	0.386479	0.006861	0.125724	0.004608	0.033404	0.002532	0.165220	0.005231	0.289173	0.006372	
0.4600	0.0534	0.0020	2.0031	0.399569	0.006892	0.121548	0.004530	0.034099	0.002557	0.159370	0.005156	0.285414	0.006348	
0.4700	0.0511	0.0020	1.9856	0.412928	0.006936	0.116181	0.004457	0.034464	0.002573	0.153557	0.005078	0.282869	0.006335	
0.4800	0.0486	0.0019	1.9701	0.424538	0.006966	0.110625	0.004368	0.035580	0.002610	0.148153	0.005004	0.281104	0.006323	
0.4900	0.0469	0.0019	1.9550	0.434486	0.006987	0.106820	0.004300	0.036120	0.002631	0.142420	0.004921	0.280155	0.006317	
0.5000	0.0450	0.0019	1.9396	0.444180	0.007004	0.102482	0.004225	0.036789	0.002650	0.137503	0.004849	0.279046	0.006314	
0.5100	0.0442	0.0018	1.9248	0.455564	0.007021	0.100597	0.004142	0.037041	0.002662	0.132816	0.004782	0.273982	0.006246	
0.5200	0.0485	0.0019	1.9288	0.464343	0.007033	0.110454	0.004323	0.037799	0.002677	0.128576	0.004714	0.258828	0.006131	
0.5300	0.0493	0.0019	1.9180	0.476008	0.007037	0.112137	0.004373	0.038829	0.002728	0.123404	0.004632	0.249622	0.006072	
0.5400	0.0492	0.0019	1.9025	0.487452	0.007042	0.111840	0.004371	0.039099	0.002733	0.118643	0.004554	0.242966	0.006022	
0.5500	0.0485	0.0019	1.8876	0.497820	0.007049	0.110331	0.004356	0.039801	0.002753	0.114598	0.004486	0.237450	0.005979	
0.5600	0.0473	0.0019	1.8706	0.508488	0.007044	0.107705	0.004303	0.040591	0.002785	0.110416	0.004417	0.232800	0.005941	
0.5700	0.0461	0.0019	1.8546	0.518138	0.007046	0.104878	0.004267	0.041671	0.002818	0.106440	0.004345	0.228873	0.005909	
0.5800	0.0442	0.0018	1.8337	0.528927	0.007032	0.100487	0.004172	0.042247	0.002835	0.102608	0.004274	0.225731	0.005880	
0.5900	0.0422	0.0018	1.8143	0.538838	0.007027	0.096060	0.004092	0.043387	0.002869	0.098716	0.004203	0.222999	0.005856	
0.6000	0.0401	0.0018	1.7933	0.548637	0.007017	0.091302	0.004011	0.044151	0.002896	0.095179	0.004133	0.220731	0.005837	
0.6100	0.0384	0.0017	1.7727	0.557675	0.007006	0.087371	0.003940	0.044393	0.002905	0.091940	0.004071	0.218621	0.005822	
0.6200	0.0363	0.0017	1.7514	0.566330	0.006985	0.082621	0.003825	0.045030	0.002929	0.088430	0.003999	0.217589	0.005809	
0.6300	0.0373	0.0017	1.7389	0.574213	0.006972	0.084954	0.003845	0.044645	0.002913	0.085648	0.003940	0.210540	0.005713	
0.6400	0.0395	0.0017	1.7283	0.583375	0.006957	0.089820	0.003961	0.044891	0.002918	0.082961	0.003885	0.198953	0.005601	
0.6500	0.0399	0.0017	1.7138	0.592107	0.006925	0.090746	0.003974	0.045634	0.002941	0.080440	0.003830	0.191072	0.005521	
0.6600	0.0396	0.0018	1.6959	0.600840	0.006909	0.090200	0.003990	0.045928	0.002953	0.077730	0.003771	0.185302	0.005463	
0.6700	0.0386	0.0017	1.6769	0.609582	0.006880	0.087748	0.003932	0.047107	0.002987	0.074832	0.003708	0.180731	0.005411	
0.6800	0.0372	0.0017	1.6561	0.618500	0.006848	0.084569	0.003864	0.047958	0.003014	0.072288	0.003648	0.176685	0.005365	
0.6900	0.0361	0.0017	1.6361	0.626387	0.006823	0.082125	0.003821	0.048011	0.003015	0.069958	0.003594	0.173519	0.005330	
0.7000	0.0351	0.0017	1.6168	0.633916	0.006796	0.079848	0.003776	0.048178	0.003025	0.067691	0.003542	0.170368	0.005292	
0.7100	0.0335	0.0016	1.5945	0.642230	0.006758	0.076310	0.003688	0.048922	0.003047	0.064891	0.003471	0.167647	0.005257	
0.7200	0.0322	0.0016	1.5729	0.650088	0.006730	0.073201	0.003631	0.049308	0.003060	0.062520	0.003409	0.164884	0.005223	
0.7300	0.0312	0.0016	1.5521	0.657149	0.006695	0.070909	0.003574	0.048477	0.003030	0.060710	0.003359	0.162755	0.005197	
0.7400	0.0297	0.0015	1.5322	0.664018	0.006668	0.067583	0.003504	0.048752	0.003036	0.059061	0.003320	0.160586	0.005173	
0.7500	0.0282	0.0015	1.5136	0.670373	0.006631	0.064169	0.003409	0.049416	0.003053	0.057514	0.003281	0.158527	0.005146	
0.7600	0.0267	0.0015	1.4940	0.676774	0.006602	0.060715	0.003333	0.049848	0.003075	0.055937	0.003238	0.156726	0.005123	
0.7700	0.0257	0.0014	1.4765	0.682461	0.006573	0.058477	0.003273	0.049538	0.003064	0.054737	0.003205	0.154788	0.005096	
0.7800	0.0254	0.0014	1.4606	0.688427	0.006532	0.057767	0.003224	0.049778	0.003071	0.053146	0.003162	0.150882	0.005032	
0.7900	0.0270	0.0015	1.4494	0.694710	0.006498	0.061509	0.003310	0.049637	0.003067	0.051977	0.003126	0.142167	0.004892	
0.8000	0.0285	0.0015	1.4381	0.700115	0.006462	0.064822	0.003415	0.049552	0.003065	0.050349	0.003079	0.135161	0.004804	
0.8100	0.0278	0.0015	1.4161	0.707725	0.006412	0.063305	0.003373	0.049667	0.003065	0.048757	0.003034	0.130547	0.004735	
0.8200	0.0276	0.0015	1.3982	0.714039	0.006376	0.062789	0.003369	0.049657	0.003063	0.047475	0.002995	0.126041	0.004666	
0.8300	0.0265	0.0015	1.3777	0.720814	0.006329	0.060398	0.003317	0.050088	0.003080	0.046440	0.002964	0.122261	0.004611	
0.8400	0.0262	0.0014	1.3607	0.726296	0.006293	0.059550	0.003289	0.050033	0.003076	0.045038	0.002919	0.119083	0.004553	
0.8500	0.0257	0.0014	1.3430	0.732013	0.006247	0.058561	0.003265	0.049990	0.003078	0.043890	0.002887	0.115545	0.004500	
0.8600	0.0249	0.0014	1.3243	0.737732	0.006203	0.056650	0.003211	0.049626	0.003064	0.043177	0.002863	0.112815	0.004455	
0.8700	0.0237	0.0014	1.3032	0.743841	0.006162	0.054009	0.003155	0.049677	0.003071	0.041878	0.002817	0.110595	0.004411	
0.8800	0.0236	0.0014	1.2897	0.747972	0.006125	0.053727	0.003132	0.049933	0.003071	0.040448	0.002771	0.107920	0.004365	
0.8900	0.0229	0.0014	1.2734	0.752614	0.006091	0.052054	0.003097	0.049970	0.003078	0.039296	0.002734	0.106066	0.004332	
0.9000	0.0219	0.0013	1.2537	0.758161	0.006041	0.049839	0.003025	0.049916	0.003075	0.038244	0.002700	0.103840	0.004295	
0.9100	0.0209	0.0013	1.2349	0.763315	0.005996	0.047563	0.002965	0.049448	0.003063	0.037539	0.002675	0.102135	0.004266	
0.9200	0.0205	0.0013	1.2208	0.767161	0.005969	0.046640	0.002939	0.049002	0.003050	0.036588	0.002642	0.100609	0.004231	
0.9300	0.0206	0.0013	1.2082	0.770907	0.005930	0.046825	0.002943	0.048179	0.003021	0.036000	0.002620	0.098089	0.004190	
0.9400	0.0191	0.0013	1.1886	0.775895	0.005884	0.043371	0.002845	0.047973	0.003019	0.035563	0.002613	0.097198	0.004179	
0.9500	0.0174	0.0012	1.1657	0.781580	0.005820	0.039668	0.002696	0.047778	0.003013	0.034830	0.002579	0.096144	0.004153	
0.9600	0.0159	0.0011	1.1415	0.787298	0.005775	0.036183	0.002597	0.047746	0.003015	0.033346	0.002526	0.095427	0.004137	
0.9700	0.0156	0.0011	1.1287	0.790711	0.005745	0.035394	0.002574	0.047930	0.003016	0.032439	0.002495	0.093526	0.004100	
0.9800	0.0145	0.0011	1.1117	0.794643	0.005704	0.032977	0.002489	0.047910	0.003013	0.031541	0.002457	0.092929	0.004095	
0.9900	0.0140	0.0011	1.1005	0.797243	0.005679	0.031954	0.002454	0.047744	0.003014	0.030653	0.002429	0.092407	0.004082	
1.0000	0.0144	0.0011	1.0912	0.800063	0.005650	0.032725	0.002469	0.047626	0.003008	0.029696	0.002389	0.089890	0.004020	
1.0100	0.0155	0.0011	1.0855	0.802642	0.005619	0.035198	0.002546	0.047870	0.003016	0.029018	0.002366	0.085271	0.003923	
1.0200	0.0161	0.0011	1.0748	0.806145	0.005577	0.036537	0.002588	0.047963	0.003020	0.028452	0.002345	0.080903	0.003830	
1.0300	0.0164	0.0012	1.0606	0.810296	0.005537	0.037228	0.002628	0.048088	0.003024	0.027653	0.002308	0.076736	0.003734	
1.0400	0.0171	0.0012	1.0510	0.813273	0.005499	0.039001	0.002681	0.047881	0.003010	0.027029	0.002277	0.072816	0.003648	
1.0500	0.0169	0.0012	1.0353	0.817425	0.005453	0.038551	0.002677	0.047860	0.003017	0.026576	0.002269	0.069588	0.003579	
1.0600	0.0169	0.0012	1.0220	0.820753	0.005415	0.038379	0.002685	0.047949	0.003021	0.025609	0.002225	0.067309	0.003525	
1.0700	0.0169	0.0012	1.0085	0.824236	0.005371	0.038519	0.002672	0.047780	0.003009	0.024989	0.002194	0.064475	0.003452	
1.0800	0.0161	0.0012	0.9933	0.828065	0.005325	0.036731	0.002620	0.047519	0.003000	0.025317	0.002211	0.062369	0.003409	
1.0900	0.0152	0.0011	0.9779	0.831703	0.005278	0.034648	0.002547	0.047576	0.003006	0.025267	0.002211	0.060805	0.003369	
1.1000	0.0144	0.0011	0.9628	0.835237	0.005234	0.032869	0.002479	0.047372	0.003002	0.025146	0.002206	0.059377	0.003328	
1.1100	0.0136	0.0011	0.9461	0.838955	0.005189	0.031029	0.002415	0.047308	0.002995	0.024457	0.002172	0.058250	0.003295	
1.1200	0.0130	0.0010	0.9300	0.842495	0.005140	0.029532	0.002349	0.047392	0.003005	0.023669	0.002140	0.056912	0.003256	
1.1300	0.0128	0.0010	0.9183	0.845137	0.005109	0.029117	0.002346	0.047286	0.002997	0.022908	0.002106	0.055552	0.003227	
1.1400	0.0125	0.0010	0.9078	0.847651	0.005074	0.028377	0.002312	0.047121	0.002990	0.022979	0.002109	0.053872	0.003179	
1.1500	0.0121	0.0010	0.8939	0.850769	0.005031	0.027432	0.002279	0.046851	0.002988	0.022561	0.002094	0.052388	0.003138	
1.1600	0.0113	0.0010	0.8791	0.853800	0.004985	0.025646	0.002202	0.046940	0.002989	0.021877	0.002061	0.051738	0.003125	
1.1700	0.0104	0.0009	0.8642	0.856763	0.004944	0.023669	0.002115	0.046709	0.002982	0.021323	0.002035	0.051535	0.003116	
1.1800	0.0098	0.0009	0.8490	0.859866	0.004901	0.022313	0.002047	0.047000	0.002993	0.020496	0.001992	0.050325	0.003070	
1.1900	0.0101	0.0009	0.8417	0.861590	0.004881	0.022911	0.002097	0.046815	0.002987	0.019858	0.001967	0.048827	0.003033	
1.2000	0.0101	0.0009	0.8353	0.862948	0.004856	0.023027	0.002095	0.046761	0.002984	0.019120	0.001932	0.048143	0.003019	
1.2100	0.0096	0.0009	0.8246	0.865115	0.004823	0.021948	0.002035	0.046829	0.002986	0.018813	0.001915	0.047294	0.002989	
1.2200	0.0095	0.0009	0.8172	0.866979	0.004798	0.021646	0.002037	0.046163	0.002964	0.019395	0.001942	0.045817	0.002950	
1.2300	0.0095	0.0009	0.8104	0.868489	0.004773	0.021650	0.002027	0.045751	0.002951	0.019129	0.001922	0.044981	0.002914	
1.2400	0.0093	0.0009	0.8022	0.870415	0.004744	0.021206	0.002020	0.044769	0.002919	0.019487	0.001940	0.044123	0.002897	
1.2500	0.0089	0.0009	0.7929	0.872364	0.004710	0.020172	0.001953	0.044144	0.002901	0.019666	0.001957	0.043653	0.002880	
1.2600	0.0087	0.0009	0.7864	0.873796	0.004692	0.019773	0.001945	0.043873	0.002893	0.019790	0.001961	0.042767	0.002851	
1.2700	0.0082	0.0008	0.7747	0.876027	0.004650	0.018632	0.001875	0.043641	0.002886	0.019237	0.001933	0.042464	0.002839	
1.2800	0.0080	0.0008	0.7639	0.878169	0.004619	0.018218	0.001855	0.043447	0.002882	0.018440	0.001897	0.041726	0.002813	
1.2900	0.0079	0.0008	0.7558	0.879766	0.004593	0.018005	0.001855	0.043437	0.002880	0.017743	0.001855	0.041048	0.002794	
