Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.0001	0.0000	0.1444	0.0197	0.9803	A -- B -- C	0.980266	0.001599	B -- C	0.019007	0.001549	C	0.000726	0.000206
0.0100	0.0004	0.0001	0.3429	0.0582	0.9418	A -- B -- C	0.941810	0.003116	B -- C	0.053740	0.002984	C	0.004451	0.000928
0.0200	0.0004	0.0001	0.4806	0.0951	0.9049	A -- C	0.000083	0.000083	A -- B -- C	0.904852	0.004002	B -- C	0.090548	0.003908	C	0.004517	0.000943
0.0300	0.0004	0.0001	0.5929	0.1304	0.8696	A -- C	0.000200	0.000200	A -- B -- C	0.869411	0.004643	B -- C	0.125141	0.004541	C	0.005247	0.000960
0.0400	0.0011	0.0001	0.7157	0.1644	0.8356	A -- C	0.000259	0.000209	A -- B -- C	0.835305	0.005139	B -- C	0.150882	0.004920	C	0.013554	0.001538
0.0500	0.0017	0.0002	0.8206	0.1969	0.8031	A -- C	0.000537	0.000311	A -- B -- C	0.802536	0.005535	B -- C	0.175264	0.005254	C	0.021662	0.001995
0.0600	0.0023	0.0002	0.9071	0.2281	0.7719	A -- B -- C	0.771047	0.005856	B -- C	0.199927	0.005558	C	0.028220	0.002298	A -- C	0.000805	0.000400
0.0700	0.0030	0.0002	0.9884	0.2581	0.7419	A -- B -- C	0.740863	0.006118	B -- C	0.221100	0.005750	C	0.036975	0.002587	A -- C	0.001062	0.000451
0.0800	0.0038	0.0002	1.0645	0.2868	0.7132	A -- B -- C	0.711791	0.006332	B -- C	0.239559	0.005933	C	0.047214	0.002948	A -- C	0.001437	0.000524
0.0900	0.0044	0.0003	1.1273	0.3144	0.6856	<nil>	0.000197	0.000197	A -- C	0.001725	0.000579	C	0.054601	0.003175	B -- C	0.259629	0.006108	A -- B -- C	0.683848	0.006507
0.1000	0.0049	0.0003	1.1795	0.3407	0.6593	<nil>	0.000200	0.000200	A -- C	0.002251	0.000649	C	0.060529	0.003339	B -- C	0.279995	0.006264	A -- B -- C	0.657025	0.006648
0.1100	0.0059	0.0003	1.2421	0.3657	0.6343	<nil>	0.000200	0.000200	A -- C	0.003005	0.000768	C	0.073566	0.003596	B -- C	0.291929	0.006309	A -- B -- C	0.631300	0.006761
0.1200	0.0072	0.0003	1.3039	0.3895	0.6105	<nil>	0.000200	0.000200	A -- C	0.003874	0.000851	C	0.089656	0.003977	B -- C	0.299675	0.006381	A -- B -- C	0.606595	0.006851
0.1300	0.0081	0.0003	1.3526	0.4124	0.5876	<nil>	0.000363	0.000258	A -- C	0.004748	0.000956	C	0.100873	0.004212	B -- C	0.311166	0.006464	A -- B -- C	0.582850	0.006918
0.1400	0.0088	0.0004	1.3911	0.4344	0.5656	<nil>	0.000400	0.000283	A -- C	0.005563	0.001029	C	0.109614	0.004383	B -- C	0.324359	0.006548	A -- B -- C	0.560065	0.006967
0.1500	0.0093	0.0004	1.4245	0.4551	0.5449	<nil>	0.000400	0.000283	A -- C	0.006758	0.001147	C	0.116444	0.004485	B -- C	0.338211	0.006605	A -- B -- C	0.538187	0.007000
0.1600	0.0110	0.0004	1.4741	0.4750	0.5250	<nil>	0.000400	0.000283	A -- C	0.007961	0.001240	C	0.137217	0.004799	B -- C	0.337361	0.006589	A -- B -- C	0.517061	0.007019
