Trajectory	State	Proba	State	Proba	State	Proba	State	Proba
#1	A -- B -- C	0.09994573403	B -- C	0.004932925673	C	0.2427344657	A -- C	0.6523868746
#2	A -- B -- C	0.1790236452	B -- C	0.03135837683	C	0.6269678859	A -- C	0.162650092
#3	A -- B -- C	0.06251212431	B -- C	0.0561919841	C	0.3172410513	A -- C	0.5640548403
#4	A -- B -- C	0.2802085827	B -- C	0.2342540872	C	0.321796784	A -- C	0.1637405461
#5	A -- B -- C	0.1758580197	B -- C	0.03234560014	C	0.422025882	A -- C	0.3697704982
#6	A -- B -- C	0.07693554914	B -- C	0.29446433	C	0.4932125879	A -- C	0.135387533
#7	A -- B -- C	0.04845076428	B -- C	0.09557677791	C	0.5400416357	A -- C	0.3159308221
#8	A -- B -- C	0.07379643576	B -- C	0.2106946639	C	0.6330417786	A -- C	0.08246712176
#9	A -- B -- C	0.1220036073	B -- C	0.1179202761	C	0.2982617464	A -- C	0.4618143702
#10	A -- B -- C	0.1634542439	B -- C	0.1367183116	C	0.4584670245	A -- C	0.24136042
#11	A -- B -- C	0.0620587164	B -- C	0.2679764819	C	0.3124046178	A -- C	0.3575601839
#12	A -- B -- C	0.09568869634	B -- C	0.1409463887	C	0.6529040423	A -- C	0.1104608727
#13	A -- B -- C	0.1795015021	B -- C	0.02055154292	C	0.3922638965	A -- C	0.4076830585
#14	A -- B -- C	0.07441919315	B -- C	0.04651652632	C	0.550841364	A -- C	0.3282229166
#15	A -- B -- C	0.05149688608	B -- C	0.08635338456	C	0.5052518241	A -- C	0.3568979053
#16	A -- B -- C	0.08193036185	B -- C	0.2940193895	C	0.3594249338	A -- C	0.2646253149
#17	A -- B -- C	0.1130979554	B -- C	0.05414383756	C	0.4659980029	A -- C	0.3667602041
#18	A -- B -- C	0.2338723544	B -- C	0.1041021981	C	0.4442738466	A -- C	0.2177516009
#19	A -- B -- C	0.06175657413	B -- C	0.1402707409	C	0.3469202189	A -- C	0.4510524661
#20	A -- B -- C	0.1018085412	B -- C	0.1229924822	C	0.5943246909	A -- C	0.1808742857
#21	A -- B -- C	0.1559188097	B -- C	0.09148676323	C	0.3612020799	A -- C	0.3913923472
#22	A -- B -- C	0.03995590504	B -- C	0.04135039847	C	0.7680329714	A -- C	0.1506607251
#23	A -- B -- C	0.05443981305	B -- C	0.08998661349	C	0.4506173005	A -- C	0.4049562729
#24	A -- B -- C	0.1435986936	B -- C	0.03604491975	C	0.4499056908	A -- C	0.3704506958
#25	A -- B -- C	0.1219988665	B -- C	0.02817918017	C	0.4303081296	A -- C	0.4195138237
#26	A -- B -- C	0.2920092814	B -- C	0.09234860827	C	0.512287095	A -- C	0.1033550153
#27	A -- B -- C	0.005719001923	B -- C	0.09812292847	C	0.4796429059	<nil>	0.4165151637
#28	A -- B -- C	0.09315149097	B -- C	0.05173416355	C	0.627326392	A -- C	0.2277879535
#29	A -- B -- C	0.02268678494	B -- C	0.02396780502	C	0.5377353589	A -- C	0.4156100511
#30	A -- B -- C	0.03634176666	B -- C	0.1284273631	C	0.7330764497	A -- C	0.1021544206
#31	A -- B -- C	0.04873198531	B -- C	0.1173622952	C	0.6264950704	A -- C	0.2074106491
#32	A -- B -- C	0.08690807975	B -- C	0.1153562708	C	0.6924967737	A -- C	0.1052388757
#33	A -- B -- C	0.1067528772	B -- C	0.02783501656	C	0.7925135807	A -- C	0.07289852555
#34	A -- B -- C	0.0006234219706	B -- C	0.05826901007	C	0.941107568
#35	A -- B -- C	0.06397137439	B -- C	0.1709316807	C	0.2452164655	A -- C	0.5198804795
#36	A -- B -- C	0.126948356	B -- C	0.2248772625	C	0.3727057619	A -- C	0.2754686196
#37	A -- B -- C	0.1447647999	B -- C	0.06190161905	C	0.2528460504	A -- C	0.5404875306
#38	A -- B -- C	0.1268171506	B -- C	0.1919602867	C	0.4209239177	A -- C	0.260298645
#39	A -- B -- C	0.06183772404	B -- C	0.3570519053	C	0.01072797227	A -- C	0.5703823984
#40	A -- B -- C	0.2010975602	B -- C	0.2060494344	C	0.3404274432	A -- C	0.2524255621
#41	A -- B -- C	0.1492567682	B -- C	0.1250034675	C	0.07567349119	A -- C	0.6500662731
#42	A -- B -- C	0.1406555552	B -- C	0.2357656692	C	0.4308235795	A -- C	0.1927551962
#43	A -- B -- C	0.06173720987	B -- C	0.003298840144	C	0.1430318878	A -- C	0.7919320622
#44	A -- B -- C	0.1392013442	B -- C	0.1183005796	C	0.4834654154	A -- C	0.2590326607
#45	A -- B -- C	0.141083589	B -- C	0.05339939275	C	0.1025136883	A -- C	0.7030033299
#46	A -- B -- C	0.1623147026	B -- C	0.1108395246	C	0.1316121646	A -- C	0.5952336081
#47	A -- B -- C	0.06623663463	B -- C	0.03011848722	C	0.1250822404	A -- C	0.7785626378
#48	A -- B -- C	0.1290866921	B -- C	0.1768235836	C	0.1787952788	A -- C	0.5152944456
#49	A -- B -- C	0.1493228203	B -- C	0.04727149144	C	0.03695782266	A -- C	0.7664478656
#50	A -- B -- C	0.1913435738	B -- C	0.1943224938	C	0.2534861364	A -- C	0.360847796
#51	A -- B -- C	0.01164199483	B -- C	0.007311226201	C	0.04265091837	A -- C	0.9383958606
#52	A -- B -- C	0.1234034568	B -- C	0.1362310471	C	0.4357654476	A -- C	0.3046000485
#53	A -- B -- C	0.2088495655	B -- C	0.3002187313	C	0.4081801049	A -- C	0.08275159832
#54	A -- B -- C	0.2996388143	B -- C	0.1524694936	C	0.08718311471	A -- C	0.4607085773
#55	A -- B -- C	0.08583006542	B -- C	0.03470386286	C	0.4271061321	A -- C	0.4523599396
#56	A -- B -- C	0.1464270043	B -- C	0.05394455341	C	0.4137062703	A -- C	0.385922172
#57	A -- B -- C	0.2291274283	B -- C	0.08215996543	C	0.45074827	A -- C	0.2379643362
#58	A -- B -- C	0.06056905249	B -- C	0.2565968114	C	0.4678565521	A -- C	0.2149775841
#59	A -- B -- C	0.1979367626	B -- C	0.2012181167	C	0.1826966234	A -- C	0.4181484974
#60	A -- B -- C	0.1708528698	B -- C	0.1958457523	C	0.3197906716	A -- C	0.3135107063
#61	A -- B -- C	0.2207191159	B -- C	0.1991921144	C	0.4095608801	A -- C	0.1705278895
#62	A -- B -- C	0.3090545254	B -- C	0.08666965502	C	0.4459009235	A -- C	0.158374896
#63	A -- B -- C	0.09746724118	B -- C	0.1795431006	C	0.3902879184	A -- C	0.3327017397
#64	A -- B -- C	0.1679936143	B -- C	0.06928327079	C	0.1677677082	A -- C	0.5949554067
#65	A -- B -- C	0.1205357075	B -- C	0.1079590951	C	0.3664825301	A -- C	0.4050226673
#66	A -- B -- C	0.06951948523	B -- C	0.04648238594	C	0.2619891488	A -- C	0.62200898
#67	A -- B -- C	0.0867406413	B -- C	0.04693716147	C	0.8028589854	A -- C	0.06346321187
#68	A -- B -- C	0.1425296523	B -- C	0.07309053539	C	0.3988447675	A -- C	0.3855350448
#69	A -- B -- C	0.2494988132	B -- C	0.1258505197	C	0.3044157541	A -- C	0.3202349131
#70	A -- B -- C	0.2621321236	B -- C	0.08480826436	C	0.3202786027	A -- C	0.3327810094
#71	A -- B -- C	0.08375805962	B -- C	0.0788442672	C	0.1707198216	A -- C	0.6666778515
#72	A -- B -- C	0.1396824136	B -- C	0.1226132561	C	0.5043742912	A -- C	0.2333300391
#73	A -- B -- C	0.1106137314	B -- C	0.2100095719	C	0.2412224609	A -- C	0.4381542357
#74	A -- B -- C	0.05315530497	B -- C	0.2085657364	C	0.4394379303	A -- C	0.2988410283
#75	A -- B -- C	0.0950026512	B -- C	0.05998309989	C	0.5335691991	A -- C	0.3114450498
#76	A -- B -- C	0.1560993067	B -- C	0.08670498867	C	0.3111110425	A -- C	0.4460846621
#77	A -- B -- C	0.1346035463	B -- C	0.1515554135	C	0.526191581	A -- C	0.1876494593
#78	A -- B -- C	0.2460778276	B -- C	0.04177671826	C	0.2890755008	A -- C	0.4230699533
#79	A -- B -- C	0.1266556529	B -- C	0.06387578005	C	0.628837005	A -- C	0.180631562
#80	A -- B -- C	0.1668416795	B -- C	0.1011010321	C	0.3648486903	A -- C	0.3672085981
#81	A -- B -- C	0.02623240891	B -- C	0.3727600095	C	0.4080058137	A -- C	0.193001768
#82	A -- B -- C	0.04284477599	B -- C	0.07713213371	C	0.5507980536	A -- C	0.3292250367
#83	A -- B -- C	0.1133294474	B -- C	0.2898543909	C	0.3571946977	A -- C	0.239621464
#84	A -- B -- C	0.1340217086	B -- C	0.1918140685	C	0.1853823661	A -- C	0.4887818568
#85	A -- B -- C	0.1380711269	B -- C	0.04107536872	C	0.7433235598	A -- C	0.07752994452
#86	A -- B -- C	0.2405251177	B -- C	0.05255948697	C	0.28835454	A -- C	0.4185608554
#87	A -- B -- C	0.1457494518	B -- C	0.07328318785	C	0.7275112334	A -- C	0.05345612686
#88	A -- B -- C	0.2360753431	B -- C	0.1005943908	C	0.3183968698	A -- C	0.3449333963
#89	A -- B -- C	0.02591273279	B -- C	0.02794363512	C	0.2155445098	A -- C	0.7305991223
#90	A -- B -- C	0.1011975768	B -- C	0.05759923375	C	0.4492096855	A -- C	0.3919935039
#91	A -- B -- C	0.1150243132	B -- C	0.08777544299	C	0.3671886795	A -- C	0.4300115643
#92	A -- B -- C	0.0943596331	B -- C	0.1526764129	C	0.5218539053	A -- C	0.2311100487
#93	A -- B -- C	0.1434226852	B -- C	0.1630495762	C	0.3785674513	A -- C	0.3149602873
#94	A -- B -- C	0.240948349	B -- C	0.1856919511	C	0.2945037485	A -- C	0.2788559515
#95	A -- B -- C	0.1147729922	B -- C	0.2027286193	C	0.4596282577	A -- C	0.2228701307
#96	A -- B -- C	0.1439483931	B -- C	0.1596311441	C	0.3417179424	A -- C	0.3547025204
#97	A -- B -- C	0.0374195375	B -- C	0.04699957859	C	0.7227390087	A -- C	0.1928418752
#98	A -- B -- C	0.0449801806	B -- C	0.04135701456	C	0.3944670942	A -- C	0.5191957107
#99	A -- B -- C	0.1498270066	B -- C	0.1294817823	C	0.5449733232	A -- C	0.1757178878
#100	A -- B -- C	0.09581156333	B -- C	0.1795600581	C	0.4686005241	A -- C	0.2560278545

Trajectory[cluster=#1,size=99]	State	Proba	State	Proba	State	Proba	State	Proba ...
#1	A -- B -- C	0.09994573403	B -- C	0.004932925673	C	0.2427344657	A -- C	0.6523868746
#2	A -- B -- C	0.1790236452	B -- C	0.03135837683	C	0.6269678859	A -- C	0.162650092
#3	A -- B -- C	0.06251212431	B -- C	0.0561919841	C	0.3172410513	A -- C	0.5640548403
#4	A -- B -- C	0.2802085827	B -- C	0.2342540872	C	0.321796784	A -- C	0.1637405461
#5	A -- B -- C	0.1758580197	B -- C	0.03234560014	C	0.422025882	A -- C	0.3697704982
#6	A -- B -- C	0.07693554914	B -- C	0.29446433	C	0.4932125879	A -- C	0.135387533
#7	A -- B -- C	0.04845076428	B -- C	0.09557677791	C	0.5400416357	A -- C	0.3159308221
#8	A -- B -- C	0.07379643576	B -- C	0.2106946639	C	0.6330417786	A -- C	0.08246712176
#9	A -- B -- C	0.1220036073	B -- C	0.1179202761	C	0.2982617464	A -- C	0.4618143702
#10	A -- B -- C	0.1634542439	B -- C	0.1367183116	C	0.4584670245	A -- C	0.24136042
#11	A -- B -- C	0.0620587164	B -- C	0.2679764819	C	0.3124046178	A -- C	0.3575601839
#12	A -- B -- C	0.09568869634	B -- C	0.1409463887	C	0.6529040423	A -- C	0.1104608727
#13	A -- B -- C	0.1795015021	B -- C	0.02055154292	C	0.3922638965	A -- C	0.4076830585
#14	A -- B -- C	0.07441919315	B -- C	0.04651652632	C	0.550841364	A -- C	0.3282229166
#15	A -- B -- C	0.05149688608	B -- C	0.08635338456	C	0.5052518241	A -- C	0.3568979053
#16	A -- B -- C	0.08193036185	B -- C	0.2940193895	C	0.3594249338	A -- C	0.2646253149
#17	A -- B -- C	0.1130979554	B -- C	0.05414383756	C	0.4659980029	A -- C	0.3667602041
#18	A -- B -- C	0.2338723544	B -- C	0.1041021981	C	0.4442738466	A -- C	0.2177516009
#19	A -- B -- C	0.06175657413	B -- C	0.1402707409	C	0.3469202189	A -- C	0.4510524661
#20	A -- B -- C	0.1018085412	B -- C	0.1229924822	C	0.5943246909	A -- C	0.1808742857
#21	A -- B -- C	0.1559188097	B -- C	0.09148676323	C	0.3612020799	A -- C	0.3913923472
#22	A -- B -- C	0.03995590504	B -- C	0.04135039847	C	0.7680329714	A -- C	0.1506607251
#23	A -- B -- C	0.05443981305	B -- C	0.08998661349	C	0.4506173005	A -- C	0.4049562729
#24	A -- B -- C	0.1435986936	B -- C	0.03604491975	C	0.4499056908	A -- C	0.3704506958
#25	A -- B -- C	0.1219988665	B -- C	0.02817918017	C	0.4303081296	A -- C	0.4195138237
#26	A -- B -- C	0.2920092814	B -- C	0.09234860827	C	0.512287095	A -- C	0.1033550153
#28	A -- B -- C	0.09315149097	B -- C	0.05173416355	C	0.627326392	A -- C	0.2277879535
#29	A -- B -- C	0.02268678494	B -- C	0.02396780502	C	0.5377353589	A -- C	0.4156100511
#30	A -- B -- C	0.03634176666	B -- C	0.1284273631	C	0.7330764497	A -- C	0.1021544206
#31	A -- B -- C	0.04873198531	B -- C	0.1173622952	C	0.6264950704	A -- C	0.2074106491
#32	A -- B -- C	0.08690807975	B -- C	0.1153562708	C	0.6924967737	A -- C	0.1052388757
#33	A -- B -- C	0.1067528772	B -- C	0.02783501656	C	0.7925135807	A -- C	0.07289852555
#34	A -- B -- C	0.0006234219706	B -- C	0.05826901007	C	0.941107568
#35	A -- B -- C	0.06397137439	B -- C	0.1709316807	C	0.2452164655	A -- C	0.5198804795
#36	A -- B -- C	0.126948356	B -- C	0.2248772625	C	0.3727057619	A -- C	0.2754686196
#37	A -- B -- C	0.1447647999	B -- C	0.06190161905	C	0.2528460504	A -- C	0.5404875306
#38	A -- B -- C	0.1268171506	B -- C	0.1919602867	C	0.4209239177	A -- C	0.260298645
#39	A -- B -- C	0.06183772404	B -- C	0.3570519053	C	0.01072797227	A -- C	0.5703823984
#40	A -- B -- C	0.2010975602	B -- C	0.2060494344	C	0.3404274432	A -- C	0.2524255621
#41	A -- B -- C	0.1492567682	B -- C	0.1250034675	C	0.07567349119	A -- C	0.6500662731
#42	A -- B -- C	0.1406555552	B -- C	0.2357656692	C	0.4308235795	A -- C	0.1927551962
#43	A -- B -- C	0.06173720987	B -- C	0.003298840144	C	0.1430318878	A -- C	0.7919320622
#44	A -- B -- C	0.1392013442	B -- C	0.1183005796	C	0.4834654154	A -- C	0.2590326607
#45	A -- B -- C	0.141083589	B -- C	0.05339939275	C	0.1025136883	A -- C	0.7030033299
#46	A -- B -- C	0.1623147026	B -- C	0.1108395246	C	0.1316121646	A -- C	0.5952336081
#47	A -- B -- C	0.06623663463	B -- C	0.03011848722	C	0.1250822404	A -- C	0.7785626378
#48	A -- B -- C	0.1290866921	B -- C	0.1768235836	C	0.1787952788	A -- C	0.5152944456
#49	A -- B -- C	0.1493228203	B -- C	0.04727149144	C	0.03695782266	A -- C	0.7664478656
#50	A -- B -- C	0.1913435738	B -- C	0.1943224938	C	0.2534861364	A -- C	0.360847796
#51	A -- B -- C	0.01164199483	B -- C	0.007311226201	C	0.04265091837	A -- C	0.9383958606
#52	A -- B -- C	0.1234034568	B -- C	0.1362310471	C	0.4357654476	A -- C	0.3046000485
#53	A -- B -- C	0.2088495655	B -- C	0.3002187313	C	0.4081801049	A -- C	0.08275159832
#54	A -- B -- C	0.2996388143	B -- C	0.1524694936	C	0.08718311471	A -- C	0.4607085773
#55	A -- B -- C	0.08583006542	B -- C	0.03470386286	C	0.4271061321	A -- C	0.4523599396
#56	A -- B -- C	0.1464270043	B -- C	0.05394455341	C	0.4137062703	A -- C	0.385922172
#57	A -- B -- C	0.2291274283	B -- C	0.08215996543	C	0.45074827	A -- C	0.2379643362
#58	A -- B -- C	0.06056905249	B -- C	0.2565968114	C	0.4678565521	A -- C	0.2149775841
#59	A -- B -- C	0.1979367626	B -- C	0.2012181167	C	0.1826966234	A -- C	0.4181484974
#60	A -- B -- C	0.1708528698	B -- C	0.1958457523	C	0.3197906716	A -- C	0.3135107063
#61	A -- B -- C	0.2207191159	B -- C	0.1991921144	C	0.4095608801	A -- C	0.1705278895
#62	A -- B -- C	0.3090545254	B -- C	0.08666965502	C	0.4459009235	A -- C	0.158374896
#63	A -- B -- C	0.09746724118	B -- C	0.1795431006	C	0.3902879184	A -- C	0.3327017397
#64	A -- B -- C	0.1679936143	B -- C	0.06928327079	C	0.1677677082	A -- C	0.5949554067
#65	A -- B -- C	0.1205357075	B -- C	0.1079590951	C	0.3664825301	A -- C	0.4050226673
#66	A -- B -- C	0.06951948523	B -- C	0.04648238594	C	0.2619891488	A -- C	0.62200898
#67	A -- B -- C	0.0867406413	B -- C	0.04693716147	C	0.8028589854	A -- C	0.06346321187
#68	A -- B -- C	0.1425296523	B -- C	0.07309053539	C	0.3988447675	A -- C	0.3855350448
#69	A -- B -- C	0.2494988132	B -- C	0.1258505197	C	0.3044157541	A -- C	0.3202349131
#70	A -- B -- C	0.2621321236	B -- C	0.08480826436	C	0.3202786027	A -- C	0.3327810094
