Time	TH	ErrTH	H	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[p21]	ErrProb[p21]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[Senescence]	ErrProb[Senescence]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin]	ErrProb[Insulin]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	
0.0000	0.8234	0.0092	3.9963	0.070112	0.003511	0.000000	0.000000	0.000000	0.000000	0.070383	0.003508	0.064849	0.003348	0.059529	0.003253	0.058330	0.003187	0.000000	0.000000	0.000000	0.000000	0.063315	0.003340	0.000000	0.000000	0.000000	0.000000	0.058330	0.003191	0.000000	0.000000	0.059736	0.003232	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062494	0.003308	0.067351	0.003439	0.063707	0.003322	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056406	0.003147	0.000000	0.000000	0.058250	0.003205	0.000000	0.000000	0.066541	0.003411	0.056132	0.003138	0.064534	0.003375	
0.1000	0.7146	0.0091	3.9815	0.070278	0.003522	0	0	0	0	0.071525	0.003550	0.069745	0.003484	0.062873	0.003338	0.049356	0.002952	0	0	0	0	0.066116	0.003420	0	0	0	0	0.053230	0.003072	0	0	0.042570	0.002757	0	0	0	0	0	0	0	0	0.069520	0.003474	0.075051	0.003601	0.067270	0.003443	0	0	0	0	0	0	0.049334	0.002969	0	0	0.054722	0.003115	0	0	0.075674	0.003642	0.056831	0.003166	0.065905	0.003388	
0.2000	0.6233	0.0089	3.9589	0.070991	0.003532	0	0	0	0	0.070959	0.003537	0.071596	0.003548	0.069950	0.003513	0.044464	0.002824	0	0	0	0	0.066613	0.003436	0	0	0	0	0.045742	0.002853	0	0	0.032605	0.002436	0	0	0	0	0	0	0	0	0.074427	0.003596	0.081603	0.003753	0.067504	0.003456	0	0	0	0	0	0	0.043979	0.002823	0	0	0.050435	0.003009	0	0	0.083635	0.003811	0.056356	0.003167	0.069143	0.003479	
0.3000	0.5513	0.0086	3.9294	0.072372	0.003572	0	0	0	0	0.073035	0.003582	0.073628	0.003605	0.074687	0.003625	0.041691	0.002746	0	0	0	0	0.067111	0.003444	0	0	0	0	0.037161	0.002609	0	0	0.022735	0.002008	0	0	0	0	0	0	0	0	0.074076	0.003602	0.086026	0.003873	0.069590	0.003504	0	0	0	0	0	0	0.040500	0.002718	0	0	0.048589	0.002953	0	0	0.091381	0.003986	0.055494	0.003147	0.071924	0.003570	
0.4000	0.4967	0.0083	3.9031	0.073169	0.003603	0	0	0	0	0.076679	0.003677	0.075139	0.003632	0.082371	0.003793	0.037725	0.002623	0	0	0	0	0.064605	0.003400	0	0	0	0	0.033876	0.002486	0	0	0.018372	0.001849	0	0	0	0	0	0	0	0	0.074197	0.003627	0.087746	0.003913	0.069729	0.003536	0	0	0	0	0	0	0.035936	0.002561	0	0	0.043462	0.002791	0	0	0.097033	0.004073	0.055698	0.003168	0.074264	0.003622	
0.5000	0.4551	0.0081	3.8735	0.075133	0.003648	0	0	0	0	0.082736	0.003822	0.078109	0.003707	0.087534	0.003920	0.035434	0.002554	0	0	0	0	0.061249	0.003319	0	0	0	0	0.029400	0.002324	0	0	0.015513	0.001683	0	0	0	0	0	0	0	0	0.074934	0.003639	0.088593	0.003938	0.069839	0.003541	0	0	0	0	0	0	0.030526	0.002345	0	0	0.039295	0.002656	0	0	0.103488	0.004233	0.055037	0.003162	0.073181	0.003609	
0.6000	0.4131	0.0078	3.8440	0.075947	0.003670	0	0	0	0	0.085747	0.003882	0.078435	0.003728	0.092982	0.004047	0.033976	0.002513	0	0	0	0	0.060375	0.003288	0	0	0	0	0.022900	0.002048	0	0	0.012804	0.001544	0	0	0	0	0	0	0	0	0.076268	0.003671	0.089254	0.003932	0.070330	0.003551	0	0	0	0	0	0	0.027280	0.002257	0	0	0.037503	0.002623	0	0	0.108976	0.004321	0.054847	0.003136	0.072376	0.003558	
0.7000	0.3763	0.0076	3.8205	0.077724	0.003713	0	0	0	0	0.086628	0.003909	0.078273	0.003726	0.098861	0.004137	0.034166	0.002503	0	0	0	0	0.057832	0.003234	0	0	0	0	0.018387	0.001830	0	0	0.011602	0.001448	0	0	0	0	0	0	0	0	0.076107	0.003671	0.087016	0.003906	0.071911	0.003597	0	0	0	0	0	0	0.023448	0.002091	0	0	0.037282	0.002600	0	0	0.114847	0.004415	0.055165	0.003170	0.070753	0.003555	
0.8000	0.3495	0.0073	3.8002	0.078637	0.003730	0	0	0	0	0.088918	0.003964	0.076373	0.003685	0.104540	0.004252	0.032887	0.002471	0	0	0	0	0.053075	0.003108	0	0	0	0	0.016549	0.001758	0	0	0.010306	0.001381	0	0	0	0	0	0	0	0	0.075379	0.003683	0.088131	0.003945	0.076034	0.003687	0	0	0	0	0	0	0.020598	0.001966	0	0	0.037215	0.002605	0	0	0.116579	0.004443	0.055724	0.003171	0.069055	0.003508	
0.9000	0.3295	0.0072	3.7786	0.080363	0.003766	0	0	0	0	0.093554	0.004066	0.075645	0.003676	0.108781	0.004345	0.029835	0.002346	0	0	0	0	0.049837	0.003032	0	0	0	0	0.015787	0.001714	0	0	0.009172	0.001286	0	0	0	0	0	0	0	0	0.073620	0.003633	0.086680	0.003911	0.080357	0.003782	0	0	0	0	0	0	0.017476	0.001813	0	0	0.037897	0.002619	0	0	0.119058	0.004503	0.056123	0.003192	0.065815	0.003437	
