Time,TH,ErrTH,H,Prob[Insulin--mTORC1_S6K1],ErrProb[Insulin--mTORC1_S6K1],Prob[p21--mTORC1_S6K1],ErrProb[p21--mTORC1_S6K1],Prob[p21--Senescence--AKT],ErrProb[p21--Senescence--AKT],Prob[Insulin--p21--mTORC1_S6K1--Senescence],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence],Prob[Insulin--AKT],ErrProb[Insulin--AKT],Prob[Insulin--p21],ErrProb[Insulin--p21],Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT],Prob[p21--AKT],ErrProb[p21--AKT],Prob[p21--mTORC1_S6K1--Senescence--AKT],ErrProb[p21--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--Senescence--AKT],ErrProb[Insulin--Senescence--AKT],Prob[mTORC1_S6K1--Senescence--AKT],ErrProb[mTORC1_S6K1--Senescence--AKT],Prob[mTORC1_S6K1--AKT],ErrProb[mTORC1_S6K1--AKT],Prob[Insulin--p21--Senescence--AKT],ErrProb[Insulin--p21--Senescence--AKT],Prob[p21],ErrProb[p21],Prob[Insulin--p21--mTORC1_S6K1--AKT],ErrProb[Insulin--p21--mTORC1_S6K1--AKT],Prob[AKT],ErrProb[AKT],Prob[p21--mTORC1_S6K1--Senescence],ErrProb[p21--mTORC1_S6K1--Senescence],Prob[Senescence],ErrProb[Senescence],Prob[<nil>],ErrProb[<nil>],Prob[Insulin--p21--Senescence],ErrProb[Insulin--p21--Senescence],Prob[Insulin--Senescence],ErrProb[Insulin--Senescence],Prob[Insulin--mTORC1_S6K1--AKT],ErrProb[Insulin--mTORC1_S6K1--AKT],Prob[mTORC1_S6K1],ErrProb[mTORC1_S6K1],Prob[p21--Senescence],ErrProb[p21--Senescence],Prob[p21--mTORC1_S6K1--AKT],ErrProb[p21--mTORC1_S6K1--AKT],Prob[Insulin--p21--AKT],ErrProb[Insulin--p21--AKT],Prob[mTORC1_S6K1--Senescence],ErrProb[mTORC1_S6K1--Senescence],Prob[Insulin--p21--mTORC1_S6K1],ErrProb[Insulin--p21--mTORC1_S6K1],Prob[Senescence--AKT],ErrProb[Senescence--AKT],Prob[Insulin],ErrProb[Insulin],Prob[Insulin--mTORC1_S6K1--Senescence--AKT],ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT],Prob[Insulin--mTORC1_S6K1--Senescence],ErrProb[Insulin--mTORC1_S6K1--Senescence],<nil>,AKT,p21,mTORC1_S6K1,Insulin,Senescence
0.0,0.8234,0.0092,3.9963,0.070112,0.003511,0.0,0.0,0.0,0.0,0.070383,0.003508,0.064849,0.003348,0.059529,0.0032530000000000002,0.05832999999999999,0.003187,0.0,0.0,0.0,0.0,0.063315,0.0033399999999999997,0.0,0.0,0.0,0.0,0.05832999999999999,0.003191,0.0,0.0,0.059736000000000004,0.003232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06249400000000001,0.0033079999999999997,0.067351,0.003439,0.063707,0.003322,0.0,0.0,0.0,0.0,0.0,0.0,0.056406,0.003147,0.0,0.0,0.05825,0.0032049999999999995,0.0,0.0,0.066541,0.003411,0.05613200000000001,0.0031379999999999997,0.06453400000000001,0.003375,0.0,0.48080500000000004,0.483458,0.5011840000000001,0.9999990000000001,0.500869
0.1,0.7146,0.0091,3.9815,0.070278,0.003522,0.0,0.0,0.0,0.0,0.071525,0.00355,0.069745,0.0034840000000000006,0.062873,0.0033380000000000003,0.049356,0.0029519999999999998,0.0,0.0,0.0,0.0,0.066116,0.0034200000000000003,0.0,0.0,0.0,0.0,0.05322999999999999,0.003072,0.0,0.0,0.04257,0.002757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06952,0.003474,0.07505099999999999,0.0036009999999999996,0.06727000000000001,0.003443,0.0,0.0,0.0,0.0,0.0,0.0,0.049333999999999996,0.0029690000000000003,0.0,0.0,0.054722,0.0031149999999999997,0.0,0.0,0.075674,0.0036420000000000003,0.05683099999999999,0.003166,0.06590499999999999,0.0033880000000000004,0.0,0.45445199999999997,0.45313,0.478457,1.0,0.5075339999999999
0.2,0.6233,0.0089,3.9589,0.070991,0.003532,0.0,0.0,0.0,0.0,0.07095900000000001,0.0035369999999999998,0.071596,0.0035479999999999995,0.06995,0.003513,0.044464,0.0028239999999999997,0.0,0.0,0.0,0.0,0.066613,0.003436,0.0,0.0,0.0,0.0,0.045742000000000005,0.002853,0.0,0.0,0.032605,0.002436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074427,0.0035960000000000002,0.081603,0.0037530000000000003,0.067504,0.0034560000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.043979000000000004,0.002823,0.0,0.0,0.050435,0.003009,0.0,0.0,0.083635,0.003811,0.056355999999999996,0.003167,0.069143,0.003479,0.0,0.428859,0.432561,0.462457,1.000002,0.509307
0.3,0.5513,0.0086,3.9294,0.072372,0.003572,0.0,0.0,0.0,0.0,0.073035,0.003582,0.073628,0.0036049999999999997,0.074687,0.003625,0.041691000000000006,0.002746,0.0,0.0,0.0,0.0,0.067111,0.0034439999999999996,0.0,0.0,0.0,0.0,0.037161,0.0026089999999999998,0.0,0.0,0.022735,0.002008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074076,0.003602,0.086026,0.0038729999999999997,0.06959,0.0035039999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0405,0.002718,0.0,0.0,0.048589,0.0029530000000000003,0.0,0.0,0.09138099999999999,0.003986,0.05549400000000001,0.003147,0.071924,0.0035700000000000003,0.0,0.40791,0.412474,0.45543,1.0,0.506518
0.4,0.4967,0.0083,3.9031,0.07316900000000001,0.0036030000000000003,0.0,0.0,0.0,0.0,0.076679,0.003677,0.075139,0.003632,0.082371,0.003793,0.037725,0.002623,0.0,0.0,0.0,0.0,0.064605,0.0034,0.0,0.0,0.0,0.0,0.033875999999999996,0.002486,0.0,0.0,0.018372,0.001849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074197,0.0036270000000000004,0.087746,0.003913000000000001,0.069729,0.003536,0.0,0.0,0.0,0.0,0.0,0.0,0.035936,0.002561,0.0,0.0,0.043462,0.002791,0.0,0.0,0.09703300000000001,0.004072999999999999,0.055698000000000004,0.003168,0.074264,0.003622,0.0,0.39108,0.402618,0.449098,1.000001,0.50479
0.5,0.4551,0.0081,3.8735,0.075133,0.0036479999999999998,0.0,0.0,0.0,0.0,0.082736,0.003822,0.078109,0.0037070000000000002,0.087534,0.00392,0.035434,0.002554,0.0,0.0,0.0,0.0,0.061249,0.003319,0.0,0.0,0.0,0.0,0.0294,0.0023239999999999997,0.0,0.0,0.015512999999999999,0.0016829999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074934,0.003639,0.08859299999999999,0.0039380000000000005,0.069839,0.0035409999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.030525999999999998,0.002345,0.0,0.0,0.039295,0.002656,0.0,0.0,0.10348800000000001,0.004233,0.055037,0.0031620000000000003,0.073181,0.0036090000000000002,0.0,0.37510699999999997,0.39537199999999995,0.446168,1.0000010000000001,0.500564
0.6,0.4131,0.0078,3.844,0.075947,0.00367,0.0,0.0,0.0,0.0,0.085747,0.003882,0.078435,0.003728,0.09298200000000001,0.004047,0.033976,0.002513,0.0,0.0,0.0,0.0,0.060375,0.003288,0.0,0.0,0.0,0.0,0.0229,0.002048,0.0,0.0,0.012804,0.001544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07626799999999999,0.0036710000000000002,0.089254,0.003932,0.07032999999999999,0.003551,0.0,0.0,0.0,0.0,0.0,0.0,0.027280000000000002,0.002257,0.0,0.0,0.037502999999999995,0.002623,0.0,0.0,0.108976,0.004321,0.054847,0.003136,0.072376,0.003558,0.0,0.360947,0.38946000000000003,0.44353,1.0,0.495743
0.7,0.3763,0.0076,3.8205,0.077724,0.003713,0.0,0.0,0.0,0.0,0.086628,0.003909,0.078273,0.0037259999999999997,0.098861,0.004137,0.034166,0.002503,0.0,0.0,0.0,0.0,0.05783200000000001,0.0032340000000000003,0.0,0.0,0.0,0.0,0.018387,0.00183,0.0,0.0,0.011602,0.001448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07610700000000001,0.0036710000000000002,0.087016,0.003906,0.071911,0.003597,0.0,0.0,0.0,0.0,0.0,0.0,0.023448,0.002091,0.0,0.0,0.037282,0.0026,0.0,0.0,0.114847,0.004415,0.055165,0.00317,0.070753,0.0035549999999999996,0.0,0.350784,0.386481,0.44523100000000004,1.000002,0.48605400000000004
0.8,0.3495,0.0073,3.8002,0.078637,0.00373,0.0,0.0,0.0,0.0,0.088918,0.003964,0.076373,0.0036850000000000003,0.10454000000000001,0.004252000000000001,0.032887,0.002471,0.0,0.0,0.0,0.0,0.053075,0.0031079999999999997,0.0,0.0,0.0,0.0,0.016549,0.0017579999999999998,0.0,0.0,0.010306000000000001,0.001381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075379,0.0036829999999999996,0.088131,0.003945000000000001,0.076034,0.0036869999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.020597999999999998,0.001966,0.0,0.0,0.037215,0.002605,0.0,0.0,0.116579,0.004443,0.055724,0.003171,0.06905499999999999,0.003508,0.0,0.34154599999999996,0.38639199999999996,0.44877599999999995,1.0,0.479718
0.9,0.3295,0.0072,3.7786,0.080363,0.003766,0.0,0.0,0.0,0.0,0.093554,0.004065999999999999,0.075645,0.003676,0.10878099999999999,0.004345,0.029835000000000004,0.002346,0.0,0.0,0.0,0.0,0.049837,0.003032,0.0,0.0,0.0,0.0,0.015787,0.001714,0.0,0.0,0.009172,0.001286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07362,0.003633,0.08668,0.0039109999999999995,0.08035700000000001,0.003782,0.0,0.0,0.0,0.0,0.0,0.0,0.017476,0.001813,0.0,0.0,0.037897,0.0026190000000000002,0.0,0.0,0.119058,0.004503,0.056123,0.003192,0.065815,0.003437,0.0,0.334232,0.38612199999999997,0.4531160000000001,1.0,0.471251
