,tight10,kclust,entrez,symbol
NFkB-p105/p50 (Ab-893),8,2,4790,NFKB1
NFkB-p105/p50 (Ab-337),10,2,4790,NFKB1
GAP43 (Phospho-Ser41),8,2,2596,GAP43
Myc (Ab-58),7,2,4609,MYC
IL-13R/CD213a1 (Ab-405),10,2,3597,IL13RA1
IL-10R-alpha (Phospho-Tyr496),7,2,3587,IL10RA
IKK-gamma (Ab-85),7,2,8517,IKBKG
KIT (Phospho-Tyr703),10,2,3815,KIT
IKK-beta (Ab-199),10,2,3551,IKBKB
GSK3 beta (Phospho-Ser9),8,2,2932,GSK3B
DAPP1 (Phospho-Tyr139),10,2,27071,DAPP1
c-Jun (Ab-93),5,2,3725,JUN
c-Abl (Ab-412),7,2,25,ABL1
HER2 (Ab-877),5,2,2064,ERBB2
HDAC6 (Ab-22),10,2,10013,HDAC6
HDAC4 (Ab-632),5,2,9759,HDAC4
HDAC1 (Phospho-Ser421),5,2,3065,HDAC1
FAK (Ab-925),8,2,5747,PTK2
PDGFR alpha (Ab-849),5,2,5156,PDGFRA
EPHB1/2 (Phospho-Tyr594/604),7,2,2047/1969,EPHB1/EPHA2
P90RSK (Ab-380),7,2,6195,RPS6KA1
P70S6K (Ab-427),10,2,6198,RPS6KB1
PECAM-1 (Phospho-Tyr713),8,2,5175,PECAM1
PKC theta (Phospho-Ser676),10,2,5588,PRKCQ
P90RSK (Phospho-Ser380),10,2,6195,RPS6KA1
FGFR1 (Ab-154),5,2,2260,FGFR1
Ephrin B2 (Ab-330),10,2,1947/1948,EFNB1/EFNB2
P70S6K-beta (Ab-423),7,2,6199,RPS6KB2
HNF4 alpha (Phospho-Ser313),10,2,3172,HNF4A
Keratin 8 (Ab-73) ,5,2,3875,KRT18
IRS-1 (Phospho-Ser639),10,2,3667,IRS1
IkB-epsilon (Ab-22) ,3,2,4794,NFKBIE
IkB-epsilon (Phospho-Ser22),10,2,4794,NFKBIE
Integrin beta-1 (Ab-789),10,2,3688,ITGB1
IRS-1 (Ab-639),10,2,3667,IRS1
M-CSF Receptor (Phospho-Tyr561),5,2,1436,CSF1R
HSP27 (Phospho-Ser15),5,2,3315,HSPB1
LAT (Ab-171),7,2,27040,LAT
NFkB-p65 (Phospho-Ser468),5,2,5970,RELA
ICK (Phospho-Tyr159),10,2,22858,ICK
ICAM-1 (Phospho-Tyr512),3,2,3383,ICAM1
LKB1 (Ab-189),5,2,6794,STK11
LYN (Ab-507),5,2,4067,LYN
MEK1 (Ab-291),5,2,5604,MAP2K1
PLCG1 (Phospho-Tyr783),5,2,5335,PLCG1
PKD2 (Ab-876),7,2,25865,PRKD2
PKR (Ab-451),7,2,5610,EIF2AK2
PLCG1 (Phospho-Tyr1253),7,2,5335,PLCG1
PLCG2 (Ab-1217),5,2,5336,PLCG2
PLCG2 (Ab-753),7,2,5336,PLCG2
p27Kip1 (Ab-187),7,2,1027,CDKN1B
Claudin 7 (Ab-210),10,2,1366,CLDN7
Paxillin (Phospho-Tyr118),7,2,5829,PXN
Pim-1 (Ab-309),7,2,18712,Pim1
Chk1 (Phospho-Ser296),7,2,1111,CHEK1
Chk1 (Ab-345),5,2,1111,CHEK1
Cortactin (Ab-466),10,2,2017,CTTN
SP1 (Ab-739),5,2,6667,SP1
Catenin delta-1 (Ab-228),5,2,1500,CTNND1
Caspase 9 (Ab-196),10,2,842,CASP9
Rb (Phospho-Ser608),7,2,5925,RB1
SMC1 (Ab-957),7,2,8243,SMC1A
Caspase 9 (Phospho-Tyr153),10,2,842,CASP9
CrkII (Phospho-Tyr221),5,2,1398,CRK
p27Kip1 (Ab-10),10,2,1027,CDKN1B
Rb (Phospho-Thr821),10,2,5925,RB1
Caspase 9 (Ab-125),5,2,842,CASP9
Caspase 8 (Ab-347),7,2,841,CASP8
AMPK1 (Phospho-Thr172),3,2,5562,PRKAA1
SHP-2 (Ab-580) ,10,2,5781,PTPN11
AFX/FOXO4 (Ab-197),7,2,4303,FOXO4
STAM2 (Phospho-Tyr192),5,2,10254,STAM2
c-Jun (Phospho-Thr93),8,2,3725,JUN
STAT6 (Phospho-Thr645),5,2,6778,STAT6
c-Jun (Phospho-Thr91),8,2,3725,JUN
SYK (Ab-525),5,2,6850,SYK
CDK1/CDC2 (Ab-15),5,2,983,CDK1
ATRIP (Phospho-Ser68/72),8,2,84126,ATRIP
VEGFR2 (Ab-1054),7,2,3791,KDR
Androgen Receptor (Ab-650),10,2,367,AR
Tau (Phospho-Ser404),7,2,4137,MAPT
p27Kip1 (Phospho-Ser10),8,2,1027,CDKN1B
SRF (Phospho-Ser77),7,2,6722,SRF
eIF4E (Ab-209),5,2,1977,EIF4E
CREB (Phospho-Ser121),8,2,1385,CREB1
CREB (Ab-133),10,2,1385,CREB1
Synaptotagmin (Phospho-Ser309),5,2,6857,SYT1
Synaptotagmin (Phospho-Thr202),5,2,6857,SYT1
BCL-XL (Ab-47),8,2,598,BCL2L1
BID (Ab-78),5,2,637,BID
Vinculin (Ab-821),10,2,7414,VCL
Synapsin (Phospho-Ser62),5,2,6853,SYN1
Tau (Ab-262),5,2,4137,MAPT
Trk B (Phospho-Tyr705),3,2,4915,NTRK2
AurB/C (Ab-202/175),5,2,6795,AURKC
VASP (Ab-157),10,2,7408,VASP
Tau (Phospho-Thr231),8,2,4137,MAPT
VASP (Ab-238),7,2,7408,VASP
