,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),1.4146496981007475,0.8889235093008367,0.9239553987815391,1
AKT1 (Phospho-Ser473),0.9595413779202586,1.2116943568355691,1.16134646277338,1
E2F1 (Phospho-Thr433),1.0907049389483452,0.8812095343646721,1.0820371034776717,0
IGF1R (Phospho-Tyr1165/1166),1.2983140453153486,1.1408294046735674,1.0760035277137177,0
IkB-alpha (Ab-32/36),0.9177584080106731,1.0460194444242357,1.0074641781082772,0
IKK-beta (Ab-188),1.0606188994783496,1.017496246998131,1.0157487334581496,0
IRS-1 (Phospho-Ser636),1.0149755794297026,1.04328608064057,1.0416522470667926,1
MKK6/MAP2K6 (Phospho-Ser207),0.9465389813174435,1.0186839914534755,1.0695402866212922,1
mTOR (Phospho-Ser2481),0.8325526420424895,1.1992798299233085,1.0797793327013245,1
p38 MAPK (Phospho-Tyr322),0.8785171322492669,1.1424086489490197,1.11672467333374,1
p53 (Phospho-Ser15),0.9406675907839508,0.9891300338501308,0.9465759018934952,0
P70S6K (Phospho-Ser411),1.0487713416169608,1.1627681270914323,1.237566118245098,1
Rb (Phospho-Thr821),0.8702023645333332,1.0863836771955482,1.2457634168382523,1
Tuberin/TSC2 (Phospho-Ser939),0.9070215531512338,0.9824104175921349,0.9695318613226112,0
