#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Acacb	Acaca	2098236	2094986	10090.ENSMUSP00000031583	10090.ENSMUSP00000020843	0.778	0	0	0.982	0.956	0.92	0.929	0.928	0.999
Mad2l1	Cdc20	2110075	2093817	10090.ENSMUSP00000098897	10090.ENSMUSP00000006565	0	0	0	0	0.88	0.972	0.9	0.747	0.999
Fasn	Acacb	2102627	2098236	10090.ENSMUSP00000052872	10090.ENSMUSP00000031583	0.103	0	0	0	0.855	0	0.967	0.83	0.999
Mad2l1	Mad1l1	2110075	2098220	10090.ENSMUSP00000098897	10090.ENSMUSP00000031534	0	0	0	0	0.109	0.971	0.9	0.726	0.999
Trp53	Mdm4	2111141	2105341	10090.ENSMUSP00000104298	10090.ENSMUSP00000070411	0	0	0	0	0	0.953	0.9	0.83	0.999
Mad2l1	Bub1b	2110075	2099749	10090.ENSMUSP00000098897	10090.ENSMUSP00000037126	0	0	0	0	0.808	0.965	0.9	0.78	0.999
Mad2l1	Bub1	2110075	2097328	10090.ENSMUSP00000098897	10090.ENSMUSP00000028858	0	0	0	0	0.717	0.965	0.8	0.776	0.999
Mapkap1	Mlst8	2111755	2104608	10090.ENSMUSP00000108751	10090.ENSMUSP00000065004	0	0	0	0	0.049	0.875	0.95	0.882	0.999
Tsc2	Rheb	2109084	2097962	10090.ENSMUSP00000094986	10090.ENSMUSP00000030787	0	0	0	0	0.053	0.884	0.95	0.948	0.999
Ccnb2	Cdk1	2099229	2094764	10090.ENSMUSP00000034742	10090.ENSMUSP00000020099	0	0	0	0	0.969	0.864	0.95	0.733	0.999
Fasn	Acaca	2102627	2094986	10090.ENSMUSP00000052872	10090.ENSMUSP00000020843	0.103	0	0	0	0.872	0	0.967	0.96	0.999
Bub1b	Cdc20	2099749	2093817	10090.ENSMUSP00000037126	10090.ENSMUSP00000006565	0	0	0	0	0.898	0.953	0.9	0.908	0.999
Bub3	Bub1b	2107328	2099749	10090.ENSMUSP00000081547	10090.ENSMUSP00000037126	0	0	0	0	0.168	0.965	0.9	0.95	0.999
Cbl	Grb2	2100642	2095072	10090.ENSMUSP00000041902	10090.ENSMUSP00000021090	0	0	0	0	0.102	0.875	0.95	0.85	0.999
Bub3	Bub1	2107328	2097328	10090.ENSMUSP00000081547	10090.ENSMUSP00000028858	0	0	0	0	0.203	0.965	0.901	0.939	0.999
Mtor	Rptor	2110226	2096691	10090.ENSMUSP00000099510	10090.ENSMUSP00000026671	0	0	0	0	0.48	0.94	0.901	0.954	0.999
Ccna2	Cdk1	2097462	2094764	10090.ENSMUSP00000029270	10090.ENSMUSP00000020099	0	0.013	0	0	0.882	0.907	0.95	0.904	0.999
Mad2l1	Bub3	2110075	2107328	10090.ENSMUSP00000098897	10090.ENSMUSP00000081547	0	0	0	0	0.345	0.963	0.9	0.719	0.999
Mtor	Mlst8	2110226	2104608	10090.ENSMUSP00000099510	10090.ENSMUSP00000065004	0	0	0	0	0.081	0.953	0.95	0.919	0.999
Birc5	Aurkb	2106931	2095125	10090.ENSMUSP00000079124	10090.ENSMUSP00000021277	0	0	0	0	0.847	0.421	0.95	0.901	0.999
Cdk1	Cdc20	2094764	2093817	10090.ENSMUSP00000020099	10090.ENSMUSP00000006565	0	0	0	0	0.893	0.789	0.9	0.903	0.999
Mtor	Rictor	2110226	2102432	10090.ENSMUSP00000099510	10090.ENSMUSP00000051809	0	0	0	0	0.147	0.905	0.95	0.951	0.999
Trp53	Crebbp	2111141	2095752	10090.ENSMUSP00000104298	10090.ENSMUSP00000023165	0	0	0	0	0.12	0.953	0.901	0.86	0.999
Mtor	Tsc2	2110226	2109084	10090.ENSMUSP00000099510	10090.ENSMUSP00000094986	0	0	0	0	0.141	0.681	0.95	0.942	0.999
Ccna2	Cdc20	2097462	2093817	10090.ENSMUSP00000029270	10090.ENSMUSP00000006565	0	0	0	0	0.88	0.765	0.9	0.824	0.999
Ccnb1	Cdk1	2105622	2094764	10090.ENSMUSP00000071989	10090.ENSMUSP00000020099	0	0	0	0	0.97	0.962	0.95	0.81	0.999
Incenp	Aurkb	2096332	2095125	10090.ENSMUSP00000025562	10090.ENSMUSP00000021277	0	0	0	0	0.757	0.88	0.95	0.935	0.999
Plk1	Cdc20	2098695	2093817	10090.ENSMUSP00000033154	10090.ENSMUSP00000006565	0	0	0	0	0.957	0.304	0.95	0.862	0.999
Sos1	Grb2	2104984	2095072	10090.ENSMUSP00000067786	10090.ENSMUSP00000021090	0	0	0	0	0.076	0.854	0.95	0.939	0.999
Mtor	Eif4ebp1	2110226	2098910	10090.ENSMUSP00000099510	10090.ENSMUSP00000033880	0	0	0	0	0	0.605	0.95	0.978	0.999
Birc5	Incenp	2106931	2096332	10090.ENSMUSP00000079124	10090.ENSMUSP00000025562	0	0	0	0	0.727	0.304	0.95	0.918	0.999
Mtor	Akt1	2110226	2093284	10090.ENSMUSP00000099510	10090.ENSMUSP00000001780	0	0	0	0	0.072	0.818	0.95	0.99	0.999
Acly	Acaca	2110942	2094986	10090.ENSMUSP00000103012	10090.ENSMUSP00000020843	0.379	0	0	0	0.961	0.065	0.8	0.861	0.999
Cdc27	Cdc20	2108514	2093817	10090.ENSMUSP00000091452	10090.ENSMUSP00000006565	0	0	0	0	0.1	0.951	0.9	0.893	0.999
Mapkap1	Rictor	2111755	2102432	10090.ENSMUSP00000108751	10090.ENSMUSP00000051809	0	0	0	0	0.092	0.888	0.95	0.936	0.999
Rps6kb1	Mtor	2112781	2110226	10090.ENSMUSP00000119715	10090.ENSMUSP00000099510	0	0	0	0	0.056	0.842	0.95	0.98	0.999
Ndc80	Aurkb	2096108	2095125	10090.ENSMUSP00000024851	10090.ENSMUSP00000021277	0	0	0	0	0.832	0.395	0.95	0.854	0.999
Insr	Irs1	2108203	2104432	10090.ENSMUSP00000088837	10090.ENSMUSP00000063795	0	0	0	0	0	0.754	0.883	0.987	0.999
Mcat	Oxsm	2102400	2095461	10090.ENSMUSP00000051569	10090.ENSMUSP00000022311	0.318	0	0.512	0	0.841	0.517	0.946	0.64	0.999
Mcat	Acaca	2102400	2094986	10090.ENSMUSP00000051569	10090.ENSMUSP00000020843	0.777	0	0	0	0.868	0.249	0.967	0.673	0.999
Mad2l1	Aurkb	2110075	2095125	10090.ENSMUSP00000098897	10090.ENSMUSP00000021277	0	0	0	0	0.897	0.914	0.9	0.65	0.999
Bub1b	Cdk1	2099749	2094764	10090.ENSMUSP00000037126	10090.ENSMUSP00000020099	0	0	0	0	0.808	0.681	0.95	0.787	0.999
Grb2	Egfr	2095072	2094834	10090.ENSMUSP00000021090	10090.ENSMUSP00000020329	0	0	0	0	0	0.685	0.95	0.945	0.999
Cdca8	Birc5	2107296	2106931	10090.ENSMUSP00000081319	10090.ENSMUSP00000079124	0	0	0	0	0.857	0.704	0.95	0.784	0.999
Mcat	Acacb	2102400	2098236	10090.ENSMUSP00000051569	10090.ENSMUSP00000031583	0.777	0	0	0	0.868	0.249	0.967	0.659	0.999
Mlst8	Rictor	2104608	2102432	10090.ENSMUSP00000065004	10090.ENSMUSP00000051809	0	0	0	0	0.076	0.889	0.95	0.941	0.999
Mapkap1	Mtor	2111755	2110226	10090.ENSMUSP00000108751	10090.ENSMUSP00000099510	0	0	0	0	0.052	0.895	0.95	0.861	0.999
Shc1	Grb2	2108594	2095072	10090.ENSMUSP00000091940	10090.ENSMUSP00000021090	0	0	0	0	0.054	0.912	0.901	0.984	0.999
Bub1b	Aurkb	2099749	2095125	10090.ENSMUSP00000037126	10090.ENSMUSP00000021277	0	0	0	0	0.897	0.912	0.9	0.824	0.999
Ccna2	Cdk2	2097462	2096601	10090.ENSMUSP00000029270	10090.ENSMUSP00000026416	0	0.01	0	0	0.465	0.983	0.95	0.906	0.999
Hlcs	Acaca	2109622	2094986	10090.ENSMUSP00000097112	10090.ENSMUSP00000020843	0.777	0	0	0	0.679	0.787	0.9	0.665	0.999
Trp53	Mdm2	2111141	2094859	10090.ENSMUSP00000104298	10090.ENSMUSP00000020408	0	0	0	0	0.167	0.772	0.95	0.982	0.999
Hlcs	Acacb	2109622	2098236	10090.ENSMUSP00000097112	10090.ENSMUSP00000031583	0.777	0	0	0	0.679	0.787	0.9	0.659	0.999
Cdk2	Cdkn1a	2096601	2095964	10090.ENSMUSP00000026416	10090.ENSMUSP00000023829	0	0	0	0	0	0.661	0.95	0.926	0.998
Tsc2	Akt1	2109084	2093284	10090.ENSMUSP00000094986	10090.ENSMUSP00000001780	0	0	0	0	0.09	0.407	0.95	0.95	0.998
Mlst8	Rptor	2104608	2096691	10090.ENSMUSP00000065004	10090.ENSMUSP00000026671	0	0	0	0	0	0.679	0.901	0.947	0.998
Ccnb1	Cdk2	2105622	2096601	10090.ENSMUSP00000071989	10090.ENSMUSP00000026416	0	0	0	0	0.869	0.934	0.528	0.734	0.998
Ccnb2	Ccna2	2099229	2097462	10090.ENSMUSP00000034742	10090.ENSMUSP00000029270	0	0	0	0.755	0.987	0.776	0.379	0.807	0.998
Atm	Rad17	2112380	2095404	10090.ENSMUSP00000113388	10090.ENSMUSP00000022136	0	0	0	0	0.145	0.773	0.95	0.857	0.998
Anapc10	Cdc16	2101817	2101759	10090.ENSMUSP00000048244	10090.ENSMUSP00000047950	0	0	0	0	0.093	0.963	0.9	0.559	0.998
Atm	H2afx	2112380	2102373	10090.ENSMUSP00000113388	10090.ENSMUSP00000051432	0	0	0	0	0	0.545	0.95	0.944	0.998
Cbl	Egfr	2100642	2094834	10090.ENSMUSP00000041902	10090.ENSMUSP00000020329	0	0	0	0	0	0.845	0.95	0.818	0.998
Ccnb1	Ccna2	2105622	2097462	10090.ENSMUSP00000071989	10090.ENSMUSP00000029270	0	0	0	0.761	0.986	0.776	0.379	0.856	0.998
Cenpa	Aurkb	2112931	2095125	10090.ENSMUSP00000122831	10090.ENSMUSP00000021277	0	0	0	0	0.657	0.401	0.95	0.873	0.998
Bub1	Ndc80	2097328	2096108	10090.ENSMUSP00000028858	10090.ENSMUSP00000024851	0	0	0	0	0.883	0.829	0.72	0.78	0.998
Bub1b	Plk1	2099749	2098695	10090.ENSMUSP00000037126	10090.ENSMUSP00000033154	0	0	0	0	0.776	0.111	0.95	0.823	0.998
Kif2c	Aurkb	2104499	2095125	10090.ENSMUSP00000064261	10090.ENSMUSP00000021277	0	0	0	0	0.714	0.115	0.95	0.859	0.998
Bub1b	Bub1	2099749	2097328	10090.ENSMUSP00000037126	10090.ENSMUSP00000028858	0	0	0	0.617	0.75	0.965	0.72	0.864	0.998
Bub3	Mad1l1	2107328	2098220	10090.ENSMUSP00000081547	10090.ENSMUSP00000031534	0	0	0	0	0.14	0.963	0.9	0.681	0.998
Bub1b	Mad1l1	2099749	2098220	10090.ENSMUSP00000037126	10090.ENSMUSP00000031534	0	0	0	0	0.063	0.963	0.9	0.636	0.998
Ccnb1	Plk1	2105622	2098695	10090.ENSMUSP00000071989	10090.ENSMUSP00000033154	0	0	0	0	0.947	0.34	0.9	0.724	0.998
Lcp2	Grb2	2113352	2095072	10090.ENSMUSP00000126796	10090.ENSMUSP00000021090	0	0	0	0	0.046	0.83	0.95	0.8	0.998
Bub3	Cdc20	2107328	2093817	10090.ENSMUSP00000081547	10090.ENSMUSP00000006565	0	0	0	0	0.17	0.752	0.9	0.929	0.998
Cdca8	Aurkb	2107296	2095125	10090.ENSMUSP00000081319	10090.ENSMUSP00000021277	0	0	0	0	0.84	0.111	0.95	0.855	0.998
Cdc27	Anapc10	2108514	2101817	10090.ENSMUSP00000091452	10090.ENSMUSP00000048244	0	0	0	0	0.195	0.967	0.9	0.547	0.998
Pten	Akt1	2094170	2093284	10090.ENSMUSP00000013807	10090.ENSMUSP00000001780	0	0	0	0	0.068	0.409	0.8	0.986	0.998
Cdc27	Anapc1	2108514	2094204	10090.ENSMUSP00000091452	10090.ENSMUSP00000014499	0	0	0	0	0.197	0.959	0.9	0.682	0.998
Anapc10	Cdc20	2101817	2093817	10090.ENSMUSP00000048244	10090.ENSMUSP00000006565	0	0	0	0	0.16	0.972	0.9	0.498	0.998
Bcl2	Trp53	2111690	2111141	10090.ENSMUSP00000108371	10090.ENSMUSP00000104298	0	0	0	0	0	0.202	0.901	0.981	0.998
Rps6kb1	Rps6	2112781	2110399	10090.ENSMUSP00000119715	10090.ENSMUSP00000099878	0	0	0	0	0.047	0.746	0.95	0.86	0.998
Ccnb1	Cdc20	2105622	2093817	10090.ENSMUSP00000071989	10090.ENSMUSP00000006565	0	0	0	0	0.879	0.694	0.9	0.752	0.998
Ttk	Bub1b	2104584	2099749	10090.ENSMUSP00000064839	10090.ENSMUSP00000037126	0	0	0	0	0.852	0.965	0	0.661	0.998
Cdc27	Bub1b	2108514	2099749	10090.ENSMUSP00000091452	10090.ENSMUSP00000037126	0	0	0	0	0.124	0.965	0.9	0.479	0.998
Atm	Mre11a	2112380	2099107	10090.ENSMUSP00000113388	10090.ENSMUSP00000034405	0	0	0	0	0.119	0.555	0.95	0.938	0.998
Acly	Acacb	2110942	2098236	10090.ENSMUSP00000103012	10090.ENSMUSP00000031583	0.379	0	0	0	0.956	0.065	0.8	0.814	0.998
Cdc16	Cdc20	2101759	2093817	10090.ENSMUSP00000047950	10090.ENSMUSP00000006565	0	0	0	0	0.103	0.943	0.9	0.708	0.998
Ube2c	Cdc20	2107801	2093817	10090.ENSMUSP00000085581	10090.ENSMUSP00000006565	0	0	0	0	0.824	0.776	0.9	0.629	0.998
Aurka	Cdc20	2097382	2093817	10090.ENSMUSP00000028997	10090.ENSMUSP00000006565	0	0	0	0	0.889	0.111	0.9	0.846	0.998
Mtor	Rheb	2110226	2097962	10090.ENSMUSP00000099510	10090.ENSMUSP00000030787	0	0	0	0	0.049	0.394	0.95	0.943	0.998
Atm	Chek2	2112380	2104828	10090.ENSMUSP00000113388	10090.ENSMUSP00000066679	0	0	0	0	0.054	0.365	0.95	0.965	0.998
