,#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,lifespan_x,lifespan_y,edgetype
0,Acacb,Acaca,2098236,2094986,10090.ENSMUSP00000031583,10090.ENSMUSP00000020843,0.778,0.0,0.0,0.982,0.956,0.92,0.929,0.9279999999999999,0.9990000000000001,,,
1,Mad2l1,Cdc20,2110075,2093817,10090.ENSMUSP00000098897,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.88,0.972,0.9,0.747,0.9990000000000001,,,
2,Fasn,Acacb,2102627,2098236,10090.ENSMUSP00000052872,10090.ENSMUSP00000031583,0.10300000000000001,0.0,0.0,0.0,0.855,0.0,0.9670000000000001,0.83,0.9990000000000001,,,
3,Mad2l1,Mad1l1,2110075,2098220,10090.ENSMUSP00000098897,10090.ENSMUSP00000031534,0.0,0.0,0.0,0.0,0.109,0.971,0.9,0.726,0.9990000000000001,,,
4,Trp53,Mdm4,2111141,2105341,10090.ENSMUSP00000104298,10090.ENSMUSP00000070411,0.0,0.0,0.0,0.0,0.0,0.953,0.9,0.83,0.9990000000000001,,,
5,Mad2l1,Bub1b,2110075,2099749,10090.ENSMUSP00000098897,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.8079999999999999,0.965,0.9,0.78,0.9990000000000001,,reduced,
6,Mad2l1,Bub1,2110075,2097328,10090.ENSMUSP00000098897,10090.ENSMUSP00000028858,0.0,0.0,0.0,0.0,0.7170000000000001,0.965,0.8,0.7759999999999999,0.9990000000000001,,,
7,Mapkap1,Mlst8,2111755,2104608,10090.ENSMUSP00000108751,10090.ENSMUSP00000065004,0.0,0.0,0.0,0.0,0.049,0.875,0.95,0.882,0.9990000000000001,,,
8,Tsc2,Rheb,2109084,2097962,10090.ENSMUSP00000094986,10090.ENSMUSP00000030787,0.0,0.0,0.0,0.0,0.053,0.884,0.95,0.948,0.9990000000000001,,,
9,Ccnb2,Cdk1,2099229,2094764,10090.ENSMUSP00000034742,10090.ENSMUSP00000020099,0.0,0.0,0.0,0.0,0.9690000000000001,0.8640000000000001,0.95,0.733,0.9990000000000001,,,
10,Fasn,Acaca,2102627,2094986,10090.ENSMUSP00000052872,10090.ENSMUSP00000020843,0.10300000000000001,0.0,0.0,0.0,0.872,0.0,0.9670000000000001,0.96,0.9990000000000001,,,
11,Bub1b,Cdc20,2099749,2093817,10090.ENSMUSP00000037126,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.898,0.953,0.9,0.9079999999999999,0.9990000000000001,reduced,,
12,Bub3,Bub1b,2107328,2099749,10090.ENSMUSP00000081547,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.168,0.965,0.9,0.95,0.9990000000000001,,reduced,
13,Cbl,Grb2,2100642,2095072,10090.ENSMUSP00000041902,10090.ENSMUSP00000021090,0.0,0.0,0.0,0.0,0.102,0.875,0.95,0.85,0.9990000000000001,,,
14,Bub3,Bub1,2107328,2097328,10090.ENSMUSP00000081547,10090.ENSMUSP00000028858,0.0,0.0,0.0,0.0,0.203,0.965,0.9009999999999999,0.9390000000000001,0.9990000000000001,,,
15,Mtor,Rptor,2110226,2096691,10090.ENSMUSP00000099510,10090.ENSMUSP00000026671,0.0,0.0,0.0,0.0,0.48,0.94,0.9009999999999999,0.9540000000000001,0.9990000000000001,,,
16,Ccna2,Cdk1,2097462,2094764,10090.ENSMUSP00000029270,10090.ENSMUSP00000020099,0.0,0.013000000000000001,0.0,0.0,0.882,0.907,0.95,0.904,0.9990000000000001,,,
17,Mad2l1,Bub3,2110075,2107328,10090.ENSMUSP00000098897,10090.ENSMUSP00000081547,0.0,0.0,0.0,0.0,0.345,0.963,0.9,0.7190000000000001,0.9990000000000001,,,
18,Mtor,Mlst8,2110226,2104608,10090.ENSMUSP00000099510,10090.ENSMUSP00000065004,0.0,0.0,0.0,0.0,0.081,0.953,0.95,0.919,0.9990000000000001,,,
19,Birc5,Aurkb,2106931,2095125,10090.ENSMUSP00000079124,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.847,0.42100000000000004,0.95,0.9009999999999999,0.9990000000000001,,,
20,Cdk1,Cdc20,2094764,2093817,10090.ENSMUSP00000020099,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.893,0.789,0.9,0.903,0.9990000000000001,,,
21,Mtor,Rictor,2110226,2102432,10090.ENSMUSP00000099510,10090.ENSMUSP00000051809,0.0,0.0,0.0,0.0,0.147,0.905,0.95,0.951,0.9990000000000001,,,
22,Trp53,Crebbp,2111141,2095752,10090.ENSMUSP00000104298,10090.ENSMUSP00000023165,0.0,0.0,0.0,0.0,0.12,0.953,0.9009999999999999,0.86,0.9990000000000001,,,
23,Mtor,Tsc2,2110226,2109084,10090.ENSMUSP00000099510,10090.ENSMUSP00000094986,0.0,0.0,0.0,0.0,0.141,0.6809999999999999,0.95,0.9420000000000001,0.9990000000000001,,,
24,Ccna2,Cdc20,2097462,2093817,10090.ENSMUSP00000029270,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.88,0.765,0.9,0.8240000000000001,0.9990000000000001,,,
25,Ccnb1,Cdk1,2105622,2094764,10090.ENSMUSP00000071989,10090.ENSMUSP00000020099,0.0,0.0,0.0,0.0,0.97,0.9620000000000001,0.95,0.81,0.9990000000000001,,,
26,Incenp,Aurkb,2096332,2095125,10090.ENSMUSP00000025562,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.757,0.88,0.95,0.935,0.9990000000000001,,,
27,Plk1,Cdc20,2098695,2093817,10090.ENSMUSP00000033154,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.9570000000000001,0.304,0.95,0.862,0.9990000000000001,,,
28,Sos1,Grb2,2104984,2095072,10090.ENSMUSP00000067786,10090.ENSMUSP00000021090,0.0,0.0,0.0,0.0,0.076,0.8540000000000001,0.95,0.9390000000000001,0.9990000000000001,,,
29,Mtor,Eif4ebp1,2110226,2098910,10090.ENSMUSP00000099510,10090.ENSMUSP00000033880,0.0,0.0,0.0,0.0,0.0,0.605,0.95,0.978,0.9990000000000001,,,
30,Birc5,Incenp,2106931,2096332,10090.ENSMUSP00000079124,10090.ENSMUSP00000025562,0.0,0.0,0.0,0.0,0.727,0.304,0.95,0.9179999999999999,0.9990000000000001,,,
31,Mtor,Akt1,2110226,2093284,10090.ENSMUSP00000099510,10090.ENSMUSP00000001780,0.0,0.0,0.0,0.0,0.07200000000000001,0.818,0.95,0.99,0.9990000000000001,,,
32,Acly,Acaca,2110942,2094986,10090.ENSMUSP00000103012,10090.ENSMUSP00000020843,0.379,0.0,0.0,0.0,0.961,0.065,0.8,0.861,0.9990000000000001,,,
33,Cdc27,Cdc20,2108514,2093817,10090.ENSMUSP00000091452,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.1,0.951,0.9,0.893,0.9990000000000001,,,
34,Mapkap1,Rictor,2111755,2102432,10090.ENSMUSP00000108751,10090.ENSMUSP00000051809,0.0,0.0,0.0,0.0,0.092,0.888,0.95,0.9359999999999999,0.9990000000000001,,,
