,Quiescent 1h/control,Quiescent 6h/control,Quiescent 24h/control,Quiescent 96h/control,Rapamycin 1h/control,Rapamycin 6h/control,Rapamycin 24h/control,Rapamycin 96h/control,IGF 0.5h/control,IGF 1h/control,IGF 3h/control,IGF 6h/control,IGF 24h/control,Apoptosis 0.5h/control,Apoptosis 1h/control,Apoptosis 3h/control,Apoptosis 6h/control,Senescent 1h/control,Senescent 6h/control,Senescent 24h/control,Senescent 96h/control
c-Jun (Phospho-Ser63),0.113587654,0.973090826,0.956111216,0.597492325,-0.056059903,0.053193834,0.367426198,0.365425418,0.014445714,0.270686665,0.544187346,1.405079772,-0.201903696,1.404643288,1.483293576,1.086367644,0.545691662,0.444164298,0.483990945,0.295895366,1.229955052
GSK3 beta (Phospho-Ser9),-0.942111463,-0.513499969,-0.312886518,-0.199689076,-0.622974116,-0.464896486,-0.312091646,-0.490570395,2.713445076,0.060459165,0.411725487,0.661820838,-0.617052197,0.738428865,0.738785191,0.675095993,0.265930011,-0.284488612,-0.201924516,-0.491084303,-0.465924935
c-Jun (Phospho-Ser73),0.059102651,-1.136481911,0.363702584,0.037045612,0.110803801,-0.051847419,-0.784376851,-0.284304143,0.282899904,0.058879757,-0.265721638,0.467710174,-1.007947177,0.03707823,-0.253706745,0.506141677,0.459236349,-0.206461384,0.09693404,0.006952598,1.382721964
Elk1 (Phospho-Ser383),3.1522834,8.435224587,2.664346583,3.029905783,1.81554422,2.327924261,2.278318057,1.651378143,2.56068687,1.465542025,1.110309419,1.955616381,3.354713021,2.473912544,8.141718078,5.468925924,1.995601523,4.271071924,3.24195152,2.087893529,5.120381221
PDK1 (Phospho-Ser241),0.110176042,-2.163586166,-1.315945728,0.084562875,-1.21053536,0.094789061,0.674317544,-0.726179735,-1.61815461,-1.405644054,-0.640734917,-0.224440944,-1.695844535,-1.402629892,-1.130989235,-0.911886706,-0.892504221,-1.951447046,0.986624658,-1.308280006,1.971877875
Raf1 (Phospho-Ser259),-0.585001229,-1.324619182,-0.862998582,-0.413919931,-0.378285491,-0.279044493,-0.000560195,0.183594529,-0.344691541,0.160960405,-0.785659482,-1.157978969,-0.92112361,-0.643616934,-0.000316074,0.166677996,-0.045779876,-0.672625334,0.281593909,0.069377124,0.840528037
GSK3 alpha (Phospho-Ser21),0.943750312,1.772116467,0.690608317,7.261497191,0.143912385,0.863658959,0.662804252,0.59862768,1.127628365,1.275965303,0.208048924,0.710217404,-0.391038793,1.407349431,1.812204645,1.797846882,0.045837489,0.620403911,0.660620769,-0.067012379,1.558768865
MEK2 (Phospho-Thr394),1.589513083,0.375172218,0.614116498,2.970066702,0.34960825,0.393642334,1.049244781,1.177656232,0.132041072,1.771584521,-0.775752609,-0.017878211,0.101711482,0.933412595,2.943304371,1.591910946,0.640824088,0.638145196,0.928856072,0.487868917,3.358313713
PTEN (Phospho-Ser380),-0.118144992,-0.169852493,-0.039441497,-0.262912349,-0.196126621,-0.478808126,0.041451519,0.210163416,-0.460164548,-0.121681137,-0.339662792,0.297182517,-0.489423355,0.690092604,0.916129276,0.948041682,0.509706169,-0.41679196,-0.05178383,3.515497285,0.682578521
NFkB-p65 (Phospho-Thr254),0.14885939,0.383883583,-0.381189546,0.420811064,0.14179757,-0.000914868,0.291895485,0.516344316,0.208724729,0.559352625,0.06122619,0.836929906,-0.325725386,0.351433132,0.750207909,0.787148049,0.295693762,0.186996818,0.152951407,0.294459025,1.281318072
