"","q","s","p"
"c-Jun_(Phospho-Ser63)",1.35907291666667,1.28746875,1.50244791666667
"GSK3_beta_(Phospho-Ser9)",0.946057291666667,0.900682291666667,1.36789583333333
"c-Jun_(Phospho-Ser73)",1.100390625,1.21052083333333,1.20258333333333
"Elk1_(Phospho-Ser383)",2.26256770833333,2.25821875,1.73067708333333
"PDK1_(Phospho-Ser241)",0.713151041666667,1.01063020833333,0.983822916666667
"Raf1_(Phospho-Ser259)",0.782072916666667,1.17758854166667,0.85284375
"GSK3_alpha_(Phospho-Ser21)",2.01677083333333,1.25059895833333,1.35988541666667
"MEK2_(Phospho-Thr394)",1.51909375,1.565875,1.07298958333333
"PTEN_(Phospho-Ser380)",1.01738541666667,1.911515625,1.1551875
"NFkB-p65_(Phospho-Thr254)",1.03717708333333,1.27075,1.332125
"NFkB-p65_(Phospho-Ser276)",1.1785,1.21842708333333,1.187375
"NFkB-p65_(Phospho-Thr435)",1.19371354166667,1.39795833333333,1.03458333333333
"NFkB-p65_(Phospho-Ser468)",0.705057291666667,0.5694375,0.629927083333333
"NFkB-p65_(Phospho-Ser536)",1.08971875,1.173984375,1.22344791666667
"NFkB-p100/p52_(Phospho-Ser865)",1.110953125,0.914770833333333,0.917958333333333
"NFkB-p100/p52_(Phospho-Ser869)",1.44300520833333,1.55342708333333,1.45135416666667
"MKK4/SEK1_(Phospho-Ser80)",1.241953125,1.09185416666667,1.30836458333333
"ASK1_(Phospho-Ser966)",1.10440104166667,1.17158333333333,1.38565625
"HDAC4_(Phospho-Ser632)",1.08978645833333,1.13917708333333,1.10002083333333
"HDAC5_(Phospho-Ser498)",1.16627604166667,1.26016145833333,1.2734375
"HDAC8_(Phospho-Ser39)",1.15825520833333,1.20579166666667,1.6305625
"HSP27_(Phospho-Ser15)",1.161578125,1.23078125,1.0686875
"SMC1_(Phospho-Ser957)",1.573390625,1.45279166666667,1.57851041666667
"BCR_(Phospho-Tyr177)",1.0188125,1.16896354166667,1.26532291666667
"MSK1_(Phospho-Ser376)",1.13902604166667,1.025625,1.16577083333333
"Paxillin_(Phospho-Tyr31)",1.03432291666667,1.41993229166667,1.32098958333333
"Ezrin_(Phospho-Thr566)",1.01706770833333,1.17272395833333,1.14317708333333
"Rac1/cdc42_(Phospho-Ser71)",1.21620833333333,1.15865104166667,1.3219375
"Raf1_(Phospho-Ser338)",1.22824479166667,1.28528645833333,1.21072916666667
"MEK1_(Phospho-Ser217)",1.06274479166667,1.26980729166667,1.4636875
"p21Cip1_(Phospho-Thr145)",1.326359375,1.29928125,1.34217708333333
"p27Kip1_(Phospho-Ser10)",1.27697916666667,1.224125,1.38897916666667
"p27Kip1_(Phospho-Thr187)",1.41243229166667,1.61009895833333,1.59842708333333
"Histone_H3.1_(Phospho-Ser10)",1.01833854166667,1.11216145833333,1.34027083333333
"ASK1_(Phospho-Ser83)",1.06958854166667,0.943489583333333,1.06959375
"NFkB-p105/p50_(Ab-893)",1.32367708333333,1.32538020833333,1.405
"NFkB-p105/p50_(Ab-907)",1.312671875,1.23507291666667,1.35648958333333
"Rel_(Ab-503)",1.21867708333333,1.13230208333333,1.35160416666667
"c-Jun_(Ab-91)",1.24584375,1.1190625,1.31772916666667
"c-Jun_(Ab-93)",1.234328125,0.941255208333333,1.27058333333333
"c-Jun_(Ab-170)",1.220578125,1.157859375,1.51082291666667
"c-Jun_(Ab-239)",1.07589583333333,1.03267708333333,1.29145833333333
"c-Jun_(Ab-243)",1.129109375,1.06684895833333,1.15240625
"JunB_(Ab-79)",1.14702083333333,1.368765625,1.23358333333333
"JunB_(Ab-259)",1.36788541666667,1.95372916666667,1.34807291666667
"JunD_(Ab-255)",2.28440104166667,1.76452604166667,1.63648958333333
"ATF2_(Ab-62/44)",1.58047395833333,1.04400520833333,0.924395833333333
"ATF2_(Ab-69/51)",1.43710416666667,1.36080729166667,1.36745833333333
"ATF2_(Ab-71/53)",1.34797916666667,1.13221875,1.36211458333333
"ATF2_(Ab-73/55)",1.354546875,1.29197916666667,1.29934375
"ATF2_(Ab-112/94)",1.32453125,1.24092708333333,1.37535416666667
"Myc_(Ab-58)",1.1895625,1.02901041666667,0.939989583333333
"Myc_(Ab-358)",0.966635416666667,1.087328125,0.767947916666667
"Myc_(Ab-373)",1.354453125,1.27905208333333,1.27922916666667
"FAK_(Ab-397)",1.16556770833333,1.22538541666667,1.13323958333333
"Pyk2_(Ab-402)",1.15579166666667,1.081890625,1.45122916666667
"NFkB-p65_(Ab-529)",1.13035416666667,1.02317708333333,1.23925
"Catenin_beta_(Ab-37)",0.935166666666667,0.746213541666667,0.873020833333333
"EGFR_(Ab-1172)",0.98803125,1.168703125,0.9466875
"mTOR_(Ab-2448)",1.18393229166667,1.096546875,1.48686458333333
"4E-BP1_(Ab-36)",1.24273958333333,1.107734375,1.48572916666667
"4E-BP1_(Ab-45)",1.25850520833333,1.28788020833333,1.29679166666667
"Stathmin_1_(Ab-24)",1.17579166666667,1.19185416666667,1.38675
"Stathmin_1_(Ab-37)",1.10667708333333,1.202890625,1.32942708333333
"PDGFR_beta_(Ab-751)",0.992494791666667,0.507083333333333,0.6506875
"Met_(Ab-1234)",1.85279166666667,1.24670833333333,1.30351041666667
"EGFR_(Ab-1197)",1.244640625,1.12036458333333,1.28670833333333
